testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607888804268:4ba9afc9-897d-4a49-816d-678ba3b899cc,1607888805098:cbb5a7c4-e27e-4899-9fb8-b0272c08c516,0,true,EmptyObject,EmptyObject,CTOR,none
1607888804268:4ba9afc9-897d-4a49-816d-678ba3b899cc,1607888805098:cbb5a7c4-e27e-4899-9fb8-b0272c08c516,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888804268:4ba9afc9-897d-4a49-816d-678ba3b899cc,1607888805098:cbb5a7c4-e27e-4899-9fb8-b0272c08c516,0,true,EmptyObject,EmptyObject,pop,none
1607888805102:e1e02968-3d0c-454e-875b-c7cf5afbb9a7,1607888805102:2d063f24-6d37-4ddf-b420-a4f2d39617d6,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805102:e1e02968-3d0c-454e-875b-c7cf5afbb9a7,1607888805102:2d063f24-6d37-4ddf-b420-a4f2d39617d6,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888805102:e1e02968-3d0c-454e-875b-c7cf5afbb9a7,1607888805102:2d063f24-6d37-4ddf-b420-a4f2d39617d6,0,true,EmptyObject,EmptyObject,pop,none
1607888805103:232aebad-e74a-435a-a80c-bed63534deed,1607888805103:61a4a239-2a83-433f-890d-628906cd4d07,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805103:232aebad-e74a-435a-a80c-bed63534deed,1607888805103:61a4a239-2a83-433f-890d-628906cd4d07,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888805103:232aebad-e74a-435a-a80c-bed63534deed,1607888805103:61a4a239-2a83-433f-890d-628906cd4d07,0,true,EmptyObject,EmptyObject,pop,none
1607888805104:c70900aa-bcc0-4591-b970-0c419593d90d,1607888805104:53dfa8df-1b13-4268-a0e7-394685b530ca,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805104:c70900aa-bcc0-4591-b970-0c419593d90d,1607888805104:53dfa8df-1b13-4268-a0e7-394685b530ca,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888805104:c70900aa-bcc0-4591-b970-0c419593d90d,1607888805104:53dfa8df-1b13-4268-a0e7-394685b530ca,0,true,EmptyObject,EmptyObject,pop,none
1607888805104:f91a0853-3146-4c98-9445-9543735f9251,1607888805104:485bcfbe-c7a6-4cca-a30b-1b62228f43d0,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805104:f91a0853-3146-4c98-9445-9543735f9251,1607888805104:485bcfbe-c7a6-4cca-a30b-1b62228f43d0,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888805104:f91a0853-3146-4c98-9445-9543735f9251,1607888805104:485bcfbe-c7a6-4cca-a30b-1b62228f43d0,0,true,EmptyObject,EmptyObject,pop,none
1607888805105:a604a58a-cb0d-40ce-b5c8-e8a8be30aaac,1607888805105:511eb08c-4f50-4827-b5e3-840c10df79ce,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805105:a604a58a-cb0d-40ce-b5c8-e8a8be30aaac,1607888805105:511eb08c-4f50-4827-b5e3-840c10df79ce,0,true,EmptyObject,EmptyObject,clear,none
1607888805105:a604a58a-cb0d-40ce-b5c8-e8a8be30aaac,1607888805105:511eb08c-4f50-4827-b5e3-840c10df79ce,0,true,EmptyObject,EmptyObject,pop,none
1607888805105:932b58b9-3c64-4230-b005-397b65b5a31a,1607888805105:c490411f-21e1-4060-a596-708d299458c5,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805105:932b58b9-3c64-4230-b005-397b65b5a31a,1607888805105:c490411f-21e1-4060-a596-708d299458c5,0,true,EmptyObject,EmptyObject,clear,none
1607888805105:932b58b9-3c64-4230-b005-397b65b5a31a,1607888805105:c490411f-21e1-4060-a596-708d299458c5,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607888805106:d5cd5c8f-7f79-4571-8057-03705ed26b31,1607888805106:c98921a9-5536-43e0-81bc-e5ab196ffd32,0,true,EmptyObject,EmptyObject,CTOR,none
1607888805106:d5cd5c8f-7f79-4571-8057-03705ed26b31,1607888805106:c98921a9-5536-43e0-81bc-e5ab196ffd32,0,true,EmptyObject,EmptyObject,push,class java.lang.String
