testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607887891333:3ee44484-822a-4afc-acb8-7b3efb8bcabe,1607887892940:0d60c917-ab55-4f5a-b3ee-ed59d73ef368,0,true,EmptyObject,EmptyObject,CTOR,none
1607887891333:3ee44484-822a-4afc-acb8-7b3efb8bcabe,1607887892940:0d60c917-ab55-4f5a-b3ee-ed59d73ef368,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887891333:3ee44484-822a-4afc-acb8-7b3efb8bcabe,1607887892940:0d60c917-ab55-4f5a-b3ee-ed59d73ef368,0,true,EmptyObject,EmptyObject,pop,none
1607887892958:0d1cdc0b-9d49-433c-b375-292c93d78529,1607887892958:9230408b-c620-4787-85f8-bfde478995bb,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892958:0d1cdc0b-9d49-433c-b375-292c93d78529,1607887892958:9230408b-c620-4787-85f8-bfde478995bb,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892958:0d1cdc0b-9d49-433c-b375-292c93d78529,1607887892958:9230408b-c620-4787-85f8-bfde478995bb,0,true,EmptyObject,EmptyObject,pop,none
1607887892960:4c339c65-7401-4874-b5c6-d4a2d8fb5462,1607887892960:85db9b51-4a30-4e38-b2af-468cc1df9caa,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892960:4c339c65-7401-4874-b5c6-d4a2d8fb5462,1607887892960:85db9b51-4a30-4e38-b2af-468cc1df9caa,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892960:4c339c65-7401-4874-b5c6-d4a2d8fb5462,1607887892960:85db9b51-4a30-4e38-b2af-468cc1df9caa,0,true,EmptyObject,EmptyObject,pop,none
1607887892961:0037240c-4266-4300-9b86-c9660f608c4b,1607887892961:8fe520c6-43a5-4dcd-a6a6-180eaf4d44e6,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892961:0037240c-4266-4300-9b86-c9660f608c4b,1607887892961:8fe520c6-43a5-4dcd-a6a6-180eaf4d44e6,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892961:0037240c-4266-4300-9b86-c9660f608c4b,1607887892961:8fe520c6-43a5-4dcd-a6a6-180eaf4d44e6,0,true,EmptyObject,EmptyObject,pop,none
1607887892961:4578e946-537d-4586-b09b-14341839deeb,1607887892961:34cd1b88-a3d0-4f38-a9c8-4100362d0faa,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892961:4578e946-537d-4586-b09b-14341839deeb,1607887892961:34cd1b88-a3d0-4f38-a9c8-4100362d0faa,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892961:4578e946-537d-4586-b09b-14341839deeb,1607887892961:34cd1b88-a3d0-4f38-a9c8-4100362d0faa,0,true,EmptyObject,EmptyObject,pop,none
1607887892962:4355b107-c44f-4731-8ff8-8e3a5d7adfae,1607887892962:84690406-5621-4f5e-8d80-8b4febfe4c3d,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892962:4355b107-c44f-4731-8ff8-8e3a5d7adfae,1607887892962:84690406-5621-4f5e-8d80-8b4febfe4c3d,0,true,EmptyObject,EmptyObject,clear,none
1607887892962:4355b107-c44f-4731-8ff8-8e3a5d7adfae,1607887892962:84690406-5621-4f5e-8d80-8b4febfe4c3d,0,true,EmptyObject,EmptyObject,pop,none
1607887892962:a93c6a87-3056-493c-ba58-452f13557eda,1607887892962:dc7fc163-3d07-4e7e-9228-a4a65c7dd8b2,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892962:a93c6a87-3056-493c-ba58-452f13557eda,1607887892962:dc7fc163-3d07-4e7e-9228-a4a65c7dd8b2,0,true,EmptyObject,EmptyObject,clear,none
1607887892962:a93c6a87-3056-493c-ba58-452f13557eda,1607887892962:dc7fc163-3d07-4e7e-9228-a4a65c7dd8b2,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892963:3c1b6f7a-4390-46cc-b236-6ace8a7c3390,1607887892963:d1da02d1-e666-4c3a-9a4b-fcc34ad15f03,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892963:3c1b6f7a-4390-46cc-b236-6ace8a7c3390,1607887892963:d1da02d1-e666-4c3a-9a4b-fcc34ad15f03,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892963:3c1b6f7a-4390-46cc-b236-6ace8a7c3390,1607887892963:d1da02d1-e666-4c3a-9a4b-fcc34ad15f03,0,true,EmptyObject,EmptyObject,pop,none
1607887892964:774ce0ac-9967-4353-b330-e0fde1843237,1607887892964:df600678-23ad-4ab9-9c4e-948f7f22d77f,0,true,EmptyObject,EmptyObject,CTOR,none
1607887892964:774ce0ac-9967-4353-b330-e0fde1843237,1607887892964:df600678-23ad-4ab9-9c4e-948f7f22d77f,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887892964:50ab6e5a-7e2d-4703-b44c-8aef5cfb59a8,1607887892964:ee6e6485-c537-4606-9c73-a4b9a22fa559,0,true,EmptyObject,EmptyObject,CTOR,none
