testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607889298397:14e64ff6-cab3-4d1a-ac35-cafbfcc10380,1607889298729:f19bd343-7229-4ed8-af5f-005f71f9c498,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298397:14e64ff6-cab3-4d1a-ac35-cafbfcc10380,1607889298729:f19bd343-7229-4ed8-af5f-005f71f9c498,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298397:14e64ff6-cab3-4d1a-ac35-cafbfcc10380,1607889298729:f19bd343-7229-4ed8-af5f-005f71f9c498,0,true,EmptyObject,EmptyObject,pop,none
1607889298734:4bb82cde-3cd9-4a8d-8221-beb5189a89a0,1607889298734:cd81d74b-0413-49f1-9cbf-4b16a3c7f0fd,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298734:4bb82cde-3cd9-4a8d-8221-beb5189a89a0,1607889298734:cd81d74b-0413-49f1-9cbf-4b16a3c7f0fd,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298734:4bb82cde-3cd9-4a8d-8221-beb5189a89a0,1607889298734:cd81d74b-0413-49f1-9cbf-4b16a3c7f0fd,0,true,EmptyObject,EmptyObject,pop,none
1607889298737:1f1db1ed-7d33-499b-804f-a6ee7b277527,1607889298737:30e741d6-6685-4c2d-8f26-da86ed51dc3d,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298737:1f1db1ed-7d33-499b-804f-a6ee7b277527,1607889298737:30e741d6-6685-4c2d-8f26-da86ed51dc3d,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298737:1f1db1ed-7d33-499b-804f-a6ee7b277527,1607889298737:30e741d6-6685-4c2d-8f26-da86ed51dc3d,0,true,EmptyObject,EmptyObject,pop,none
1607889298738:c8421985-c2cc-4866-917c-a4e10e8846bb,1607889298738:2ebf5e76-02f6-44da-b7ad-dc6aec9f1724,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298738:c8421985-c2cc-4866-917c-a4e10e8846bb,1607889298738:2ebf5e76-02f6-44da-b7ad-dc6aec9f1724,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298738:c8421985-c2cc-4866-917c-a4e10e8846bb,1607889298738:2ebf5e76-02f6-44da-b7ad-dc6aec9f1724,0,true,EmptyObject,EmptyObject,pop,none
1607889298738:92a6d1c7-5745-4baa-8555-80b585d6116f,1607889298738:ed159fc0-d269-4d93-9f66-2b67e924e9c9,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298738:92a6d1c7-5745-4baa-8555-80b585d6116f,1607889298738:ed159fc0-d269-4d93-9f66-2b67e924e9c9,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298738:92a6d1c7-5745-4baa-8555-80b585d6116f,1607889298738:ed159fc0-d269-4d93-9f66-2b67e924e9c9,0,true,EmptyObject,EmptyObject,pop,none
1607889298738:b8abf408-e60e-4cbe-bb58-2389e96c9bea,1607889298738:c7976556-7744-48b1-ab5c-d2ff0fbf7741,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298738:b8abf408-e60e-4cbe-bb58-2389e96c9bea,1607889298738:c7976556-7744-48b1-ab5c-d2ff0fbf7741,0,true,EmptyObject,EmptyObject,clear,none
1607889298738:b8abf408-e60e-4cbe-bb58-2389e96c9bea,1607889298738:c7976556-7744-48b1-ab5c-d2ff0fbf7741,0,true,EmptyObject,EmptyObject,pop,none
1607889298738:e9521a4d-9c3e-4c54-a865-af308e2a9146,1607889298738:1082be8b-02b2-44a3-883c-64161b2192e4,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298738:e9521a4d-9c3e-4c54-a865-af308e2a9146,1607889298738:1082be8b-02b2-44a3-883c-64161b2192e4,0,true,EmptyObject,EmptyObject,clear,none
1607889298738:e9521a4d-9c3e-4c54-a865-af308e2a9146,1607889298738:1082be8b-02b2-44a3-883c-64161b2192e4,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298739:382f4b6a-d092-4273-a776-9e24ba8976a3,1607889298739:f54e8d30-01c0-4606-982e-b0bcb773ad43,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298739:382f4b6a-d092-4273-a776-9e24ba8976a3,1607889298739:f54e8d30-01c0-4606-982e-b0bcb773ad43,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298739:382f4b6a-d092-4273-a776-9e24ba8976a3,1607889298739:f54e8d30-01c0-4606-982e-b0bcb773ad43,0,true,EmptyObject,EmptyObject,pop,none
1607889298739:37834e28-11ec-4c84-8b79-6c310bff363a,1607889298739:76a06098-6893-4dc0-bccd-9534d691290a,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298739:37834e28-11ec-4c84-8b79-6c310bff363a,1607889298739:76a06098-6893-4dc0-bccd-9534d691290a,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607889298740:71c85415-381b-44ec-b459-c970b3a46ae7,1607889298740:6632953f-ff4a-45a3-9d5c-0d43cd5f8d98,0,true,EmptyObject,EmptyObject,CTOR,none
1607889298740:71c85415-381b-44ec-b459-c970b3a46ae7,1607889298740:6632953f-ff4a-45a3-9d5c-0d43cd5f8d98,0,true,EmptyObject,EmptyObject,push,class java.lang.String
