testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607887775148:429e0ade-80c5-48e0-9ae6-ede78750a9ac,1607887775930:db1ff22c-736e-4dfc-a652-7647c296130d,0,true,EmptyObject,EmptyObject,CTOR,none
1607887775148:429e0ade-80c5-48e0-9ae6-ede78750a9ac,1607887775930:db1ff22c-736e-4dfc-a652-7647c296130d,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887775148:429e0ade-80c5-48e0-9ae6-ede78750a9ac,1607887775930:db1ff22c-736e-4dfc-a652-7647c296130d,0,true,EmptyObject,EmptyObject,pop,none
1607887775936:8f9add39-b9d7-459e-9a0a-0ee774c85c49,1607887775936:21c23b93-4317-4bd9-8e7b-c18b6430e3e2,0,true,EmptyObject,EmptyObject,CTOR,none
1607887775936:8f9add39-b9d7-459e-9a0a-0ee774c85c49,1607887775936:21c23b93-4317-4bd9-8e7b-c18b6430e3e2,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887775936:8f9add39-b9d7-459e-9a0a-0ee774c85c49,1607887775936:21c23b93-4317-4bd9-8e7b-c18b6430e3e2,0,true,EmptyObject,EmptyObject,pop,none
1607887775937:f85472fe-1606-4e24-8ab1-3c5b5e122ce2,1607887775937:afe198e6-95d7-4182-b51a-766fa6c2dd39,0,true,EmptyObject,EmptyObject,CTOR,none
1607887775937:f85472fe-1606-4e24-8ab1-3c5b5e122ce2,1607887775937:afe198e6-95d7-4182-b51a-766fa6c2dd39,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607887775937:f85472fe-1606-4e24-8ab1-3c5b5e122ce2,1607887775937:afe198e6-95d7-4182-b51a-766fa6c2dd39,0,true,EmptyObject,EmptyObject,pop,none
1607887775938:e9194506-55f2-4f93-9bbc-a01d8a362a12,1607887775938:d500223d-8665-4bfd-9163-e0643bdd717c,0,true,EmptyObject,EmptyObject,CTOR,none
