testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607925752115:6d4cc019-81dd-471e-81cc-77aac939c8fc,1607925752400:ca44915c-1c3b-44a0-99c6-deb7359ca577,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752115:6d4cc019-81dd-471e-81cc-77aac939c8fc,1607925752400:ca44915c-1c3b-44a0-99c6-deb7359ca577,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925752115:6d4cc019-81dd-471e-81cc-77aac939c8fc,1607925752400:ca44915c-1c3b-44a0-99c6-deb7359ca577,1,true,EmptyObject,class java.lang.String,pop,none
1607925752403:26e3f8fe-0016-438c-8c2b-59ab91e769b4,1607925752403:3d145191-e926-4626-9a7c-f912d8350502,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752403:26e3f8fe-0016-438c-8c2b-59ab91e769b4,1607925752403:3d145191-e926-4626-9a7c-f912d8350502,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925752403:26e3f8fe-0016-438c-8c2b-59ab91e769b4,1607925752403:3d145191-e926-4626-9a7c-f912d8350502,1,true,EmptyObject,class java.lang.String,pop,none
1607925752405:be071c1d-b50c-4b74-a76e-49f5cb609f89,1607925752405:924eec80-7490-4e78-80f1-60ad5a213504,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752405:be071c1d-b50c-4b74-a76e-49f5cb609f89,1607925752405:924eec80-7490-4e78-80f1-60ad5a213504,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925752405:be071c1d-b50c-4b74-a76e-49f5cb609f89,1607925752405:924eec80-7490-4e78-80f1-60ad5a213504,1,true,EmptyObject,class java.lang.String,pop,none
1607925752406:e3b2e1ee-bfea-4356-a4b9-1471f2ee9667,1607925752406:32ea2cbc-3370-4a21-86d7-1b1ef558c282,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752406:e3b2e1ee-bfea-4356-a4b9-1471f2ee9667,1607925752406:32ea2cbc-3370-4a21-86d7-1b1ef558c282,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925752406:e3b2e1ee-bfea-4356-a4b9-1471f2ee9667,1607925752406:32ea2cbc-3370-4a21-86d7-1b1ef558c282,1,true,EmptyObject,class java.lang.String,pop,none
1607925752406:1ad8ca2f-6395-4fa1-8c65-6db6728795d8,1607925752406:b16b0fdf-5e87-40a6-a315-5af1ae063b7b,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752406:1ad8ca2f-6395-4fa1-8c65-6db6728795d8,1607925752406:b16b0fdf-5e87-40a6-a315-5af1ae063b7b,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925752406:1ad8ca2f-6395-4fa1-8c65-6db6728795d8,1607925752406:b16b0fdf-5e87-40a6-a315-5af1ae063b7b,1,true,EmptyObject,class java.lang.String,pop,none
1607925752406:8c2b4132-5a42-48e9-9407-f0bd95d5aa13,1607925752406:417df6b2-bec1-490c-a019-7946b96c153a,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752406:8c2b4132-5a42-48e9-9407-f0bd95d5aa13,1607925752406:417df6b2-bec1-490c-a019-7946b96c153a,0,true,EmptyObject,EmptyObject,clear,none
1607925752406:8c2b4132-5a42-48e9-9407-f0bd95d5aa13,1607925752406:417df6b2-bec1-490c-a019-7946b96c153a,0,true,EmptyObject,EmptyObject,pop,none
1607925752407:fb48c14a-b45c-44bd-87a9-61ca71059e67,1607925752407:73a54f64-c9a4-47f4-b102-9582e74acb91,0,true,EmptyObject,EmptyObject,CTOR,none
1607925752407:fb48c14a-b45c-44bd-87a9-61ca71059e67,1607925752407:73a54f64-c9a4-47f4-b102-9582e74acb91,0,true,EmptyObject,EmptyObject,clear,none
1607925752407:fb48c14a-b45c-44bd-87a9-61ca71059e67,1607925752407:73a54f64-c9a4-47f4-b102-9582e74acb91,1,true,EmptyObject,class java.lang.String,push,class java.lang.String
