testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607925979504:00129215-36bc-4067-b28d-f6986d80f386,1607925979736:7972ed11-8b2a-41b0-b893-66dde5f730ef,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979504:00129215-36bc-4067-b28d-f6986d80f386,1607925979736:7972ed11-8b2a-41b0-b893-66dde5f730ef,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979504:00129215-36bc-4067-b28d-f6986d80f386,1607925979736:7972ed11-8b2a-41b0-b893-66dde5f730ef,9,true,EmptyObject,class java.lang.String,pop,none
1607925979739:ef240d93-8a08-4bee-8036-485bd6efee36,1607925979739:78ab6d21-49b8-4ba0-ab5a-bea3f692f88b,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979739:ef240d93-8a08-4bee-8036-485bd6efee36,1607925979739:78ab6d21-49b8-4ba0-ab5a-bea3f692f88b,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979739:ef240d93-8a08-4bee-8036-485bd6efee36,1607925979739:78ab6d21-49b8-4ba0-ab5a-bea3f692f88b,9,true,EmptyObject,class java.lang.String,pop,none
1607925979741:cf01111c-2313-4470-abb7-a0aa827098f1,1607925979741:c38ebc5f-e56a-47f3-9bf7-80282a301ada,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979741:cf01111c-2313-4470-abb7-a0aa827098f1,1607925979741:c38ebc5f-e56a-47f3-9bf7-80282a301ada,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979741:cf01111c-2313-4470-abb7-a0aa827098f1,1607925979741:c38ebc5f-e56a-47f3-9bf7-80282a301ada,9,true,EmptyObject,class java.lang.String,pop,none
1607925979742:21a21341-7458-4a4b-b55f-0d8dc4f28968,1607925979742:d8ebd408-3124-4dec-bb8e-832f028f57df,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979742:21a21341-7458-4a4b-b55f-0d8dc4f28968,1607925979742:d8ebd408-3124-4dec-bb8e-832f028f57df,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979742:21a21341-7458-4a4b-b55f-0d8dc4f28968,1607925979742:d8ebd408-3124-4dec-bb8e-832f028f57df,9,true,EmptyObject,class java.lang.String,pop,none
1607925979742:2f957320-4802-4eae-945c-e1922e4b50cf,1607925979742:d69436a1-8c7f-4c68-bcc8-4f1a317f7743,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979742:2f957320-4802-4eae-945c-e1922e4b50cf,1607925979742:d69436a1-8c7f-4c68-bcc8-4f1a317f7743,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979742:2f957320-4802-4eae-945c-e1922e4b50cf,1607925979742:d69436a1-8c7f-4c68-bcc8-4f1a317f7743,9,true,EmptyObject,class java.lang.String,pop,none
1607925979742:c7144ed9-82cf-49da-91b7-71338537ab33,1607925979742:2d7b6c61-074f-4c73-9858-56f41b5a0153,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979742:c7144ed9-82cf-49da-91b7-71338537ab33,1607925979742:2d7b6c61-074f-4c73-9858-56f41b5a0153,0,true,EmptyObject,EmptyObject,clear,none
1607925979742:c7144ed9-82cf-49da-91b7-71338537ab33,1607925979742:2d7b6c61-074f-4c73-9858-56f41b5a0153,0,true,EmptyObject,EmptyObject,pop,none
1607925979743:e8e64cff-fd24-4b1e-a2c8-a936df038bc2,1607925979743:9e25a30e-66b9-4070-a0c0-eab9d01ca7d5,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979743:e8e64cff-fd24-4b1e-a2c8-a936df038bc2,1607925979743:9e25a30e-66b9-4070-a0c0-eab9d01ca7d5,0,true,EmptyObject,EmptyObject,clear,none
1607925979743:e8e64cff-fd24-4b1e-a2c8-a936df038bc2,1607925979743:9e25a30e-66b9-4070-a0c0-eab9d01ca7d5,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979743:1bfbcdcf-57db-4848-90a5-05b494c93408,1607925979743:1a18ff0c-d570-4f03-b93d-a4fabbf323c0,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979743:1bfbcdcf-57db-4848-90a5-05b494c93408,1607925979743:1a18ff0c-d570-4f03-b93d-a4fabbf323c0,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979743:1bfbcdcf-57db-4848-90a5-05b494c93408,1607925979743:1a18ff0c-d570-4f03-b93d-a4fabbf323c0,9,true,EmptyObject,class java.lang.String,pop,none
1607925979743:064d8204-90e5-4a88-a3a9-80798d75375d,1607925979743:f3c02b35-84c7-415b-8684-342d57664e46,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979743:064d8204-90e5-4a88-a3a9-80798d75375d,1607925979743:f3c02b35-84c7-415b-8684-342d57664e46,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979744:bb11d33b-9f56-4c42-a93c-7e831cf2910b,1607925979744:be78fc0b-dc4f-4391-8757-069ebc1bd2ce,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979744:bb11d33b-9f56-4c42-a93c-7e831cf2910b,1607925979744:be78fc0b-dc4f-4391-8757-069ebc1bd2ce,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979744:bb11d33b-9f56-4c42-a93c-7e831cf2910b,1607925979744:be78fc0b-dc4f-4391-8757-069ebc1bd2ce,9,true,EmptyObject,class java.lang.String,pop,none
1607925979744:58f73ad7-0048-4277-90fe-0e9b6d661a93,1607925979744:fe3c6009-24eb-4d24-9f54-e2653ca7aa86,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979744:58f73ad7-0048-4277-90fe-0e9b6d661a93,1607925979744:fe3c6009-24eb-4d24-9f54-e2653ca7aa86,0,true,EmptyObject,EmptyObject,clear,none
1607925979744:58f73ad7-0048-4277-90fe-0e9b6d661a93,1607925979744:fe3c6009-24eb-4d24-9f54-e2653ca7aa86,0,true,EmptyObject,EmptyObject,clear,none
1607925979744:58f73ad7-0048-4277-90fe-0e9b6d661a93,1607925979744:fe3c6009-24eb-4d24-9f54-e2653ca7aa86,0,true,EmptyObject,EmptyObject,pop,none
1607925979744:3a7f8d8f-fd45-4973-aeae-eaf470d96f65,1607925979744:30d1da03-e23f-4aec-b861-0deef99b6adb,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979744:3a7f8d8f-fd45-4973-aeae-eaf470d96f65,1607925979744:30d1da03-e23f-4aec-b861-0deef99b6adb,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979744:3a7f8d8f-fd45-4973-aeae-eaf470d96f65,1607925979744:30d1da03-e23f-4aec-b861-0deef99b6adb,9,true,EmptyObject,class java.lang.String,pop,none
1607925979745:2d271675-f97d-4403-b18a-f4233ad630c0,1607925979745:6ddd7bec-8ff5-4f09-9347-63c108bf139b,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979745:2d271675-f97d-4403-b18a-f4233ad630c0,1607925979745:6ddd7bec-8ff5-4f09-9347-63c108bf139b,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979745:2d271675-f97d-4403-b18a-f4233ad630c0,1607925979745:6ddd7bec-8ff5-4f09-9347-63c108bf139b,9,true,EmptyObject,class java.lang.String,pop,none
1607925979745:08c11b03-3721-4939-aa23-66492184c02a,1607925979745:d66a859e-a33a-4c53-b38d-b7fc4692df68,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979745:08c11b03-3721-4939-aa23-66492184c02a,1607925979745:d66a859e-a33a-4c53-b38d-b7fc4692df68,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979745:08c11b03-3721-4939-aa23-66492184c02a,1607925979745:d66a859e-a33a-4c53-b38d-b7fc4692df68,9,true,EmptyObject,class java.lang.String,pop,none
1607925979745:6c3a2f31-f9dc-4a82-81bb-9163feb2fd68,1607925979745:03fcc95c-db59-4742-9d6b-e00e7bbc6bb7,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979745:6c3a2f31-f9dc-4a82-81bb-9163feb2fd68,1607925979745:03fcc95c-db59-4742-9d6b-e00e7bbc6bb7,0,true,EmptyObject,EmptyObject,clear,none
1607925979745:6c3a2f31-f9dc-4a82-81bb-9163feb2fd68,1607925979745:03fcc95c-db59-4742-9d6b-e00e7bbc6bb7,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979746:734e3bd1-ba7a-42f2-b325-7d4e249e5a20,1607925979746:64360b31-8b55-4a97-8715-22aaad7e97a0,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979746:734e3bd1-ba7a-42f2-b325-7d4e249e5a20,1607925979746:64360b31-8b55-4a97-8715-22aaad7e97a0,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979746:734e3bd1-ba7a-42f2-b325-7d4e249e5a20,1607925979747:9c14b76b-4b97-406a-b9d0-c3d8c38f2b17,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979746:734e3bd1-ba7a-42f2-b325-7d4e249e5a20,1607925979747:9c14b76b-4b97-406a-b9d0-c3d8c38f2b17,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979746:734e3bd1-ba7a-42f2-b325-7d4e249e5a20,1607925979747:9c14b76b-4b97-406a-b9d0-c3d8c38f2b17,9,true,EmptyObject,class java.lang.String,pop,none
1607925979747:311dbec1-b551-4be0-969a-7ddc2417c593,1607925979747:9babeff7-2d27-4caf-add0-efd8b3d5110c,0,true,EmptyObject,EmptyObject,CTOR,none
1607925979747:311dbec1-b551-4be0-969a-7ddc2417c593,1607925979747:9babeff7-2d27-4caf-add0-efd8b3d5110c,0,true,EmptyObject,EmptyObject,clear,none
1607925979747:311dbec1-b551-4be0-969a-7ddc2417c593,1607925979747:9babeff7-2d27-4caf-add0-efd8b3d5110c,9,true,EmptyObject,class java.lang.String,push,class java.lang.String
1607925979747:311dbec1-b551-4be0-969a-7ddc2417c593,1607925979747:9babeff7-2d27-4caf-add0-efd8b3d5110c,9,true,EmptyObject,class java.lang.String,pop,none
