testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607884972944:e9aa6ad1-18ba-4a96-b4c6-1620c32d68f2,1607884973255:eb678195-dee5-4e56-81b1-83305efcdb1a,0,true,EmptyObject,EmptyObject,CTOR,none
1607884972944:e9aa6ad1-18ba-4a96-b4c6-1620c32d68f2,1607884973255:eb678195-dee5-4e56-81b1-83305efcdb1a,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607884972944:e9aa6ad1-18ba-4a96-b4c6-1620c32d68f2,1607884973255:eb678195-dee5-4e56-81b1-83305efcdb1a,0,true,EmptyObject,EmptyObject,pop,none
1607884973257:8ea084d7-7b4f-4d2e-be38-a11af737d1fd,1607884973257:106367c8-7d9f-456c-8c56-c3a3c691301c,0,true,EmptyObject,EmptyObject,CTOR,none
1607884973257:8ea084d7-7b4f-4d2e-be38-a11af737d1fd,1607884973257:106367c8-7d9f-456c-8c56-c3a3c691301c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607884973257:8ea084d7-7b4f-4d2e-be38-a11af737d1fd,1607884973257:106367c8-7d9f-456c-8c56-c3a3c691301c,0,true,EmptyObject,EmptyObject,pop,none
1607884973258:d8cca50f-9c52-43d6-b8b1-96da0e66f3a8,1607884973258:e05b5232-a99b-42c2-8121-eb872a391f8d,0,true,EmptyObject,EmptyObject,CTOR,none
1607884973258:d8cca50f-9c52-43d6-b8b1-96da0e66f3a8,1607884973258:e05b5232-a99b-42c2-8121-eb872a391f8d,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607884973258:d8cca50f-9c52-43d6-b8b1-96da0e66f3a8,1607884973258:e05b5232-a99b-42c2-8121-eb872a391f8d,0,true,EmptyObject,EmptyObject,pop,none
1607884973258:966b169e-c29b-47e1-9800-c25c6a91525a,1607884973258:96f0d7f7-8007-4edd-86ed-7c9314e82df6,0,true,EmptyObject,EmptyObject,CTOR,none
1607884973258:966b169e-c29b-47e1-9800-c25c6a91525a,1607884973258:96f0d7f7-8007-4edd-86ed-7c9314e82df6,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607884973258:966b169e-c29b-47e1-9800-c25c6a91525a,1607884973258:96f0d7f7-8007-4edd-86ed-7c9314e82df6,0,true,EmptyObject,EmptyObject,pop,none
1607884973259:723ef2f5-b3d7-4caf-aaf0-5f6880c2b747,1607884973259:c7a8bdb7-52b9-410d-9e9a-9ee85f94f799,0,true,EmptyObject,EmptyObject,CTOR,none
