testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607938229910:83444064-6ee7-47f6-952c-233ab32a4880,1607938230213:ae79cae5-ff44-4c2c-b315-390e55975643,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230217:08077835-22e6-4643-9ac0-59ab1aa65352,1607938230217:e8a8bd3e-655e-4b56-b4cd-42f5411b18a0,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230217:6c70fa8f-446b-4051-ab23-d492f7afb9d2,1607938230217:79e0d9d3-6f8c-4105-b8c2-a9c63c4d868d,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230218:dd3f5b00-e58d-4d6b-8452-07ecf15ebb6a,1607938230218:10b74bfe-816c-4e4a-826c-dc4b34421875,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230220:2c687267-285c-4c3d-afa8-44aed1c683b2,1607938230220:2c95b9af-fb70-4fe7-b68e-94f168b779a4,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230220:63ecae01-79ab-4148-8f16-c202868944ec,1607938230220:360cb066-bef8-4540-98e1-5f5f50b54a9b,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230220:63ecae01-79ab-4148-8f16-c202868944ec,1607938230220:360cb066-bef8-4540-98e1-5f5f50b54a9b,0,true,EmptyObject,EmptyObject,clear,none
1607938230220:63ecae01-79ab-4148-8f16-c202868944ec,1607938230220:360cb066-bef8-4540-98e1-5f5f50b54a9b,0,true,EmptyObject,EmptyObject,pop,none
1607938230221:712a987b-2682-4fe7-abc5-b11b687c8414,1607938230221:d0e27abc-a467-4e28-8b95-6494813ffec6,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230221:712a987b-2682-4fe7-abc5-b11b687c8414,1607938230221:d0e27abc-a467-4e28-8b95-6494813ffec6,0,true,EmptyObject,EmptyObject,clear,none
1607938230221:945a5169-6d48-42b4-9323-fb6793964114,1607938230221:71a9829c-2059-4f34-a3d4-225e59565103,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230221:35a67805-0153-4883-9728-5e9a6aa6bbcd,1607938230221:7105085d-dc0e-4d08-9cc2-0ab7ac770746,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230221:e7aa4854-7707-4a24-9d2b-c3ac7ebddc6b,1607938230221:911bba18-5685-4a81-bb1f-1d38c1b74a87,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230222:8156414c-1a4e-4d7d-abc2-9e6064795233,1607938230222:32928bf0-e615-4dec-8566-05c744078643,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230222:8156414c-1a4e-4d7d-abc2-9e6064795233,1607938230222:32928bf0-e615-4dec-8566-05c744078643,0,true,EmptyObject,EmptyObject,clear,none
1607938230222:8156414c-1a4e-4d7d-abc2-9e6064795233,1607938230222:32928bf0-e615-4dec-8566-05c744078643,0,true,EmptyObject,EmptyObject,clear,none
1607938230222:8156414c-1a4e-4d7d-abc2-9e6064795233,1607938230222:32928bf0-e615-4dec-8566-05c744078643,0,true,EmptyObject,EmptyObject,pop,none
1607938230222:255098c7-4b03-4b65-a5be-d18269fd4e40,1607938230222:29a5e03f-7668-4882-bb3c-34c7ce6a60e5,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230222:03aa40b4-67ca-4082-8444-6cc09536567c,1607938230222:94325221-de63-4e72-9dcc-39413a244d1e,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230223:6ce65079-9d49-47f0-a899-b2da12ecd870,1607938230223:3a832e9d-2ea0-4114-9dae-3fb5495d5e69,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230223:99c360b9-8255-486f-9ef1-d69c1103e497,1607938230223:ec77d908-268f-4580-8470-e3fb5d0b12c3,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230223:99c360b9-8255-486f-9ef1-d69c1103e497,1607938230223:ec77d908-268f-4580-8470-e3fb5d0b12c3,0,true,EmptyObject,EmptyObject,clear,none
1607938230224:2594e71c-7dbe-452c-81e5-a0bbf9de6101,1607938230224:bd26f5ea-d8a6-49aa-8ea1-a80287e1c793,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230225:61e30a21-a392-4a7d-900e-2ef9ff76b6ef,1607938230225:d22e4761-7583-4d34-81bb-002c9582b37a,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230225:61e30a21-a392-4a7d-900e-2ef9ff76b6ef,1607938230225:d22e4761-7583-4d34-81bb-002c9582b37a,0,true,EmptyObject,EmptyObject,clear,none
1607938230225:9f3bb02d-caea-4900-9693-5bb5dc5c6d6a,1607938230225:e6910c6e-d80c-41a3-964b-c353d1935d8c,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230226:c9fb25a6-d4f4-4795-bb53-4e2a8d68fd2b,1607938230226:370ea635-7d04-4c76-bd6b-9c71e19844af,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230226:6c46a40c-f015-48a1-a605-656a47f3da58,1607938230226:0f75f921-539e-4c64-a0f1-3281f0a4cec6,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230227:2da7189c-adb5-4bac-a453-b4fbb727583d,1607938230227:aada8431-8550-4c99-8df2-2a6780f20049,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230227:8fbda08c-4029-4ff8-97e1-f29c9c49cd7f,1607938230227:35d51b2c-8ce9-4998-a23d-09c8cdf73b53,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230227:363eeac3-d65e-429b-888b-a34111317e63,1607938230227:f29dc23e-8d06-4c57-82bc-aa00f5909e05,0,true,EmptyObject,EmptyObject,CTOR,none
1607938230228:b12e456f-3431-49df-b320-726b12ba339c,1607938230228:0f8454b2-84f4-4a0a-855e-82ec88ad514a,0,true,EmptyObject,EmptyObject,CTOR,none
