testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607937293761:f9d59f31-3019-4890-89d7-d1ef53a20de2,1607937294120:16d85110-992c-4386-81cd-3cdc26c20e58,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294123:5184dc4a-93fe-4eeb-8612-c2ea17e88849,1607937294124:41cf0886-35c5-431a-8fba-71ca494473b5,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294124:1555d238-3399-46ae-ba52-ec5b5c34ee31,1607937294124:ed08e0a2-1727-477c-a877-61bcc8d74736,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294124:dc560479-1c96-4fe1-a14e-affdb9a2f814,1607937294124:63d0fb8c-fb46-4211-b85b-670463342073,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294127:23421066-1a7c-4e86-92ee-fb12d4fac64e,1607937294127:7f822b9a-d2c4-4f42-8978-ae85ee024285,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294127:571a5941-f0bd-4bb0-b8ed-c7b65b46363b,1607937294127:6e0afa11-dcd6-4e3d-afcb-f1cbe8d2ff60,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294127:571a5941-f0bd-4bb0-b8ed-c7b65b46363b,1607937294127:6e0afa11-dcd6-4e3d-afcb-f1cbe8d2ff60,0,true,EmptyObject,EmptyObject,clear,none
1607937294127:571a5941-f0bd-4bb0-b8ed-c7b65b46363b,1607937294127:6e0afa11-dcd6-4e3d-afcb-f1cbe8d2ff60,0,true,EmptyObject,EmptyObject,pop,none
1607937294128:174cfa49-3eaa-42fd-bd93-47b14f50504b,1607937294128:865c6de6-a24c-40b1-aca8-6ea9aad87069,0,true,EmptyObject,EmptyObject,CTOR,none
1607937294128:174cfa49-3eaa-42fd-bd93-47b14f50504b,1607937294128:865c6de6-a24c-40b1-aca8-6ea9aad87069,0,true,EmptyObject,EmptyObject,clear,none
