testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607881074358:06d808cb-914c-4238-a6d8-0106d1e6bc9f,1607881074694:0eb8f3c5-b7db-40b6-a4d6-c637142297c8,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074358:06d808cb-914c-4238-a6d8-0106d1e6bc9f,1607881074694:0eb8f3c5-b7db-40b6-a4d6-c637142297c8,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074358:06d808cb-914c-4238-a6d8-0106d1e6bc9f,1607881074694:0eb8f3c5-b7db-40b6-a4d6-c637142297c8,0,true,EmptyObject,EmptyObject,pop,none
1607881074701:200944f1-c779-47c0-8195-41915c9b3435,1607881074701:f6891d55-64b8-4221-a803-ed505a274c20,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074701:200944f1-c779-47c0-8195-41915c9b3435,1607881074701:f6891d55-64b8-4221-a803-ed505a274c20,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074701:200944f1-c779-47c0-8195-41915c9b3435,1607881074701:f6891d55-64b8-4221-a803-ed505a274c20,0,true,EmptyObject,EmptyObject,pop,none
1607881074703:36505d9b-6544-4f0a-986b-0473d3dff34b,1607881074703:b0dc1748-8eee-4434-ac3f-3c8d41246085,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074703:36505d9b-6544-4f0a-986b-0473d3dff34b,1607881074703:b0dc1748-8eee-4434-ac3f-3c8d41246085,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074703:36505d9b-6544-4f0a-986b-0473d3dff34b,1607881074703:b0dc1748-8eee-4434-ac3f-3c8d41246085,0,true,EmptyObject,EmptyObject,pop,none
1607881074704:e0573084-dfb3-4c05-af03-0da8ee64a013,1607881074704:7537f0eb-3b51-4a5d-a59e-e2f034d4e641,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074704:e0573084-dfb3-4c05-af03-0da8ee64a013,1607881074704:7537f0eb-3b51-4a5d-a59e-e2f034d4e641,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074704:e0573084-dfb3-4c05-af03-0da8ee64a013,1607881074704:7537f0eb-3b51-4a5d-a59e-e2f034d4e641,0,true,EmptyObject,EmptyObject,pop,none
1607881074705:9102855d-b00d-4eeb-9877-1f2fa3275fe5,1607881074705:49b51f90-f183-4624-8a6b-f87cbbde69dc,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074705:9102855d-b00d-4eeb-9877-1f2fa3275fe5,1607881074705:49b51f90-f183-4624-8a6b-f87cbbde69dc,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074705:9102855d-b00d-4eeb-9877-1f2fa3275fe5,1607881074705:49b51f90-f183-4624-8a6b-f87cbbde69dc,0,true,EmptyObject,EmptyObject,pop,none
1607881074705:e41c5400-57ea-4ad6-ae3e-fdd92355c8e1,1607881074705:e450b2c6-f823-4c75-9a79-e361a40a3731,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074705:e41c5400-57ea-4ad6-ae3e-fdd92355c8e1,1607881074705:e450b2c6-f823-4c75-9a79-e361a40a3731,0,true,EmptyObject,EmptyObject,clear,none
1607881074705:e41c5400-57ea-4ad6-ae3e-fdd92355c8e1,1607881074705:e450b2c6-f823-4c75-9a79-e361a40a3731,0,true,EmptyObject,EmptyObject,pop,none
1607881074706:3055903d-910d-4de8-b88f-42419d254902,1607881074706:7d54f532-3538-4a2d-b327-328d918de960,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074706:3055903d-910d-4de8-b88f-42419d254902,1607881074706:7d54f532-3538-4a2d-b327-328d918de960,0,true,EmptyObject,EmptyObject,clear,none
1607881074706:3055903d-910d-4de8-b88f-42419d254902,1607881074706:7d54f532-3538-4a2d-b327-328d918de960,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074707:5fea5d72-9f71-4e06-9ae5-d494b4f630d4,1607881074707:df1a5008-fb4f-4b88-b234-3228b09fdc8a,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074707:5fea5d72-9f71-4e06-9ae5-d494b4f630d4,1607881074707:df1a5008-fb4f-4b88-b234-3228b09fdc8a,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074707:5fea5d72-9f71-4e06-9ae5-d494b4f630d4,1607881074707:df1a5008-fb4f-4b88-b234-3228b09fdc8a,0,true,EmptyObject,EmptyObject,pop,none
1607881074707:e91559aa-da36-4947-b77a-a31a58b61ff5,1607881074707:557f0b67-57aa-47e8-8178-99a67e632096,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074707:e91559aa-da36-4947-b77a-a31a58b61ff5,1607881074707:557f0b67-57aa-47e8-8178-99a67e632096,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074708:a8daa2f5-5c8f-4b12-989f-430500133845,1607881074708:d31cc16e-1a95-4556-8b3f-a525714ac440,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074708:a8daa2f5-5c8f-4b12-989f-430500133845,1607881074708:d31cc16e-1a95-4556-8b3f-a525714ac440,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074708:a8daa2f5-5c8f-4b12-989f-430500133845,1607881074708:d31cc16e-1a95-4556-8b3f-a525714ac440,0,true,EmptyObject,EmptyObject,pop,none
1607881074709:d0d59b2d-9b5d-44fe-9f28-2eec77d5d6c8,1607881074709:85bd7c82-2b93-4c60-91db-16d0138f5539,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074709:d0d59b2d-9b5d-44fe-9f28-2eec77d5d6c8,1607881074709:85bd7c82-2b93-4c60-91db-16d0138f5539,0,true,EmptyObject,EmptyObject,clear,none
1607881074709:d0d59b2d-9b5d-44fe-9f28-2eec77d5d6c8,1607881074709:85bd7c82-2b93-4c60-91db-16d0138f5539,0,true,EmptyObject,EmptyObject,clear,none
1607881074709:d0d59b2d-9b5d-44fe-9f28-2eec77d5d6c8,1607881074709:85bd7c82-2b93-4c60-91db-16d0138f5539,0,true,EmptyObject,EmptyObject,pop,none
1607881074709:3ec391bf-2ce3-40f7-a268-4e9147d45b97,1607881074709:ef9fa11e-e7e2-4b87-996a-ba34afc6e081,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074709:3ec391bf-2ce3-40f7-a268-4e9147d45b97,1607881074709:ef9fa11e-e7e2-4b87-996a-ba34afc6e081,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074709:3ec391bf-2ce3-40f7-a268-4e9147d45b97,1607881074709:ef9fa11e-e7e2-4b87-996a-ba34afc6e081,0,true,EmptyObject,EmptyObject,pop,none
1607881074710:c92072a6-3d6c-4243-91fa-a2847fdad856,1607881074710:00f4ab78-f0cf-4d39-9ab6-6d0af0b1f1b9,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074710:c92072a6-3d6c-4243-91fa-a2847fdad856,1607881074710:00f4ab78-f0cf-4d39-9ab6-6d0af0b1f1b9,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074710:c92072a6-3d6c-4243-91fa-a2847fdad856,1607881074710:00f4ab78-f0cf-4d39-9ab6-6d0af0b1f1b9,0,true,EmptyObject,EmptyObject,pop,none
1607881074710:a40a66d5-0e49-4faf-a1a7-c21014f775dc,1607881074710:0e80c7d2-130b-4be5-8951-7c4579267b3b,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074710:a40a66d5-0e49-4faf-a1a7-c21014f775dc,1607881074710:0e80c7d2-130b-4be5-8951-7c4579267b3b,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074710:a40a66d5-0e49-4faf-a1a7-c21014f775dc,1607881074710:0e80c7d2-130b-4be5-8951-7c4579267b3b,0,true,EmptyObject,EmptyObject,pop,none
1607881074711:e820262b-f2a3-4793-9ea2-b500b4608c3b,1607881074711:aff1a5d0-e118-4216-9634-defb4422714c,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074711:e820262b-f2a3-4793-9ea2-b500b4608c3b,1607881074711:aff1a5d0-e118-4216-9634-defb4422714c,0,true,EmptyObject,EmptyObject,clear,none
1607881074711:e820262b-f2a3-4793-9ea2-b500b4608c3b,1607881074711:aff1a5d0-e118-4216-9634-defb4422714c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074713:98129dd0-979c-450d-b7f5-412f6e0c977c,1607881074713:6a516ec9-985a-4735-843d-4f24885e3a8a,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074713:98129dd0-979c-450d-b7f5-412f6e0c977c,1607881074713:6a516ec9-985a-4735-843d-4f24885e3a8a,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074713:98129dd0-979c-450d-b7f5-412f6e0c977c,1607881074714:44e40c1f-adc4-47f2-b565-8e7e34d67a5c,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074713:98129dd0-979c-450d-b7f5-412f6e0c977c,1607881074714:44e40c1f-adc4-47f2-b565-8e7e34d67a5c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881074713:98129dd0-979c-450d-b7f5-412f6e0c977c,1607881074714:44e40c1f-adc4-47f2-b565-8e7e34d67a5c,0,true,EmptyObject,EmptyObject,pop,none
1607881074714:86ccaf33-c80a-454a-b880-8a8080f340bb,1607881074714:2642e07d-3e9c-4d14-aa53-81bf51cb0c25,0,true,EmptyObject,EmptyObject,CTOR,none
1607881074714:86ccaf33-c80a-454a-b880-8a8080f340bb,1607881074714:2642e07d-3e9c-4d14-aa53-81bf51cb0c25,0,true,EmptyObject,EmptyObject,clear,none
