testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607880854457:78caf8c5-e867-4a9d-93a9-460bbedc0dd2,1607880854868:7111d85f-31f7-4e2c-a6b7-f702408f152c,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854457:78caf8c5-e867-4a9d-93a9-460bbedc0dd2,1607880854868:7111d85f-31f7-4e2c-a6b7-f702408f152c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854457:78caf8c5-e867-4a9d-93a9-460bbedc0dd2,1607880854868:7111d85f-31f7-4e2c-a6b7-f702408f152c,0,true,EmptyObject,EmptyObject,pop,none
1607880854872:3c22ae26-19b6-479e-bd4f-31b2ccb18f44,1607880854872:4efbb7bc-c700-4965-a020-8acd7bff96be,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854872:3c22ae26-19b6-479e-bd4f-31b2ccb18f44,1607880854872:4efbb7bc-c700-4965-a020-8acd7bff96be,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854872:3c22ae26-19b6-479e-bd4f-31b2ccb18f44,1607880854872:4efbb7bc-c700-4965-a020-8acd7bff96be,0,true,EmptyObject,EmptyObject,pop,none
1607880854875:860cf47a-1098-47a4-aec5-4a579d43a049,1607880854875:14de2377-16d8-42be-a9a8-a5db0cdc4899,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854875:860cf47a-1098-47a4-aec5-4a579d43a049,1607880854875:14de2377-16d8-42be-a9a8-a5db0cdc4899,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854875:860cf47a-1098-47a4-aec5-4a579d43a049,1607880854875:14de2377-16d8-42be-a9a8-a5db0cdc4899,0,true,EmptyObject,EmptyObject,pop,none
1607880854876:b17c7602-2d7b-46a7-be71-adb134c8150c,1607880854876:d0248ef4-5be2-4a8e-a603-14cbc9757adf,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854876:b17c7602-2d7b-46a7-be71-adb134c8150c,1607880854876:d0248ef4-5be2-4a8e-a603-14cbc9757adf,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854876:b17c7602-2d7b-46a7-be71-adb134c8150c,1607880854876:d0248ef4-5be2-4a8e-a603-14cbc9757adf,0,true,EmptyObject,EmptyObject,pop,none
1607880854877:21cb2c40-6542-4d1c-a028-35e7f2000d8d,1607880854877:1ead5bf0-c1ce-4f99-b377-9ec5865a1fb5,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854877:21cb2c40-6542-4d1c-a028-35e7f2000d8d,1607880854877:1ead5bf0-c1ce-4f99-b377-9ec5865a1fb5,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854877:21cb2c40-6542-4d1c-a028-35e7f2000d8d,1607880854877:1ead5bf0-c1ce-4f99-b377-9ec5865a1fb5,0,true,EmptyObject,EmptyObject,pop,none
1607880854877:89e62d41-8cf1-46bc-9e59-1771edce74ca,1607880854877:557b5343-0f25-470e-abf9-e62f1c2b18c6,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854877:89e62d41-8cf1-46bc-9e59-1771edce74ca,1607880854877:557b5343-0f25-470e-abf9-e62f1c2b18c6,0,true,EmptyObject,EmptyObject,clear,none
1607880854877:89e62d41-8cf1-46bc-9e59-1771edce74ca,1607880854877:557b5343-0f25-470e-abf9-e62f1c2b18c6,0,true,EmptyObject,EmptyObject,pop,none
1607880854878:97f5d543-fa86-486f-8095-b7a6634ec96a,1607880854878:296ad74e-8811-4274-9d58-4bbb42faba88,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854878:97f5d543-fa86-486f-8095-b7a6634ec96a,1607880854878:296ad74e-8811-4274-9d58-4bbb42faba88,0,true,EmptyObject,EmptyObject,clear,none
1607880854878:97f5d543-fa86-486f-8095-b7a6634ec96a,1607880854878:296ad74e-8811-4274-9d58-4bbb42faba88,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854879:088bf38e-55d1-4bde-a71b-b32c8e01c889,1607880854879:5729f389-c540-497b-9897-4d22317d383f,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854879:088bf38e-55d1-4bde-a71b-b32c8e01c889,1607880854879:5729f389-c540-497b-9897-4d22317d383f,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854879:088bf38e-55d1-4bde-a71b-b32c8e01c889,1607880854879:5729f389-c540-497b-9897-4d22317d383f,0,true,EmptyObject,EmptyObject,pop,none
1607880854880:86f9d15a-c7ec-49e8-8373-0c7e7c907c3f,1607880854880:0b1b13aa-f6d0-4c5a-af55-51654ccce18e,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854880:86f9d15a-c7ec-49e8-8373-0c7e7c907c3f,1607880854880:0b1b13aa-f6d0-4c5a-af55-51654ccce18e,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854881:2a1cce70-5671-4913-ab95-058dd40ccc76,1607880854881:75eae73f-247c-4655-a376-0f8289b827f2,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854881:2a1cce70-5671-4913-ab95-058dd40ccc76,1607880854881:75eae73f-247c-4655-a376-0f8289b827f2,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854881:2a1cce70-5671-4913-ab95-058dd40ccc76,1607880854881:75eae73f-247c-4655-a376-0f8289b827f2,0,true,EmptyObject,EmptyObject,pop,none
1607880854882:f7a0b395-f0b1-4eac-b21f-de107097f56c,1607880854882:6827b8fe-06a4-4b9e-97ad-2f4e12269192,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854882:f7a0b395-f0b1-4eac-b21f-de107097f56c,1607880854882:6827b8fe-06a4-4b9e-97ad-2f4e12269192,0,true,EmptyObject,EmptyObject,clear,none
1607880854882:f7a0b395-f0b1-4eac-b21f-de107097f56c,1607880854882:6827b8fe-06a4-4b9e-97ad-2f4e12269192,0,true,EmptyObject,EmptyObject,clear,none
1607880854882:f7a0b395-f0b1-4eac-b21f-de107097f56c,1607880854882:6827b8fe-06a4-4b9e-97ad-2f4e12269192,0,true,EmptyObject,EmptyObject,pop,none
1607880854883:67926e52-bf1d-449c-a8d1-314232e6b4ac,1607880854883:b5f34de4-7de6-450a-aa07-fd9704ca7563,0,true,EmptyObject,EmptyObject,CTOR,none
1607880854883:67926e52-bf1d-449c-a8d1-314232e6b4ac,1607880854883:b5f34de4-7de6-450a-aa07-fd9704ca7563,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880854883:67926e52-bf1d-449c-a8d1-314232e6b4ac,1607880854883:b5f34de4-7de6-450a-aa07-fd9704ca7563,0,true,EmptyObject,EmptyObject,pop,none
