testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607880172670:68a72745-c44e-4933-a0be-9851efaef6c1,1607880173015:1a690a1f-374b-4c73-a0b9-71cad4592003,0,true,EmptyObject,EmptyObject,CTOR,none
1607880172670:68a72745-c44e-4933-a0be-9851efaef6c1,1607880173015:1a690a1f-374b-4c73-a0b9-71cad4592003,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880172670:68a72745-c44e-4933-a0be-9851efaef6c1,1607880173015:1a690a1f-374b-4c73-a0b9-71cad4592003,0,true,EmptyObject,EmptyObject,pop,none
1607880173020:2dcd4133-77a4-461e-86e7-8288bd771f45,1607880173020:2b859bdc-b62f-4135-9e55-7bb472bdfaa9,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173020:2dcd4133-77a4-461e-86e7-8288bd771f45,1607880173020:2b859bdc-b62f-4135-9e55-7bb472bdfaa9,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173020:2dcd4133-77a4-461e-86e7-8288bd771f45,1607880173020:2b859bdc-b62f-4135-9e55-7bb472bdfaa9,0,true,EmptyObject,EmptyObject,pop,none
1607880173021:ec2bdb1e-a2bb-417c-b1ff-450b22a71e6d,1607880173021:55c4bccd-0aec-4f6f-b6df-41035bdaf867,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173021:ec2bdb1e-a2bb-417c-b1ff-450b22a71e6d,1607880173021:55c4bccd-0aec-4f6f-b6df-41035bdaf867,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173021:ec2bdb1e-a2bb-417c-b1ff-450b22a71e6d,1607880173021:55c4bccd-0aec-4f6f-b6df-41035bdaf867,0,true,EmptyObject,EmptyObject,pop,none
1607880173022:227056f4-4624-45dc-a5ab-5ef4a57e2377,1607880173022:58d3600b-1915-4ed1-a3a0-4fa384d390a1,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173022:227056f4-4624-45dc-a5ab-5ef4a57e2377,1607880173022:58d3600b-1915-4ed1-a3a0-4fa384d390a1,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173022:227056f4-4624-45dc-a5ab-5ef4a57e2377,1607880173022:58d3600b-1915-4ed1-a3a0-4fa384d390a1,0,true,EmptyObject,EmptyObject,pop,none
1607880173023:f37e351b-1f26-4fbb-b2f5-2cffadee27f1,1607880173023:16276b7a-6e3e-4f71-b76a-dff15e46f8fc,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173023:f37e351b-1f26-4fbb-b2f5-2cffadee27f1,1607880173023:16276b7a-6e3e-4f71-b76a-dff15e46f8fc,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173023:f37e351b-1f26-4fbb-b2f5-2cffadee27f1,1607880173023:16276b7a-6e3e-4f71-b76a-dff15e46f8fc,0,true,EmptyObject,EmptyObject,pop,none
1607880173023:93884cb9-ff94-4114-95a7-9634a49da7f4,1607880173023:68587faa-6f37-406d-b1dc-2fb3fa6363f6,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173023:93884cb9-ff94-4114-95a7-9634a49da7f4,1607880173023:68587faa-6f37-406d-b1dc-2fb3fa6363f6,1,false,asda,class java.lang.String,clear,none
1607880173023:93884cb9-ff94-4114-95a7-9634a49da7f4,1607880173023:68587faa-6f37-406d-b1dc-2fb3fa6363f6,0,true,EmptyObject,EmptyObject,pop,none
1607880173024:4da8ff74-5426-4356-bea5-61fc16bc30bc,1607880173024:666a1742-d847-4cb9-97e8-4ccefafe38ff,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173024:4da8ff74-5426-4356-bea5-61fc16bc30bc,1607880173024:666a1742-d847-4cb9-97e8-4ccefafe38ff,1,false,asda,class java.lang.String,clear,none
1607880173024:4da8ff74-5426-4356-bea5-61fc16bc30bc,1607880173024:666a1742-d847-4cb9-97e8-4ccefafe38ff,1,false,asda,class java.lang.String,push,class java.lang.String
1607880173024:ebd05f86-1377-4534-a6e1-74b12cb1709b,1607880173024:7aea0f4b-e69c-4417-ab8f-de161b5dd461,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173024:ebd05f86-1377-4534-a6e1-74b12cb1709b,1607880173024:7aea0f4b-e69c-4417-ab8f-de161b5dd461,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173024:ebd05f86-1377-4534-a6e1-74b12cb1709b,1607880173024:7aea0f4b-e69c-4417-ab8f-de161b5dd461,0,true,EmptyObject,EmptyObject,pop,none
1607880173025:94b3244e-298b-4579-8cb7-d81036677abe,1607880173025:e34df6c4-4538-49ae-a78f-dfc5353b15fe,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173025:94b3244e-298b-4579-8cb7-d81036677abe,1607880173025:e34df6c4-4538-49ae-a78f-dfc5353b15fe,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173025:4fc767dc-36b1-497c-b5f8-a80a0632e8be,1607880173025:7fe66906-7f2d-401a-b42e-86f1b65ee7f7,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173025:4fc767dc-36b1-497c-b5f8-a80a0632e8be,1607880173025:7fe66906-7f2d-401a-b42e-86f1b65ee7f7,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880173025:4fc767dc-36b1-497c-b5f8-a80a0632e8be,1607880173025:7fe66906-7f2d-401a-b42e-86f1b65ee7f7,0,true,EmptyObject,EmptyObject,pop,none
1607880173025:3543ab0f-8139-4132-844f-f0ed8ee82629,1607880173025:f10c5c70-e7a5-4b41-ae71-1951d1f23a7d,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173025:3543ab0f-8139-4132-844f-f0ed8ee82629,1607880173025:f10c5c70-e7a5-4b41-ae71-1951d1f23a7d,1,false,asda,class java.lang.String,clear,none
1607880173025:3543ab0f-8139-4132-844f-f0ed8ee82629,1607880173025:f10c5c70-e7a5-4b41-ae71-1951d1f23a7d,2,false,asda,class java.lang.String,clear,none
1607880173025:3543ab0f-8139-4132-844f-f0ed8ee82629,1607880173025:f10c5c70-e7a5-4b41-ae71-1951d1f23a7d,1,false,asda,class java.lang.String,pop,none
1607880173026:40c1ccbf-2a33-4754-8bae-0c9831ea2199,1607880173026:b4b36435-b916-4703-85d7-ed85a1b715ae,0,true,EmptyObject,EmptyObject,CTOR,none
1607880173026:40c1ccbf-2a33-4754-8bae-0c9831ea2199,1607880173026:b4b36435-b916-4703-85d7-ed85a1b715ae,0,true,EmptyObject,EmptyObject,push,class java.lang.String
