testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607943571279:ea59ed2c-057a-4f29-83e8-bda24d3ee0e5,1607943571701:414fc29e-e85a-4618-a646-94b9deacb35d,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571279:ea59ed2c-057a-4f29-83e8-bda24d3ee0e5,1607943571701:414fc29e-e85a-4618-a646-94b9deacb35d,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571279:ea59ed2c-057a-4f29-83e8-bda24d3ee0e5,1607943571701:414fc29e-e85a-4618-a646-94b9deacb35d,101,false,1.0,class java.lang.Float,pop,none
1607943571705:f06abeca-f9c7-4f9f-9fe2-6f23934155d7,1607943571705:f8a9deff-54f5-41a2-aa3b-09b560fe2ff0,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571705:f06abeca-f9c7-4f9f-9fe2-6f23934155d7,1607943571705:f8a9deff-54f5-41a2-aa3b-09b560fe2ff0,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571705:f06abeca-f9c7-4f9f-9fe2-6f23934155d7,1607943571705:f8a9deff-54f5-41a2-aa3b-09b560fe2ff0,101,false,1.0,class java.lang.Float,pop,none
1607943571708:2339b85a-d8d6-4883-bbeb-dbfb992ee865,1607943571708:382a5360-ba2b-4c98-981f-857701b19d9b,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:2339b85a-d8d6-4883-bbeb-dbfb992ee865,1607943571708:382a5360-ba2b-4c98-981f-857701b19d9b,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571708:2339b85a-d8d6-4883-bbeb-dbfb992ee865,1607943571708:382a5360-ba2b-4c98-981f-857701b19d9b,101,false,1.0,class java.lang.Float,pop,none
1607943571708:e3d953b0-ed84-40db-9687-78f493753ec4,1607943571708:b9509e32-9658-4e9b-adef-530ddbbbe3b7,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:e3d953b0-ed84-40db-9687-78f493753ec4,1607943571708:b9509e32-9658-4e9b-adef-530ddbbbe3b7,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571708:e3d953b0-ed84-40db-9687-78f493753ec4,1607943571708:b9509e32-9658-4e9b-adef-530ddbbbe3b7,101,false,1.0,class java.lang.Float,pop,none
1607943571708:42ab247c-eec2-41c6-82da-76874c067dfa,1607943571708:2975034b-a8b3-4444-ae2a-b84d212f3522,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:42ab247c-eec2-41c6-82da-76874c067dfa,1607943571708:2975034b-a8b3-4444-ae2a-b84d212f3522,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571708:42ab247c-eec2-41c6-82da-76874c067dfa,1607943571708:2975034b-a8b3-4444-ae2a-b84d212f3522,101,false,1.0,class java.lang.Float,pop,none
1607943571708:a8cfa510-b0b7-4524-a5b6-334edb2ae917,1607943571708:abd1da8c-c5b3-4e7d-ac0c-ebc1025f8d03,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:a8cfa510-b0b7-4524-a5b6-334edb2ae917,1607943571708:abd1da8c-c5b3-4e7d-ac0c-ebc1025f8d03,0,true,EmptyObject,EmptyObject,clear,none
1607943571708:a8cfa510-b0b7-4524-a5b6-334edb2ae917,1607943571708:abd1da8c-c5b3-4e7d-ac0c-ebc1025f8d03,0,true,EmptyObject,EmptyObject,pop,none
1607943571708:85d784e3-a832-4546-bccf-663ca79e7941,1607943571708:a0739b9a-83b4-4ed6-b207-3b3a07e7f562,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:85d784e3-a832-4546-bccf-663ca79e7941,1607943571708:a0739b9a-83b4-4ed6-b207-3b3a07e7f562,0,true,EmptyObject,EmptyObject,clear,none
1607943571708:85d784e3-a832-4546-bccf-663ca79e7941,1607943571708:a0739b9a-83b4-4ed6-b207-3b3a07e7f562,101,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607943571708:1a952049-a12a-4d1f-9aa5-a4c0b6061548,1607943571708:7321f7e7-3434-492e-9c57-9e145537bad3,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571708:1a952049-a12a-4d1f-9aa5-a4c0b6061548,1607943571708:7321f7e7-3434-492e-9c57-9e145537bad3,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571708:1a952049-a12a-4d1f-9aa5-a4c0b6061548,1607943571708:7321f7e7-3434-492e-9c57-9e145537bad3,101,false,1.0,class java.lang.Float,pop,none
1607943571713:1a355415-aaa7-4b80-9fe0-c345a1997207,1607943571713:a5ae7937-7ad3-4fa7-83a2-554320475f42,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571713:1a355415-aaa7-4b80-9fe0-c345a1997207,1607943571713:a5ae7937-7ad3-4fa7-83a2-554320475f42,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571713:3419455c-e408-498d-8b6c-3ba72698f157,1607943571713:7e276a4f-2853-4e6e-87dc-7a74af799fed,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571713:3419455c-e408-498d-8b6c-3ba72698f157,1607943571713:7e276a4f-2853-4e6e-87dc-7a74af799fed,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571713:3419455c-e408-498d-8b6c-3ba72698f157,1607943571713:7e276a4f-2853-4e6e-87dc-7a74af799fed,101,false,1.0,class java.lang.Float,pop,none
1607943571713:44cc6ce4-857f-4282-812f-0bb14f660be9,1607943571715:97574e27-5eb7-4156-8718-83a2f7c720a8,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571713:44cc6ce4-857f-4282-812f-0bb14f660be9,1607943571715:97574e27-5eb7-4156-8718-83a2f7c720a8,0,true,EmptyObject,EmptyObject,clear,none
1607943571713:44cc6ce4-857f-4282-812f-0bb14f660be9,1607943571715:97574e27-5eb7-4156-8718-83a2f7c720a8,0,true,EmptyObject,EmptyObject,clear,none
1607943571713:44cc6ce4-857f-4282-812f-0bb14f660be9,1607943571715:97574e27-5eb7-4156-8718-83a2f7c720a8,0,true,EmptyObject,EmptyObject,pop,none
1607943571715:c10503ee-07b6-47ad-8284-4750c3808fda,1607943571715:287034dd-9f1a-4ee4-87ba-83891d97d20d,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:c10503ee-07b6-47ad-8284-4750c3808fda,1607943571715:287034dd-9f1a-4ee4-87ba-83891d97d20d,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571715:c10503ee-07b6-47ad-8284-4750c3808fda,1607943571715:287034dd-9f1a-4ee4-87ba-83891d97d20d,101,false,1.0,class java.lang.Float,pop,none
1607943571715:a498cf41-ed4f-4747-9fd4-50ba8c4f3ddc,1607943571715:0e1bfde1-ef96-4c15-be28-25f0384fc057,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:a498cf41-ed4f-4747-9fd4-50ba8c4f3ddc,1607943571715:0e1bfde1-ef96-4c15-be28-25f0384fc057,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571715:a498cf41-ed4f-4747-9fd4-50ba8c4f3ddc,1607943571715:0e1bfde1-ef96-4c15-be28-25f0384fc057,101,false,1.0,class java.lang.Float,pop,none
1607943571715:a296c862-a010-49b9-9b25-0b4e24f919ce,1607943571715:410bc786-dfa6-4849-a1e0-b33bfc81e8fa,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:a296c862-a010-49b9-9b25-0b4e24f919ce,1607943571715:410bc786-dfa6-4849-a1e0-b33bfc81e8fa,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571715:a296c862-a010-49b9-9b25-0b4e24f919ce,1607943571715:410bc786-dfa6-4849-a1e0-b33bfc81e8fa,101,false,1.0,class java.lang.Float,pop,none
1607943571715:19497a20-453d-47c8-a677-f71a71d93ff5,1607943571715:4608d999-56c2-465e-bf94-4bfad30b5200,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:19497a20-453d-47c8-a677-f71a71d93ff5,1607943571715:4608d999-56c2-465e-bf94-4bfad30b5200,0,true,EmptyObject,EmptyObject,clear,none
1607943571715:19497a20-453d-47c8-a677-f71a71d93ff5,1607943571715:4608d999-56c2-465e-bf94-4bfad30b5200,101,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607943571715:087d30d8-763e-49f3-88cd-311fa3446c34,1607943571715:5a4bb2c7-4e04-4d9b-b0fc-0f27e80db7dd,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:087d30d8-763e-49f3-88cd-311fa3446c34,1607943571715:5a4bb2c7-4e04-4d9b-b0fc-0f27e80db7dd,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571715:087d30d8-763e-49f3-88cd-311fa3446c34,1607943571715:617bfd84-7a5e-4d1b-b6de-1bcd301514e6,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:087d30d8-763e-49f3-88cd-311fa3446c34,1607943571715:617bfd84-7a5e-4d1b-b6de-1bcd301514e6,101,false,1.0,class java.lang.Float,push,class java.lang.Float
1607943571715:087d30d8-763e-49f3-88cd-311fa3446c34,1607943571715:617bfd84-7a5e-4d1b-b6de-1bcd301514e6,101,false,1.0,class java.lang.Float,pop,none
1607943571715:07e04ced-c873-4cb8-8838-d7638b278638,1607943571715:0adb08e9-71c6-49cc-aa26-0e501bb3627d,0,true,EmptyObject,EmptyObject,CTOR,none
1607943571715:07e04ced-c873-4cb8-8838-d7638b278638,1607943571715:0adb08e9-71c6-49cc-aa26-0e501bb3627d,0,true,EmptyObject,EmptyObject,clear,none
1607943571715:07e04ced-c873-4cb8-8838-d7638b278638,1607943571715:0adb08e9-71c6-49cc-aa26-0e501bb3627d,101,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607943571715:07e04ced-c873-4cb8-8838-d7638b278638,1607943571715:0adb08e9-71c6-49cc-aa26-0e501bb3627d,101,false,class java.lang.Object,class java.lang.Class,pop,none
1607943571715:a196e324-a82f-42b0-b8d6-eb4168c0d077,1607943571715:f9697e30-af4e-4aab-b593-79aa829b043a,0,true,EmptyObject,EmptyObject,CTOR,none
