testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607895191053:45936188-534d-47de-bd4f-bcf25c6d8226,1607895191538:4ce5413e-8e20-4931-9b74-3872a6db6e49,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191053:45936188-534d-47de-bd4f-bcf25c6d8226,1607895191538:4ce5413e-8e20-4931-9b74-3872a6db6e49,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191053:45936188-534d-47de-bd4f-bcf25c6d8226,1607895191538:4ce5413e-8e20-4931-9b74-3872a6db6e49,1,false,1.0,class java.lang.Float,pop,none
1607895191544:f34df35f-3a41-4f99-ba4f-fa24f31815a5,1607895191544:f173bb32-bd27-418c-aea8-90f0e8a380fc,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191544:f34df35f-3a41-4f99-ba4f-fa24f31815a5,1607895191544:f173bb32-bd27-418c-aea8-90f0e8a380fc,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191544:f34df35f-3a41-4f99-ba4f-fa24f31815a5,1607895191544:f173bb32-bd27-418c-aea8-90f0e8a380fc,1,false,1.0,class java.lang.Float,pop,none
1607895191545:577f279d-38e8-4d39-85c0-be30df08abba,1607895191545:586ade77-4cb2-4264-8a09-68490f7b7589,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191545:577f279d-38e8-4d39-85c0-be30df08abba,1607895191545:586ade77-4cb2-4264-8a09-68490f7b7589,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191545:577f279d-38e8-4d39-85c0-be30df08abba,1607895191545:586ade77-4cb2-4264-8a09-68490f7b7589,1,false,1.0,class java.lang.Float,pop,none
1607895191545:8cd3d538-9c09-4c7e-8254-03a705fbbccd,1607895191546:6b56fd96-54ac-4e77-b18c-5b802e6f760e,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191545:8cd3d538-9c09-4c7e-8254-03a705fbbccd,1607895191546:6b56fd96-54ac-4e77-b18c-5b802e6f760e,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191545:8cd3d538-9c09-4c7e-8254-03a705fbbccd,1607895191546:6b56fd96-54ac-4e77-b18c-5b802e6f760e,1,false,1.0,class java.lang.Float,pop,none
1607895191546:a71985e0-8de0-4acb-a80f-ccd21af9a822,1607895191546:a2cd6a45-b19c-4c94-b450-2141bf5903e5,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191546:a71985e0-8de0-4acb-a80f-ccd21af9a822,1607895191546:a2cd6a45-b19c-4c94-b450-2141bf5903e5,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191546:a71985e0-8de0-4acb-a80f-ccd21af9a822,1607895191546:a2cd6a45-b19c-4c94-b450-2141bf5903e5,1,false,1.0,class java.lang.Float,pop,none
1607895191547:075023e9-4a3d-4984-8820-8c101e32779b,1607895191547:02599911-0cae-4abe-9ceb-77b4a640c1d5,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191547:075023e9-4a3d-4984-8820-8c101e32779b,1607895191547:02599911-0cae-4abe-9ceb-77b4a640c1d5,1,false,asda,class java.lang.String,clear,none
1607895191547:075023e9-4a3d-4984-8820-8c101e32779b,1607895191547:02599911-0cae-4abe-9ceb-77b4a640c1d5,1,false,asda,class java.lang.String,pop,none
1607895191547:891edc63-3518-4ec8-9af9-f9d3e6d946ba,1607895191547:c5d7e3e4-fa49-45c6-a6a4-d2414c0b259e,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191547:891edc63-3518-4ec8-9af9-f9d3e6d946ba,1607895191547:c5d7e3e4-fa49-45c6-a6a4-d2414c0b259e,1,false,asda,class java.lang.String,clear,none
1607895191547:891edc63-3518-4ec8-9af9-f9d3e6d946ba,1607895191547:c5d7e3e4-fa49-45c6-a6a4-d2414c0b259e,2,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607895191548:a8ad1762-a85c-4f88-8402-e782edeff4ce,1607895191548:78e4a3f2-a39d-400a-acde-166e02945007,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191548:a8ad1762-a85c-4f88-8402-e782edeff4ce,1607895191548:78e4a3f2-a39d-400a-acde-166e02945007,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191548:a8ad1762-a85c-4f88-8402-e782edeff4ce,1607895191548:78e4a3f2-a39d-400a-acde-166e02945007,1,false,1.0,class java.lang.Float,pop,none
1607895191549:93ef9978-8f69-4a30-862c-2d01e0f2ce03,1607895191549:ad22c592-e9a1-43d3-a3ba-56fd93c30d6e,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191549:93ef9978-8f69-4a30-862c-2d01e0f2ce03,1607895191549:ad22c592-e9a1-43d3-a3ba-56fd93c30d6e,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191549:3cf4d6e2-f21d-426d-a387-d93efccc2445,1607895191549:52c4f6f0-a9af-4db2-816a-9cef77ea79ab,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191549:3cf4d6e2-f21d-426d-a387-d93efccc2445,1607895191549:52c4f6f0-a9af-4db2-816a-9cef77ea79ab,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191549:3cf4d6e2-f21d-426d-a387-d93efccc2445,1607895191549:52c4f6f0-a9af-4db2-816a-9cef77ea79ab,1,false,1.0,class java.lang.Float,pop,none
1607895191550:b040d61d-8dd3-4cff-9035-25856b39610d,1607895191550:9610f5c1-04ea-4033-aaeb-8c60c67ac13e,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191550:b040d61d-8dd3-4cff-9035-25856b39610d,1607895191550:9610f5c1-04ea-4033-aaeb-8c60c67ac13e,1,false,asda,class java.lang.String,clear,none
1607895191550:b040d61d-8dd3-4cff-9035-25856b39610d,1607895191550:9610f5c1-04ea-4033-aaeb-8c60c67ac13e,2,false,asda,class java.lang.String,clear,none
1607895191550:b040d61d-8dd3-4cff-9035-25856b39610d,1607895191550:9610f5c1-04ea-4033-aaeb-8c60c67ac13e,2,false,asda,class java.lang.String,pop,none
1607895191551:0e19acad-b27b-4baa-b7cf-272cd2c8192a,1607895191551:b9d333c3-08c5-420b-b6b0-a61b879536f0,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191551:0e19acad-b27b-4baa-b7cf-272cd2c8192a,1607895191551:b9d333c3-08c5-420b-b6b0-a61b879536f0,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191551:0e19acad-b27b-4baa-b7cf-272cd2c8192a,1607895191551:b9d333c3-08c5-420b-b6b0-a61b879536f0,1,false,1.0,class java.lang.Float,pop,none
1607895191551:852cdef1-cc4f-428c-bc70-d5ea3c25a06e,1607895191552:d20857a1-8483-4ad0-be35-ad208094984d,0,true,EmptyObject,EmptyObject,CTOR,none
1607895191551:852cdef1-cc4f-428c-bc70-d5ea3c25a06e,1607895191552:d20857a1-8483-4ad0-be35-ad208094984d,1,false,1.0,class java.lang.Float,push,class java.lang.Float
1607895191551:852cdef1-cc4f-428c-bc70-d5ea3c25a06e,1607895191552:d20857a1-8483-4ad0-be35-ad208094984d,1,false,1.0,class java.lang.Float,pop,none
1607895191552:aa74bb39-733e-4fe8-a846-e55d1623e256,1607895191552:f0990e47-bf32-4448-b22f-93395138f500,0,true,EmptyObject,EmptyObject,CTOR,none
