testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607885146762:6d48bca1-0006-41d4-9269-8ba2ed8f7f0d,1607885147106:f6214486-ecf4-4b29-bdc3-f8059495f1db,0,true,EmptyObject,EmptyObject,CTOR,none
1607885146762:6d48bca1-0006-41d4-9269-8ba2ed8f7f0d,1607885147106:f6214486-ecf4-4b29-bdc3-f8059495f1db,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607885146762:6d48bca1-0006-41d4-9269-8ba2ed8f7f0d,1607885147106:f6214486-ecf4-4b29-bdc3-f8059495f1db,0,true,EmptyObject,EmptyObject,pop,none
1607885147110:f29a5066-4e77-40b3-a21f-0a1044849733,1607885147110:f35d43cc-45a3-451d-b5fe-b170a86d3814,0,true,EmptyObject,EmptyObject,CTOR,none
1607885147110:f29a5066-4e77-40b3-a21f-0a1044849733,1607885147110:f35d43cc-45a3-451d-b5fe-b170a86d3814,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607885147110:f29a5066-4e77-40b3-a21f-0a1044849733,1607885147110:f35d43cc-45a3-451d-b5fe-b170a86d3814,0,true,EmptyObject,EmptyObject,pop,none
1607885147111:30d00227-805b-45c2-926a-20b6f629f516,1607885147111:11660648-6143-462d-a7a5-97c3994cc2ab,0,true,EmptyObject,EmptyObject,CTOR,none
1607885147111:30d00227-805b-45c2-926a-20b6f629f516,1607885147111:11660648-6143-462d-a7a5-97c3994cc2ab,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607885147111:30d00227-805b-45c2-926a-20b6f629f516,1607885147111:11660648-6143-462d-a7a5-97c3994cc2ab,0,true,EmptyObject,EmptyObject,pop,none
1607885147111:ccc1cf7a-0c54-4240-a918-d15ead66c2f1,1607885147111:4c10e473-d60d-462b-bd3b-f69fe0e8408c,0,true,EmptyObject,EmptyObject,CTOR,none
1607885147111:ccc1cf7a-0c54-4240-a918-d15ead66c2f1,1607885147111:4c10e473-d60d-462b-bd3b-f69fe0e8408c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
