testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607927352060:d79764b8-8cc0-4826-ba24-7ba4131bde45,1607927352354:6e0944bf-b197-4d40-b1d8-20f0369da3ef,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352060:d79764b8-8cc0-4826-ba24-7ba4131bde45,1607927352354:6e0944bf-b197-4d40-b1d8-20f0369da3ef,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607927352060:d79764b8-8cc0-4826-ba24-7ba4131bde45,1607927352354:6e0944bf-b197-4d40-b1d8-20f0369da3ef,2,false,1.0,class java.lang.Float,pop,none
1607927352358:8f789f01-bd77-4d88-aaf9-165e5641c3d6,1607927352358:d74fd53b-190f-41dd-b4cc-1df0f626e560,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352358:8f789f01-bd77-4d88-aaf9-165e5641c3d6,1607927352358:d74fd53b-190f-41dd-b4cc-1df0f626e560,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607927352358:8f789f01-bd77-4d88-aaf9-165e5641c3d6,1607927352358:d74fd53b-190f-41dd-b4cc-1df0f626e560,2,false,1.0,class java.lang.Float,pop,none
1607927352360:4935904b-24eb-41f0-bb3d-14b46b561936,1607927352360:d28c37bf-7fff-4da2-b7cf-e1d85681761e,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352360:4935904b-24eb-41f0-bb3d-14b46b561936,1607927352360:d28c37bf-7fff-4da2-b7cf-e1d85681761e,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607927352360:4935904b-24eb-41f0-bb3d-14b46b561936,1607927352360:d28c37bf-7fff-4da2-b7cf-e1d85681761e,2,false,1.0,class java.lang.Float,pop,none
1607927352361:d655d45f-3ac4-4e87-8bcd-9688b62f3f4b,1607927352361:6a35a55e-eb44-4293-b1eb-144ec8832418,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352361:d655d45f-3ac4-4e87-8bcd-9688b62f3f4b,1607927352361:6a35a55e-eb44-4293-b1eb-144ec8832418,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607927352361:d655d45f-3ac4-4e87-8bcd-9688b62f3f4b,1607927352361:6a35a55e-eb44-4293-b1eb-144ec8832418,2,false,1.0,class java.lang.Float,pop,none
1607927352361:9cc4cf20-fe3a-4876-a0f7-754d58978b4d,1607927352361:5605c548-41eb-499d-b24c-4609b5d339ed,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352361:9cc4cf20-fe3a-4876-a0f7-754d58978b4d,1607927352361:5605c548-41eb-499d-b24c-4609b5d339ed,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607927352361:9cc4cf20-fe3a-4876-a0f7-754d58978b4d,1607927352361:5605c548-41eb-499d-b24c-4609b5d339ed,2,false,1.0,class java.lang.Float,pop,none
1607927352361:cbd1d4f6-e118-42a2-869a-6f1b3e0b2cf0,1607927352361:b1473832-346e-44df-bd55-018f753cceb3,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352361:cbd1d4f6-e118-42a2-869a-6f1b3e0b2cf0,1607927352361:b1473832-346e-44df-bd55-018f753cceb3,0,true,EmptyObject,EmptyObject,clear,none
1607927352361:cbd1d4f6-e118-42a2-869a-6f1b3e0b2cf0,1607927352361:b1473832-346e-44df-bd55-018f753cceb3,0,true,EmptyObject,EmptyObject,pop,none
1607927352362:ab402c95-afc5-4542-be3c-074d2d2a6b62,1607927352362:2a3465e6-3cb7-42d5-9a78-832b971ac62c,0,true,EmptyObject,EmptyObject,CTOR,none
1607927352362:ab402c95-afc5-4542-be3c-074d2d2a6b62,1607927352362:2a3465e6-3cb7-42d5-9a78-832b971ac62c,0,true,EmptyObject,EmptyObject,clear,none
1607927352362:ab402c95-afc5-4542-be3c-074d2d2a6b62,1607927352362:2a3465e6-3cb7-42d5-9a78-832b971ac62c,2,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607927352362:4999344c-402a-4945-ab44-ac9f746dd1af,1607927352362:0df5e899-9c2a-4eae-9b0a-c32d95f31076,0,true,EmptyObject,EmptyObject,CTOR,none
