testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607926855453:3bfb79d8-0672-4653-af6d-c3abc0c7ee69,1607926855718:a1823971-33ec-4fc0-b818-042acce9183f,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855453:3bfb79d8-0672-4653-af6d-c3abc0c7ee69,1607926855718:a1823971-33ec-4fc0-b818-042acce9183f,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855453:3bfb79d8-0672-4653-af6d-c3abc0c7ee69,1607926855718:a1823971-33ec-4fc0-b818-042acce9183f,2,false,1.0,class java.lang.Float,pop,none
1607926855721:a2695ee6-bcda-4458-9d65-58475ffc1ced,1607926855721:572ee686-1c8d-47ca-a6fd-e21f2c74c2d4,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855721:a2695ee6-bcda-4458-9d65-58475ffc1ced,1607926855721:572ee686-1c8d-47ca-a6fd-e21f2c74c2d4,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855721:a2695ee6-bcda-4458-9d65-58475ffc1ced,1607926855721:572ee686-1c8d-47ca-a6fd-e21f2c74c2d4,2,false,1.0,class java.lang.Float,pop,none
1607926855725:7d6548bf-ed0a-4fc9-b0d0-be1963e6bc51,1607926855725:4a5c4dad-aa2b-47aa-9a44-a83a44e1821e,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855725:7d6548bf-ed0a-4fc9-b0d0-be1963e6bc51,1607926855725:4a5c4dad-aa2b-47aa-9a44-a83a44e1821e,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855725:7d6548bf-ed0a-4fc9-b0d0-be1963e6bc51,1607926855725:4a5c4dad-aa2b-47aa-9a44-a83a44e1821e,2,false,1.0,class java.lang.Float,pop,none
1607926855725:0f69a531-c51d-4730-8ff8-9c170d8e9214,1607926855725:7683f05c-0312-4570-b557-d84a470f8d3c,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855725:0f69a531-c51d-4730-8ff8-9c170d8e9214,1607926855725:7683f05c-0312-4570-b557-d84a470f8d3c,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855725:0f69a531-c51d-4730-8ff8-9c170d8e9214,1607926855725:7683f05c-0312-4570-b557-d84a470f8d3c,2,false,1.0,class java.lang.Float,pop,none
1607926855726:45f36eb2-8b18-41e7-8aa1-13a9ee41d5b4,1607926855726:bda57d5e-b288-4056-b0bd-fe4960389fe0,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855726:45f36eb2-8b18-41e7-8aa1-13a9ee41d5b4,1607926855726:bda57d5e-b288-4056-b0bd-fe4960389fe0,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855726:45f36eb2-8b18-41e7-8aa1-13a9ee41d5b4,1607926855726:bda57d5e-b288-4056-b0bd-fe4960389fe0,2,false,1.0,class java.lang.Float,pop,none
1607926855726:d9fe37e8-4030-4fac-a5d1-4bcaacd981a2,1607926855726:fd0caed3-b9ec-4dcf-8215-41cf34065d2e,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855726:d9fe37e8-4030-4fac-a5d1-4bcaacd981a2,1607926855726:fd0caed3-b9ec-4dcf-8215-41cf34065d2e,0,true,EmptyObject,EmptyObject,clear,none
1607926855726:d9fe37e8-4030-4fac-a5d1-4bcaacd981a2,1607926855726:fd0caed3-b9ec-4dcf-8215-41cf34065d2e,0,true,EmptyObject,EmptyObject,pop,none
1607926855726:4dc24543-2dff-42a0-ab9b-3fea0fea71c6,1607926855727:f99f9203-849f-4a62-ba19-ac6a4aff3ca6,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855726:4dc24543-2dff-42a0-ab9b-3fea0fea71c6,1607926855727:f99f9203-849f-4a62-ba19-ac6a4aff3ca6,0,true,EmptyObject,EmptyObject,clear,none
1607926855726:4dc24543-2dff-42a0-ab9b-3fea0fea71c6,1607926855727:f99f9203-849f-4a62-ba19-ac6a4aff3ca6,2,false,class java.lang.Object,class java.lang.Class,push,class java.lang.Class
1607926855727:cf9f215b-e5e4-4b2a-96ee-363968d47070,1607926855727:cf9dd82a-586b-41a3-ba6f-955107cfb27a,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855727:cf9f215b-e5e4-4b2a-96ee-363968d47070,1607926855727:cf9dd82a-586b-41a3-ba6f-955107cfb27a,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855727:cf9f215b-e5e4-4b2a-96ee-363968d47070,1607926855727:cf9dd82a-586b-41a3-ba6f-955107cfb27a,2,false,1.0,class java.lang.Float,pop,none
1607926855727:0176466d-df1e-4f7c-ac83-c3a847fe197a,1607926855727:561b3ae0-c711-4f91-a505-ed90e82ab035,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855727:0176466d-df1e-4f7c-ac83-c3a847fe197a,1607926855727:561b3ae0-c711-4f91-a505-ed90e82ab035,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855728:1edbc3e9-d844-431e-8c30-e78464425942,1607926855728:522c347b-4d25-470d-a089-4f7350044592,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855728:1edbc3e9-d844-431e-8c30-e78464425942,1607926855728:522c347b-4d25-470d-a089-4f7350044592,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855728:1edbc3e9-d844-431e-8c30-e78464425942,1607926855728:522c347b-4d25-470d-a089-4f7350044592,2,false,1.0,class java.lang.Float,pop,none
1607926855728:f08fd4e6-c84d-4b73-a082-755757a99414,1607926855728:9a880ec2-6a3f-423f-a3f5-0af188fa0b2e,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855728:f08fd4e6-c84d-4b73-a082-755757a99414,1607926855728:9a880ec2-6a3f-423f-a3f5-0af188fa0b2e,0,true,EmptyObject,EmptyObject,clear,none
1607926855728:f08fd4e6-c84d-4b73-a082-755757a99414,1607926855728:9a880ec2-6a3f-423f-a3f5-0af188fa0b2e,0,true,EmptyObject,EmptyObject,clear,none
1607926855728:f08fd4e6-c84d-4b73-a082-755757a99414,1607926855728:9a880ec2-6a3f-423f-a3f5-0af188fa0b2e,0,true,EmptyObject,EmptyObject,pop,none
1607926855729:8a7df8ff-a7d1-4549-a315-3792cbb773fd,1607926855729:44dc1a65-f015-4a86-936e-b1dc08720976,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855729:8a7df8ff-a7d1-4549-a315-3792cbb773fd,1607926855729:44dc1a65-f015-4a86-936e-b1dc08720976,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855729:8a7df8ff-a7d1-4549-a315-3792cbb773fd,1607926855729:44dc1a65-f015-4a86-936e-b1dc08720976,2,false,1.0,class java.lang.Float,pop,none
1607926855729:405db1dd-6a04-43cd-a832-8e5b80b6a82d,1607926855729:2a07a785-0244-45dd-b4bb-f3d7836fe744,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855729:405db1dd-6a04-43cd-a832-8e5b80b6a82d,1607926855729:2a07a785-0244-45dd-b4bb-f3d7836fe744,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855729:405db1dd-6a04-43cd-a832-8e5b80b6a82d,1607926855729:2a07a785-0244-45dd-b4bb-f3d7836fe744,2,false,1.0,class java.lang.Float,pop,none
1607926855730:292e6278-70b9-4718-9986-a8fa376cd694,1607926855730:29a23712-02b5-4569-b0d0-52e945c88ae0,0,true,EmptyObject,EmptyObject,CTOR,none
1607926855730:292e6278-70b9-4718-9986-a8fa376cd694,1607926855730:29a23712-02b5-4569-b0d0-52e945c88ae0,2,false,1.0,class java.lang.Float,push,class java.lang.Float
1607926855730:292e6278-70b9-4718-9986-a8fa376cd694,1607926855730:29a23712-02b5-4569-b0d0-52e945c88ae0,2,false,1.0,class java.lang.Float,pop,none
1607926855730:ed0c603e-4826-487f-a419-e8dab6a04d80,1607926855730:aec722ec-3b89-489b-8cf8-25415c659583,0,true,EmptyObject,EmptyObject,CTOR,none
