testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607927128892:e9b36029-dd20-4714-919e-9b08a4c37608,1607927129170:b5bb6fd2-05e5-4844-9870-a10bf1519d34,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129172:ffbe76b1-d95a-4465-92d4-49120de22021,1607927129172:e2a725f4-d393-4e79-a7f5-ed91a082ba47,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129173:0ce00244-9397-4c23-a286-bf7f405e80a7,1607927129173:24e46d9f-e47c-4dd4-89ab-f0819714c49b,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129173:2c81cd42-3e32-41c0-8979-5ca10a756038,1607927129173:0112ee8c-d3cc-4014-89d0-3e86f4f80be5,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129175:e3032eeb-f80d-4077-812e-fb75bb270543,1607927129175:104a4c1a-cc2b-439b-b1f4-7e04667bfc37,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129175:3b9831d6-ef26-492c-9583-22389e80a8bd,1607927129175:bbe8e23b-f673-40a5-b8b2-244d890199fe,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129175:3b9831d6-ef26-492c-9583-22389e80a8bd,1607927129175:bbe8e23b-f673-40a5-b8b2-244d890199fe,0,true,EmptyObject,EmptyObject,clear,none
1607927129175:3b9831d6-ef26-492c-9583-22389e80a8bd,1607927129175:bbe8e23b-f673-40a5-b8b2-244d890199fe,0,true,EmptyObject,EmptyObject,pop,none
1607927129175:794411b4-9ff3-4999-a5fe-4eed772f40ea,1607927129176:ec6c1748-ffa3-488e-8199-6e7f6f466aa4,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129175:794411b4-9ff3-4999-a5fe-4eed772f40ea,1607927129176:ec6c1748-ffa3-488e-8199-6e7f6f466aa4,0,true,EmptyObject,EmptyObject,clear,none
1607927129176:45ddbe13-1d29-48ed-b72a-4ad43e861f3c,1607927129176:b137418e-5a7e-466e-b1e6-124a683ab5f3,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129176:3cb53a45-aa3f-48b7-a558-96e6158ba241,1607927129176:83616006-e887-428e-995c-12cceb54ddc6,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129176:7a04c273-a8c1-4483-96b3-fdb68674dda6,1607927129176:8d503f16-ca3d-4d49-9301-03ceafeb6a18,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129176:e9f04a11-79c8-4c58-8623-00ae10ebaf92,1607927129177:e04b05ce-9cde-416e-9ba0-67fc99799c53,0,true,EmptyObject,EmptyObject,CTOR,none
1607927129176:e9f04a11-79c8-4c58-8623-00ae10ebaf92,1607927129177:e04b05ce-9cde-416e-9ba0-67fc99799c53,0,true,EmptyObject,EmptyObject,clear,none
1607927129176:e9f04a11-79c8-4c58-8623-00ae10ebaf92,1607927129177:e04b05ce-9cde-416e-9ba0-67fc99799c53,0,true,EmptyObject,EmptyObject,clear,none
1607927129176:e9f04a11-79c8-4c58-8623-00ae10ebaf92,1607927129177:e04b05ce-9cde-416e-9ba0-67fc99799c53,0,true,EmptyObject,EmptyObject,pop,none
1607927129177:b05d8cb7-4585-44f7-9ea2-3ad42802a6da,1607927129177:1cd031fe-0418-43bf-8093-d31314d9b3ac,0,true,EmptyObject,EmptyObject,CTOR,none
