testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607321442168:e70f1947-4686-4387-8f9f-d05f095d4f2c,1607321442448:3536980e-f4ab-440e-ae30-88afeff9c34a,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:35bccbac-5179-440c-b794-b876b52a6253,1607321442460:b59206f2-f33d-4727-9673-da4744203b6a,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:143877f2-2e04-4657-b257-720d5c3292ef,1607321442460:a40150e6-07b0-41af-8ff5-eccc29d466ba,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:5e2ad0e9-4412-4b0c-8509-cc3a470c8b0b,1607321442460:1d49834c-6e3c-45f3-bb44-993412c93ea2,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:72254646-6952-4d85-a9fa-cba3d4948b9d,1607321442460:652e0642-98cc-4ba6-b6b5-349ff6459730,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:559be9fe-428c-49a3-87ee-57b753928e2f,1607321442460:f6e7f3d0-85d8-41d2-8cef-cb399c0a7ee4,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:559be9fe-428c-49a3-87ee-57b753928e2f,1607321442460:f6e7f3d0-85d8-41d2-8cef-cb399c0a7ee4,0,true,EmptyObject,EmptyObject,clear,none
1607321442460:559be9fe-428c-49a3-87ee-57b753928e2f,1607321442460:f6e7f3d0-85d8-41d2-8cef-cb399c0a7ee4,0,true,EmptyObject,EmptyObject,pop,none
1607321442460:18fd5ee8-73de-4410-8192-5b090ba28626,1607321442460:e6883d79-3809-46b3-99d8-f76520a49ff0,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:18fd5ee8-73de-4410-8192-5b090ba28626,1607321442460:e6883d79-3809-46b3-99d8-f76520a49ff0,0,true,EmptyObject,EmptyObject,clear,none
1607321442460:fe54d8d6-bd4a-4bff-aac0-b3e074284547,1607321442460:a65e5c52-975a-432d-a40d-47897f2a6a61,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:1350573e-8396-4009-ab02-6bb08fb00466,1607321442460:d94c9921-2661-457b-9cd2-cbf8f7abb26c,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:1b1256de-d001-4f2d-b13b-7f0c6dd72eca,1607321442460:e35b907b-6ed7-4f25-86b5-17ca0e1099d4,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:b34a0fc1-dd26-4768-9e1d-b217952d7ede,1607321442460:a22f99a8-d3ba-4476-849d-86f2269c037b,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442460:b34a0fc1-dd26-4768-9e1d-b217952d7ede,1607321442460:a22f99a8-d3ba-4476-849d-86f2269c037b,0,true,EmptyObject,EmptyObject,clear,none
1607321442460:b34a0fc1-dd26-4768-9e1d-b217952d7ede,1607321442460:a22f99a8-d3ba-4476-849d-86f2269c037b,0,true,EmptyObject,EmptyObject,clear,none
1607321442460:b34a0fc1-dd26-4768-9e1d-b217952d7ede,1607321442460:a22f99a8-d3ba-4476-849d-86f2269c037b,0,true,EmptyObject,EmptyObject,pop,none
1607321442460:691ecf96-b107-4afa-9822-fae2bf642c6a,1607321442460:345e2e36-64bd-4ac1-9ab5-1d819152704a,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442468:a21e6682-8de8-423c-8bc2-b712b6c442e7,1607321442468:03a08c5b-bab4-4115-ac2b-51390038aaf4,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442468:04e4dde2-6b32-410a-a862-54eb7888c3a7,1607321442468:b8cecbe5-6ee7-4a10-bcd4-d38a06c9c220,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442468:c6a4baae-caa2-422e-a769-9343a4cff157,1607321442468:3124446b-5da5-4781-adbf-ceff13016835,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442468:c6a4baae-caa2-422e-a769-9343a4cff157,1607321442468:3124446b-5da5-4781-adbf-ceff13016835,0,true,EmptyObject,EmptyObject,clear,none
1607321442470:083f3cd3-629e-4a77-b820-6e7dcf7faf38,1607321442470:5493c7e8-5e6a-48d8-b239-8dbad5aa2403,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442470:8e10d1c8-916a-4e48-b4fa-c06c26cc0cb8,1607321442470:06398066-8cb3-4cea-9417-8383e1c518cd,0,true,EmptyObject,EmptyObject,CTOR,none
1607321442470:8e10d1c8-916a-4e48-b4fa-c06c26cc0cb8,1607321442470:06398066-8cb3-4cea-9417-8383e1c518cd,0,true,EmptyObject,EmptyObject,clear,none
