testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607319629263:ef39fd0b-8959-4262-9a4d-236365fdc4be,1607319629653:aa658e77-6593-44c6-b9d6-e1939d8569da,0,true,EmptyObject,EmptyObject,CTOR,none
1607319629263:ef39fd0b-8959-4262-9a4d-236365fdc4be,1607319629653:aa658e77-6593-44c6-b9d6-e1939d8569da,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607319629263:ef39fd0b-8959-4262-9a4d-236365fdc4be,1607319629653:aa658e77-6593-44c6-b9d6-e1939d8569da,0,true,EmptyObject,EmptyObject,pop,none
1607319629673:8d67b17b-6441-4ec0-a15e-6604dc7b8ab1,1607319629673:5fdd711d-dc77-4efa-a696-7fc482a337f8,0,true,EmptyObject,EmptyObject,CTOR,none
1607319629673:8d67b17b-6441-4ec0-a15e-6604dc7b8ab1,1607319629673:5fdd711d-dc77-4efa-a696-7fc482a337f8,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607319629673:8d67b17b-6441-4ec0-a15e-6604dc7b8ab1,1607319629673:5fdd711d-dc77-4efa-a696-7fc482a337f8,0,true,EmptyObject,EmptyObject,pop,none
1607319629686:83c2a8cd-3ec9-44a8-98e5-a0a91fdd0e4c,1607319629686:90d36c02-30f6-45ce-9496-8739cb4a90a5,0,true,EmptyObject,EmptyObject,CTOR,none
1607319629686:83c2a8cd-3ec9-44a8-98e5-a0a91fdd0e4c,1607319629686:90d36c02-30f6-45ce-9496-8739cb4a90a5,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607319629686:83c2a8cd-3ec9-44a8-98e5-a0a91fdd0e4c,1607319629686:90d36c02-30f6-45ce-9496-8739cb4a90a5,0,true,EmptyObject,EmptyObject,pop,none
1607319629687:5eb0e094-00c5-42f3-9d1c-d42a587729c4,1607319629687:6f3a7c83-b2f3-4244-9dfd-00e467842044,0,true,EmptyObject,EmptyObject,CTOR,none
