testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607925827756:6e505f48-e3f7-403f-afd4-6db98deb0aae,1607925828053:832d6a15-416c-4969-9603-d62c5ecbc782,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925827756:6e505f48-e3f7-403f-afd4-6db98deb0aae,1607925828053:832d6a15-416c-4969-9603-d62c5ecbc782,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925827756:6e505f48-e3f7-403f-afd4-6db98deb0aae,1607925828053:832d6a15-416c-4969-9603-d62c5ecbc782,0,True,EmptyObject,EmptyObject,pop,none,No
1607925828057:6aa8c00f-bf80-48bf-ade0-f1fee047b8aa,1607925828057:3c648ee3-6658-494e-a8ad-f997d062154b,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828057:6aa8c00f-bf80-48bf-ade0-f1fee047b8aa,1607925828057:3c648ee3-6658-494e-a8ad-f997d062154b,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828057:6aa8c00f-bf80-48bf-ade0-f1fee047b8aa,1607925828057:3c648ee3-6658-494e-a8ad-f997d062154b,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828057:edd3d401-b136-43ee-864c-aff4007dba39,1607925828057:0ad22e9a-dff3-40e7-bd94-8f12747d2ce5,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828057:edd3d401-b136-43ee-864c-aff4007dba39,1607925828057:0ad22e9a-dff3-40e7-bd94-8f12747d2ce5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828057:edd3d401-b136-43ee-864c-aff4007dba39,1607925828057:0ad22e9a-dff3-40e7-bd94-8f12747d2ce5,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607925828058:2e696b95-4f4b-4570-916a-ea2e4ef112de,1607925828058:d4831d9f-3ef3-4ba9-89f4-504997f9f8fc,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828058:2e696b95-4f4b-4570-916a-ea2e4ef112de,1607925828058:d4831d9f-3ef3-4ba9-89f4-504997f9f8fc,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828058:2e696b95-4f4b-4570-916a-ea2e4ef112de,1607925828058:d4831d9f-3ef3-4ba9-89f4-504997f9f8fc,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607925828058:5a1a8611-4af2-44a9-a432-9dc50a4cbe51,1607925828058:e18fcd8e-4f3d-45b1-9686-46a0e9eea2ef,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828058:5a1a8611-4af2-44a9-a432-9dc50a4cbe51,1607925828058:e18fcd8e-4f3d-45b1-9686-46a0e9eea2ef,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828058:5a1a8611-4af2-44a9-a432-9dc50a4cbe51,1607925828058:e18fcd8e-4f3d-45b1-9686-46a0e9eea2ef,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828058:0db407dc-8b24-46d0-b9fc-7ebfd337ffa5,1607925828059:ddc3aa39-010d-48e9-be49-66d1074ff195,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828058:0db407dc-8b24-46d0-b9fc-7ebfd337ffa5,1607925828059:ddc3aa39-010d-48e9-be49-66d1074ff195,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828058:0db407dc-8b24-46d0-b9fc-7ebfd337ffa5,1607925828059:ddc3aa39-010d-48e9-be49-66d1074ff195,0,True,EmptyObject,EmptyObject,pop,none,No
1607925828059:f7f21d5a-f5ae-4466-b7e3-0f6135b29bcb,1607925828059:ae2b2dee-51a0-4fdb-9e80-4f00f07b5d00,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828059:f7f21d5a-f5ae-4466-b7e3-0f6135b29bcb,1607925828059:ae2b2dee-51a0-4fdb-9e80-4f00f07b5d00,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828059:f7f21d5a-f5ae-4466-b7e3-0f6135b29bcb,1607925828059:ae2b2dee-51a0-4fdb-9e80-4f00f07b5d00,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828059:20843c65-7fc1-4e97-9563-268546fb4e72,1607925828059:e3562515-bce2-4d81-ae6f-1c39f19fd0e8,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828059:20843c65-7fc1-4e97-9563-268546fb4e72,1607925828059:e3562515-bce2-4d81-ae6f-1c39f19fd0e8,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828059:20843c65-7fc1-4e97-9563-268546fb4e72,1607925828059:e3562515-bce2-4d81-ae6f-1c39f19fd0e8,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607925828059:0ccb6e61-98bb-439a-9b45-2d9d36f0c473,1607925828060:bab171bc-169f-467c-9edc-544df5c576c8,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828059:0ccb6e61-98bb-439a-9b45-2d9d36f0c473,1607925828060:bab171bc-169f-467c-9edc-544df5c576c8,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828060:9429140f-0108-4ebb-8902-cbad388e92ca,1607925828060:ce67b73c-0e0c-47f9-8ec9-84b386356b56,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828060:9429140f-0108-4ebb-8902-cbad388e92ca,1607925828060:ce67b73c-0e0c-47f9-8ec9-84b386356b56,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828060:9429140f-0108-4ebb-8902-cbad388e92ca,1607925828060:ce67b73c-0e0c-47f9-8ec9-84b386356b56,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828060:ffd7a573-6b80-4da1-b1cd-f5140c5ea526,1607925828060:076a857b-144a-4687-93d3-fbb55eae8e30,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828060:ffd7a573-6b80-4da1-b1cd-f5140c5ea526,1607925828060:076a857b-144a-4687-93d3-fbb55eae8e30,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828060:ffd7a573-6b80-4da1-b1cd-f5140c5ea526,1607925828060:076a857b-144a-4687-93d3-fbb55eae8e30,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828060:ffd7a573-6b80-4da1-b1cd-f5140c5ea526,1607925828060:076a857b-144a-4687-93d3-fbb55eae8e30,0,True,EmptyObject,EmptyObject,pop,none,No
1607925828061:adebd29b-545c-47e6-a9fb-dbea2cd94398,1607925828061:46758627-02a6-4623-a3bd-9bc7b997ba78,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828061:adebd29b-545c-47e6-a9fb-dbea2cd94398,1607925828061:46758627-02a6-4623-a3bd-9bc7b997ba78,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828061:adebd29b-545c-47e6-a9fb-dbea2cd94398,1607925828061:46758627-02a6-4623-a3bd-9bc7b997ba78,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828061:2ddea566-9545-44c9-a6d4-8a29ecd83424,1607925828061:965ab6d4-95e5-4906-95fb-2d3f75b00721,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828061:2ddea566-9545-44c9-a6d4-8a29ecd83424,1607925828061:965ab6d4-95e5-4906-95fb-2d3f75b00721,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828061:2ddea566-9545-44c9-a6d4-8a29ecd83424,1607925828061:965ab6d4-95e5-4906-95fb-2d3f75b00721,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828061:ebfbb06e-2bd1-4ab3-8837-1477621df0b6,1607925828061:c536d182-54ce-4411-8d8e-ca838740d3bd,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828061:ebfbb06e-2bd1-4ab3-8837-1477621df0b6,1607925828061:c536d182-54ce-4411-8d8e-ca838740d3bd,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828061:ebfbb06e-2bd1-4ab3-8837-1477621df0b6,1607925828061:c536d182-54ce-4411-8d8e-ca838740d3bd,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828062:e74d0077-7a36-486e-879e-ba68314ec03a,1607925828062:264cc4e3-31c4-4d5c-9cbe-d0927a28f883,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828062:e74d0077-7a36-486e-879e-ba68314ec03a,1607925828062:264cc4e3-31c4-4d5c-9cbe-d0927a28f883,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828062:e74d0077-7a36-486e-879e-ba68314ec03a,1607925828062:264cc4e3-31c4-4d5c-9cbe-d0927a28f883,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828063:ac35cee0-2a4d-45b0-ba16-b2295f5d4386,1607925828063:0b7dad90-d833-4e43-8fdb-f56395b68085,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828063:ac35cee0-2a4d-45b0-ba16-b2295f5d4386,1607925828063:0b7dad90-d833-4e43-8fdb-f56395b68085,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828063:ac35cee0-2a4d-45b0-ba16-b2295f5d4386,1607925828063:e4e9a6d3-59b2-4bbc-9b6f-7a0c924e16db,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828063:ac35cee0-2a4d-45b0-ba16-b2295f5d4386,1607925828063:e4e9a6d3-59b2-4bbc-9b6f-7a0c924e16db,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828063:ac35cee0-2a4d-45b0-ba16-b2295f5d4386,1607925828063:e4e9a6d3-59b2-4bbc-9b6f-7a0c924e16db,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828064:3e501776-af18-4e57-bd36-572fa43d268b,1607925828064:111b3bc6-18ba-4924-8182-157810fa6482,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828064:3e501776-af18-4e57-bd36-572fa43d268b,1607925828064:111b3bc6-18ba-4924-8182-157810fa6482,0,True,EmptyObject,EmptyObject,clear,none,No
1607925828064:3e501776-af18-4e57-bd36-572fa43d268b,1607925828064:111b3bc6-18ba-4924-8182-157810fa6482,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828064:3e501776-af18-4e57-bd36-572fa43d268b,1607925828064:111b3bc6-18ba-4924-8182-157810fa6482,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607925828064:e13acabb-3542-4b92-8c8d-b4a337b6dad0,1607925828064:331e82a7-bf84-4528-abf3-38b5ac3e6483,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828064:e13acabb-3542-4b92-8c8d-b4a337b6dad0,1607925828064:331e82a7-bf84-4528-abf3-38b5ac3e6483,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828064:e13acabb-3542-4b92-8c8d-b4a337b6dad0,1607925828064:ea970a16-f5b0-4009-98b9-b204c1ea2358,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828064:e13acabb-3542-4b92-8c8d-b4a337b6dad0,1607925828064:ea970a16-f5b0-4009-98b9-b204c1ea2358,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828064:e13acabb-3542-4b92-8c8d-b4a337b6dad0,1607925828064:ea970a16-f5b0-4009-98b9-b204c1ea2358,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828065:4d91f750-351e-42dd-98ed-53a040d33ed7,1607925828065:dbd925bc-4b41-45e9-b512-3a0b0ba949f1,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828065:4d91f750-351e-42dd-98ed-53a040d33ed7,1607925828065:dbd925bc-4b41-45e9-b512-3a0b0ba949f1,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828065:4d91f750-351e-42dd-98ed-53a040d33ed7,1607925828065:d678fe09-49c0-4202-97f9-f204127a7375,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828065:4d91f750-351e-42dd-98ed-53a040d33ed7,1607925828065:d678fe09-49c0-4202-97f9-f204127a7375,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607925828065:4d91f750-351e-42dd-98ed-53a040d33ed7,1607925828065:d678fe09-49c0-4202-97f9-f204127a7375,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607925828065:bd4f2156-62f6-44f2-928f-158beb1ac890,1607925828065:d568c0dc-716f-4d09-90d5-664bdc9f960f,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607925828065:bd4f2156-62f6-44f2-928f-158beb1ac890,1607925828065:d568c0dc-716f-4d09-90d5-664bdc9f960f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
