testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1604914631887:e9375049-2cf3-4d06-bb13-c99c5cf873d4,1604914632194:b8f31e6e-c9d8-4aaa-8410-0bcc94fe8ea5,0,True,EmptyObject,EmptyObject,CTOR,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1604914632198:b9833bc2-e292-486d-8264-f06d43d7d599,1604914632198:048c1706-c77b-48e1-93a0-f71c44681b0a,0,True,EmptyObject,EmptyObject,CTOR,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1604914632199:b2d68276-1fae-40f6-9edc-8319c099f41c,1604914632199:50f047d6-7685-4647-b87f-c69f895337eb,0,True,EmptyObject,EmptyObject,CTOR,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1604914632199:f2e7f0af-3d6d-4fec-b5e8-13d5e05701f6,1604914632199:e55f168f-0d11-4290-8ac8-8516a371637c,0,True,EmptyObject,EmptyObject,CTOR,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1604914632202:d876531b-10ea-4285-8c74-f2d640ad5fd6,1604914632202:1bc09a8d-2df2-4c50-b418-b8d24c686fc8,0,True,EmptyObject,EmptyObject,CTOR,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1604914632202:edddf470-4868-4795-98a1-5392f79dfd54,1604914632202:468f9220-de92-497e-9e70-102cd280dec3,0,True,EmptyObject,EmptyObject,CTOR,none,No
1604914632202:edddf470-4868-4795-98a1-5392f79dfd54,1604914632202:468f9220-de92-497e-9e70-102cd280dec3,0,True,EmptyObject,EmptyObject,clear,none,No
1604914632202:edddf470-4868-4795-98a1-5392f79dfd54,1604914632202:468f9220-de92-497e-9e70-102cd280dec3,0,True,EmptyObject,EmptyObject,pop,none,No
1604914632203:9f3b8506-7cfd-40b0-9d84-bed529eabcad,1604914632203:59433176-7abc-450e-9542-700387dead97,0,True,EmptyObject,EmptyObject,CTOR,none,No
