testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607897405588:21ab638a-8c31-407f-9deb-9eab0bf57e2c,1607897406167:5efc32e6-c11f-4942-807b-c309ece7f472,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897405588:21ab638a-8c31-407f-9deb-9eab0bf57e2c,1607897406167:5efc32e6-c11f-4942-807b-c309ece7f472,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897405588:21ab638a-8c31-407f-9deb-9eab0bf57e2c,1607897406167:5efc32e6-c11f-4942-807b-c309ece7f472,0,True,EmptyObject,EmptyObject,pop,none,No
1607897406174:e3ae4974-3bd2-442d-a3fb-d0ecde110361,1607897406174:0aecd99e-95e1-4a1d-8ab0-762480ffdebe,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406174:e3ae4974-3bd2-442d-a3fb-d0ecde110361,1607897406174:0aecd99e-95e1-4a1d-8ab0-762480ffdebe,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406174:e3ae4974-3bd2-442d-a3fb-d0ecde110361,1607897406174:0aecd99e-95e1-4a1d-8ab0-762480ffdebe,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607897406175:5e5ecf2f-f02b-40c3-b6f3-4ae9f6ed4964,1607897406175:1e29d21a-c112-4799-ae8a-f565bccd1b7a,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406175:5e5ecf2f-f02b-40c3-b6f3-4ae9f6ed4964,1607897406175:1e29d21a-c112-4799-ae8a-f565bccd1b7a,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406175:5e5ecf2f-f02b-40c3-b6f3-4ae9f6ed4964,1607897406175:1e29d21a-c112-4799-ae8a-f565bccd1b7a,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607897406176:8e7193ab-cc1b-4d86-a394-4591c72acf88,1607897406176:88bde0b4-f617-4f9c-96aa-13e00f4932ea,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406176:8e7193ab-cc1b-4d86-a394-4591c72acf88,1607897406176:88bde0b4-f617-4f9c-96aa-13e00f4932ea,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406176:8e7193ab-cc1b-4d86-a394-4591c72acf88,1607897406176:88bde0b4-f617-4f9c-96aa-13e00f4932ea,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607897406176:0bc73cb7-0dc8-4b26-89b1-0fd964a8ffe1,1607897406176:bb8eaaa7-99ca-4668-95d2-7186777ef225,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406176:0bc73cb7-0dc8-4b26-89b1-0fd964a8ffe1,1607897406176:bb8eaaa7-99ca-4668-95d2-7186777ef225,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406176:0bc73cb7-0dc8-4b26-89b1-0fd964a8ffe1,1607897406176:bb8eaaa7-99ca-4668-95d2-7186777ef225,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607897406177:de7869b4-afe1-46dc-abde-4d62e76a045b,1607897406177:8ebb300d-072d-49fb-829e-7e076e9445f0,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406177:de7869b4-afe1-46dc-abde-4d62e76a045b,1607897406177:8ebb300d-072d-49fb-829e-7e076e9445f0,0,True,EmptyObject,EmptyObject,clear,none,No
1607897406177:de7869b4-afe1-46dc-abde-4d62e76a045b,1607897406177:8ebb300d-072d-49fb-829e-7e076e9445f0,0,True,EmptyObject,EmptyObject,pop,none,No
1607897406177:bbf3ccb5-1bf8-4c9d-98a7-08433eb8b95d,1607897406177:f6ea1b98-8517-4d6c-9020-65e2dde62585,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406177:bbf3ccb5-1bf8-4c9d-98a7-08433eb8b95d,1607897406177:f6ea1b98-8517-4d6c-9020-65e2dde62585,0,True,EmptyObject,EmptyObject,clear,none,No
1607897406177:bbf3ccb5-1bf8-4c9d-98a7-08433eb8b95d,1607897406177:f6ea1b98-8517-4d6c-9020-65e2dde62585,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406178:27936d8e-cb5e-4f44-a621-c6e1fd0432f2,1607897406178:d7a02883-6a1b-4599-aeba-daaaf7bf12ba,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897406178:27936d8e-cb5e-4f44-a621-c6e1fd0432f2,1607897406178:d7a02883-6a1b-4599-aeba-daaaf7bf12ba,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes
1607897406178:27936d8e-cb5e-4f44-a621-c6e1fd0432f2,1607897406178:d7a02883-6a1b-4599-aeba-daaaf7bf12ba,0,True,EmptyObject,EmptyObject,pop,none,No
--,--,--,--,--,--,--,--,Yes
1607897406179:c673e2f0-edcf-4130-92b0-7d921b47721e,1607897406179:375c683a-49ce-4c3d-bf0d-615245fbc42c,0,True,EmptyObject,EmptyObject,CTOR,none,No
