testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff
1607897077019:24f6ea9c-dc37-4c9a-9101-af9bb5257f0b,1607897077416:d94e6130-8dc1-41f1-95d4-7d8ebcd58be9,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077019:24f6ea9c-dc37-4c9a-9101-af9bb5257f0b,1607897077416:d94e6130-8dc1-41f1-95d4-7d8ebcd58be9,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077019:24f6ea9c-dc37-4c9a-9101-af9bb5257f0b,1607897077416:d94e6130-8dc1-41f1-95d4-7d8ebcd58be9,1,False,1.0,class java.lang.Float,pop,none,Yes
1607897077421:2e5710b1-247b-4790-a55f-a97cd891ad9e,1607897077421:5bb5fd2c-7aaa-43a7-b600-1e6cfe0aacea,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077421:2e5710b1-247b-4790-a55f-a97cd891ad9e,1607897077421:5bb5fd2c-7aaa-43a7-b600-1e6cfe0aacea,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077421:2e5710b1-247b-4790-a55f-a97cd891ad9e,1607897077421:5bb5fd2c-7aaa-43a7-b600-1e6cfe0aacea,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607897077424:b4e239ef-5945-4595-a077-cc624a913a88,1607897077424:4cf4bdf3-5735-4da8-b475-9806196ff1bf,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077424:b4e239ef-5945-4595-a077-cc624a913a88,1607897077424:4cf4bdf3-5735-4da8-b475-9806196ff1bf,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077424:b4e239ef-5945-4595-a077-cc624a913a88,1607897077424:4cf4bdf3-5735-4da8-b475-9806196ff1bf,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
1607897077425:c6ba78ea-a9f7-4dc4-9e39-2e65199390dc,1607897077425:f9aa4fc9-aaae-4c5c-9657-204f6c56f12a,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077425:c6ba78ea-a9f7-4dc4-9e39-2e65199390dc,1607897077425:f9aa4fc9-aaae-4c5c-9657-204f6c56f12a,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077425:c6ba78ea-a9f7-4dc4-9e39-2e65199390dc,1607897077425:f9aa4fc9-aaae-4c5c-9657-204f6c56f12a,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
1607897077425:b64e2fcf-3d7b-46b7-a82c-64c60f0c925a,1607897077425:88e177b1-51d8-4821-a971-3b5941cc6360,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077425:b64e2fcf-3d7b-46b7-a82c-64c60f0c925a,1607897077425:88e177b1-51d8-4821-a971-3b5941cc6360,1,False,1.0,class java.lang.Float,push,class java.lang.Float,No
1607897077425:b64e2fcf-3d7b-46b7-a82c-64c60f0c925a,1607897077425:88e177b1-51d8-4821-a971-3b5941cc6360,1,False,1.0,class java.lang.Float,pop,none,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
--,--,--,--,--,--,--,--,Yes
1607897077426:6ea97713-56db-4378-8fa1-e6eba464953d,1607897077426:9b51cf17-1671-439c-b073-d60e83b79620,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077426:6ea97713-56db-4378-8fa1-e6eba464953d,1607897077426:9b51cf17-1671-439c-b073-d60e83b79620,0,True,EmptyObject,EmptyObject,clear,none,No
1607897077426:6ea97713-56db-4378-8fa1-e6eba464953d,1607897077426:9b51cf17-1671-439c-b073-d60e83b79620,0,True,EmptyObject,EmptyObject,pop,none,No
1607897077426:71120a1d-e66f-4110-a4f8-34498bb89089,1607897077426:a89a181f-0338-4138-97f5-0c2427d3b8b4,0,True,EmptyObject,EmptyObject,CTOR,none,No
1607897077426:71120a1d-e66f-4110-a4f8-34498bb89089,1607897077426:a89a181f-0338-4138-97f5-0c2427d3b8b4,0,True,EmptyObject,EmptyObject,clear,none,No
