,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
1,1607899410250:8aad03f9-37c1-4199-a825-34737048a2aa,1607899410250:b50101c4-1af2-4b98-9006-e4ffc076a7f0,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
2,1607899410250:8aad03f9-37c1-4199-a825-34737048a2aa,1607899410250:b50101c4-1af2-4b98-9006-e4ffc076a7f0,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
4,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
5,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
6,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
7,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
8,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:71833d1e-d733-47ab-a5e3-045fc21e4885,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes
10,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:28332c1d-0076-4f79-8429-8aa3e118d0fa,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
11,1607899410250:2b702ccf-da5d-40c6-bdc4-af69289ed483,1607899410250:28332c1d-0076-4f79-8429-8aa3e118d0fa,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes
13,1607899410250:2173ef48-8017-4d96-a035-0b7fe014060d,1607899410250:a375503e-a339-471c-b4a2-00752b097782,"size == ""101""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes
