,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff
6,1607937294425:073e3c52-5c2d-4e04-82d8-e36eb49a218e,1607937294425:65f97121-9821-4f57-af74-66468af3ef69,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
9,1607937294424:be274723-a280-4322-88a7-99296bedf6ac,1607937294424:9e527902-ea83-4cf2-afad-67094e91672d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
11,1607937294424:a8d66d20-772f-433a-9bc1-77ba64f11e27,1607937294424:08fe9afa-d0b2-481e-adf9-011d82bf0412,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
19,1607937294424:5464e8e4-4004-400c-823c-381fc019202f,1607937294424:518e370b-4658-4b41-8473-1f7c54b05ff0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
21,1607937294424:18138acc-c25b-4903-8b7b-91855ae6d4c8,1607937294424:b8afca3e-747a-4771-adfa-a0f000f1623f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
30,1607937294422:b40ab033-fe59-4206-a008-8a43378bc387,1607937294422:764fcae2-1bc8-43ca-8963-641d7ee039e3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
34,1607937294422:65c4b975-f56a-4ab9-accf-63433b58e06d,1607937294422:40371e74-dbf2-44b5-bce2-1303bb61bc4e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
36,1607937294422:558aeb37-ff68-4845-9a56-f9714ff8a2eb,1607937294422:4bf79db1-8183-414e-abe6-e3f080ea74dc,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
46,1607937294421:b650f20f-8623-4128-9df5-0f82c08491a0,1607937294421:dfdaabaf-c2c4-4300-8aac-344030bda037,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
51,1607937294421:180e9cc7-4f69-4607-ae6a-3a9813fd8dd2,1607937294421:4add4775-fea4-4eb6-a819-eb2828cb8fd5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
53,1607937294420:ef234a19-4c4c-448f-9ac6-9882ed1936a4,1607937294420:3a58b0c4-bf5b-4168-8a1b-f7a5147f8b74,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
61,1607937294420:5541086c-e10c-4cbd-bd46-7d96305b652a,1607937294420:351a9ac8-e26a-46a0-a734-e421209efd0c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
67,1607937294419:fea34151-0794-4849-960e-d9a5a9daeb05,1607937294419:fce5f570-328f-469f-aef6-94f9fa1bbd56,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
74,1607937294419:6f5ffabe-a531-43f4-ad65-115e1b342ab0,1607937294419:55c7e0a0-c40d-4740-8f80-f614308d4d28,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
81,1607937294418:f67c5608-1e51-4c37-aa98-66414e17c3fa,1607937294418:7b206e23-2cec-49a2-b9d4-dc697234509c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",No
