,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
1,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:e160f3e1-b18c-4ec2-a20d-eece650fa483,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
2,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:e160f3e1-b18c-4ec2-a20d-eece650fa483,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
3,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:e160f3e1-b18c-4ec2-a20d-eece650fa483,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
4,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:e160f3e1-b18c-4ec2-a20d-eece650fa483,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
5,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:e160f3e1-b18c-4ec2-a20d-eece650fa483,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""",No
7,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:796db3ba-579a-4edf-a24f-3b64fd5b655c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
8,1607893604029:f19a54fd-cb01-4b78-9aac-e77813f699e8,1607893604029:796db3ba-579a-4edf-a24f-3b64fd5b655c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
10,1607893604029:ea8d6be4-76a8-4389-87da-aead7bcc6148,1607893604029:0d1315df-99c3-404b-a866-7da9697eed0d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
11,1607893604029:ea8d6be4-76a8-4389-87da-aead7bcc6148,1607893604029:0d1315df-99c3-404b-a866-7da9697eed0d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
13,1607893604029:5b69f698-80fb-4899-9a50-dad2582235d1,1607893604029:142b3d0e-a491-46b7-8044-bae647cf8971,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
14,1607893604029:5b69f698-80fb-4899-9a50-dad2582235d1,1607893604029:142b3d0e-a491-46b7-8044-bae647cf8971,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
16,1607893604028:cdc61977-ffa6-4d90-a595-068c55c0b511,1607893604028:bbab69a0-2920-4569-a182-93967183d845,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
17,1607893604028:cdc61977-ffa6-4d90-a595-068c55c0b511,1607893604028:bbab69a0-2920-4569-a182-93967183d845,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""",No
19,1607893604028:cdc61977-ffa6-4d90-a595-068c55c0b511,1607893604028:5f39e6cb-11de-4557-bf31-c98ed34186d0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
21,1607893604028:678383b4-b13b-4957-b77b-292652805766,1607893604028:8ec7a2a3-f27f-48d8-a894-f65b751d2d39,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes
