,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
5,1607893123289:aae43d33-31db-47c4-9687-b8bab4f21f5e,1607893123289:03222999-7eaa-430a-865c-0d3f5e9a22ca,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
8,1607893123289:71b8eb1b-f0cb-4f05-8cd8-f97612639734,1607893123289:525e5fe3-0dd4-487d-bbe3-63a9971fe845,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
12,1607893123288:e9ca9250-e2f4-4740-9e38-2ed953037a50,1607893123288:fdd25b79-8788-409b-9739-aff4be3961be,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
16,1607893123288:5a22c133-0bf0-4a70-884a-9147f0a79659,1607893123288:5731db2d-4406-47c8-99b7-b2cf37e813d7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
19,1607893123288:24c7a29f-d852-48b7-8ad8-73350b8c7980,1607893123288:0c6f5754-3158-4805-ae7a-585481c01d9d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
32,1607893123285:89117f76-bf8b-43ae-8cdb-a01607b1102e,1607893123285:8bfd564d-050b-4842-8c5c-d2e450bcfe31,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
36,1607893123285:33554f40-5463-4083-b020-09e5c73baf34,1607893123285:ffd5b3b2-37dc-4acd-9fd8-713443034cc2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
38,1607893123284:eb25db6b-44e7-49a0-b2cd-8a58a6e586ee,1607893123284:4ca37079-c2b1-4bb9-9763-2608f5f02e42,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
42,1607893123284:6d2f8a7a-d1d0-43b7-bbae-829b5860f00e,1607893123284:77335d2c-5c32-40bb-861d-1ddc7be9deda,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
48,1607893123284:0204c6cb-4363-43ab-a63d-21a81c8e4157,1607893123284:ef8b000a-7a00-4d19-817f-a888a4350577,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
56,1607893123283:376bc3cf-ee72-43cf-89c0-511410d0e87d,1607893123283:92d1621b-c60b-436a-9b78-752ce4ecd290,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
60,1607893123282:892a5c46-3782-4969-a78b-6e2be3681529,1607893123282:24438896-c929-4d92-96cd-f7572c59e1bd,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
64,1607893123282:5ee372b7-c2b3-42e6-aea8-2d5c7174e12f,1607893123282:2e9662a5-6a52-4b13-bd37-dfce7131a52a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
77,1607893123281:54041b5c-9e15-4fdf-8b25-bc6260eb869f,1607893123281:c01555d9-9a74-496f-854b-3caad6263263,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
86,1607893123280:c18fc2b4-8e8f-4143-bcdc-86e004ac5174,1607893123280:5dcee64f-bd1b-4a20-8ef9-7e3affb3140c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
91,1607893123279:91527c9c-01f0-42fd-b273-d3911c02345d,1607893123279:4e780318-1d7c-4024-b33b-ad64e13f6a1c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
93,1607893123279:83e24fad-4062-4b50-a9a7-302d1443b4bb,1607893123279:f793bad8-915a-4954-ae2b-812320fea0d3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
105,1607893123278:99ee3a33-6327-477a-b65c-da821a74f968,1607893123278:bd3c03e7-61c1-4620-ae34-44444da69681,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
110,1607893123278:224530f8-e28a-440e-87db-f64c60a4219a,1607893123278:d66f5d59-a06f-41a4-9404-1d93e556c1cb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
116,1607893123277:97332689-edd0-4964-8619-0dd5201c1ff5,1607893123277:8968288e-c5a5-4789-a4fd-7f07b8d57e74,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
118,1607893123277:8dc10565-5003-475c-88a0-521324d8babe,1607893123277:af41cef4-f0ca-49e6-ae6e-cddc06f0efb2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
122,1607893123277:38084912-d672-4ab8-8da3-7715c45e5ee4,1607893123277:f7889903-cda3-43bb-8800-96d0208ccfb3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
126,1607893123276:e6396dab-47d6-4f14-9018-122f484e7e5c,1607893123276:a8921336-07be-4971-aa90-b313a38e7235,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
128,1607893123276:ce2f4ef0-856b-4ed7-b239-50a23a28be7b,1607893123276:6a57fd90-814e-4fd7-be5b-2153cf195054,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
130,1607893123276:baf36371-c1b3-4ad4-bb18-264b88aecaf2,1607893123276:f16f278b-480b-462c-b325-09535f966b10,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
135,1607893123276:4b69be92-467b-4384-9a5a-8c246edb15e6,1607893123276:29e06c88-1147-4c82-a07d-c9d77cf5cc95,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
138,1607893123276:193b90c2-3407-40e2-87f0-86811b14a4c5,1607893123276:03aeffe6-57c0-449d-b99c-301e5ed3a97b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
142,1607893123275:f2282b98-ac9b-429f-ae0a-4f636d9a06ef,1607893123275:6c4892ab-7256-4185-ba7e-5ec33595ff0f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
157,1607893123274:3c3457d7-06a3-45a4-9fd8-73e66ab2e0bf,1607893123274:3baa55df-6fb2-4b9b-b543-8ca49008c81b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
159,1607893123274:3474425e-e42f-49a5-ace9-a9ddad8714cf,1607893123274:61c41971-6185-42c1-9f1c-650b3aaffe70,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
161,1607893123274:108d088a-a04b-4f43-ad68-9d69527d607f,1607893123274:e16ca9d1-8fe6-4935-9a6a-aa052ccfb57f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
163,1607893123274:0dee98e5-9548-486a-97e0-c6f66e59ed8a,1607893123274:5ff9769a-7cbb-4873-842a-6a1fc5b6e826,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
167,1607893123273:d43728a0-68a0-43f9-8124-b9559d9beff2,1607893123273:5cb93077-09ec-4611-a769-9c274009065d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
170,1607893123273:ad229a41-c0f5-4e9e-a938-ce1885967eb7,1607893123273:2f9f5581-f163-4f21-b4fb-ec0f6322c247,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
174,1607893123273:7c1ca3f0-8478-4279-a181-6563eab5c0d1,1607893123273:5a688ece-adc0-42e4-a114-0117bca4ca90,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
181,1607893123272:e5d6da28-0ef2-49f8-89d3-b6176e3cbd17,1607893123272:803281fb-2e4b-4821-bcf8-39592c2af82d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
183,1607893123272:a859e7e5-f036-4aa9-a731-c22fb770836e,1607893123272:915218f4-5c62-498d-882a-57c8b8bf6cba,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
185,1607893123272:8a3c7d72-ee28-4cc2-896f-1007f8d7bb4e,1607893123272:4703776d-7f66-40f2-94f4-08d55f0ab2f2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
188,1607893123272:88af415e-4c10-4c4c-a761-eb1ac06c79b0,1607893123272:1b2d6996-1646-4593-b929-acc0fe1401f5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
190,1607893123272:879aff96-5dea-4a37-9495-4607d1ad7bfd,1607893123272:223a78fd-9bdd-40ab-9309-3ca0b5e68358,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
195,1607893123271:d2c2215a-e15b-4166-a101-3fb5f3600d5f,1607893123271:b887be74-b44e-4797-b409-ef1741e83a09,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
199,1607893123271:b809b63f-86d7-463c-bf16-6fbfd6e06557,1607893123271:10cb796e-5d8a-4aa1-a936-efd17afbb36e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
201,1607893123271:b5ba9728-d4c8-4a36-8f74-9a4f004904ac,1607893123271:3d637afa-7e0e-48b8-97aa-0db3acc02ef3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
206,1607893123271:4b6b7d3e-1256-4fab-a3ea-a2a40985213d,1607893123271:83c174d5-1518-4284-ad85-2fea1b523a82,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
219,1607893123269:831a8dc4-a5a1-4699-8bfe-d7da423d6d25,1607893123269:d6fc0edd-c58b-4f0a-a276-c94b64318b5f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
223,1607893123269:53059fdf-ea4b-416a-9620-62bdf0cd7b81,1607893123269:6c65f2f7-336d-4f37-a7fb-8787dd921c5a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
228,1607893123268:878d1fb5-3681-47a5-9344-1ae0d49ba7c9,1607893123268:5060725b-b7eb-430e-9df7-c6aa5c9ba95b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
230,1607893123268:5f2b508c-8acb-43b3-bed0-b9d6e130fee3,1607893123268:51529b12-8e40-4790-8504-b27776ac7853,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
233,1607893123268:086ccc60-aed1-4235-a3f2-93f8af3eb66c,1607893123268:8060198b-6498-41d3-b126-f0ea177ad8df,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
235,1607893123267:dca75f24-0c42-40bf-98c7-3c79eb22ff84,1607893123267:a652ed3e-e8c1-44ff-a9cf-330ff9ffcb98,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
237,1607893123267:dca75f24-0c42-40bf-98c7-3c79eb22ff84,1607893123267:57186fef-8a07-4346-b259-7f48ae416bc1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
238,1607893123267:dca75f24-0c42-40bf-98c7-3c79eb22ff84,1607893123267:57186fef-8a07-4346-b259-7f48ae416bc1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
239,1607893123267:dca75f24-0c42-40bf-98c7-3c79eb22ff84,1607893123267:57186fef-8a07-4346-b259-7f48ae416bc1,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
248,1607893123266:45a86778-21be-4ec2-8420-6eb2156a0a30,1607893123266:a765affd-c24a-48df-b9d0-3409c0394a8f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
250,1607893123266:4237dcd5-267a-41ce-8c0c-b6b22af245ad,1607893123266:868ab5b7-38cb-4197-90b9-8a40a4314083,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
253,1607893123266:21531e2a-ef98-4e94-a435-8b9624af5929,1607893123266:afc180fa-edf5-4846-8580-c98177b1661a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
260,1607893123265:4ab214f4-ee10-4f13-b870-355938cae74c,1607893123265:d842b86e-a41b-46e9-bbb8-f5f8218795ae,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
263,1607893123265:035107a9-0b11-4960-909a-ddb552033c47,1607893123265:cc38afff-7c4c-4132-86bb-57c8074781a2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
271,1607893123264:034c2b1e-e128-4aa1-88d2-0c733a306e96,1607893123264:e4f36111-dbec-4d40-be8b-1069c00ece4e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
273,1607893123263:f66aa221-50c4-4ff3-9b83-f70694363125,1607893123263:3e6d88fa-a9dd-482d-aaf9-eba6d4e22fc6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
275,1607893123263:f5ebb952-ae54-4799-b23d-f1f70a2a86e6,1607893123263:dd7ace72-5209-4961-949c-307740ff26b3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
287,1607893123262:a86f2c2a-5bca-489b-b56b-179aeded0123,1607893123262:4043435b-efcd-4775-8f4b-0f92eefdf9ac,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
292,1607893123262:64bd1e62-e4ec-45da-8fcb-f30e51b24fd5,1607893123262:453772be-6e6b-49d1-9704-cf699dd7e5fb,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
294,1607893123262:110e29cf-8d89-4214-b7c3-d77560717e33,1607893123262:bd714465-f287-430d-815e-b605ba81b21d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
298,1607893123261:b82fbbd0-1ca0-4e4e-983d-f3b158c81b0f,1607893123261:6bf619a9-0ef8-48cc-9ec4-7b78a528fcb0,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
301,1607893123261:861bf469-ded4-4159-be26-dc6198ddc2b5,1607893123261:d8961424-77d9-4fb1-8464-b00eb7d4789b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
306,1607893123261:15b825c7-63c5-4a83-abc9-646706b1703f,1607893123261:2cc652e0-9965-47b9-ad41-a571ebd67e28,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
312,1607893123260:a21295fe-afad-47b1-8662-6ad5364fc4c8,1607893123260:ff9f626c-1fc1-449e-b70f-89c7daf5c157,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
320,1607893123260:170cd1ef-3da2-4a05-a259-b2bf9622df18,1607893123260:92760987-91b7-436c-a259-4570d77f7f4a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
322,1607893123259:f8988893-4709-4acf-ac98-0d4651d205f3,1607893123259:93081ce1-69f5-40d0-b6bc-bf8068368075,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
334,1607893123258:f6c3070d-35ff-417b-b6eb-11a1f2a08ccf,1607893123258:795d9831-8bb2-4aa5-8bc0-68a11b38f975,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
336,1607893123258:e3dba077-042f-44fd-b904-72ec4a82a679,1607893123258:491fa185-c287-4a73-8994-db99ac69303f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",No
