,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1,1607899197708:4705af00-2ffa-40e8-8e87-efdc98f77ae4,1607899197708:769cfb23-e354-48a5-9661-3b6253fc2603,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
2,1607899197708:4705af00-2ffa-40e8-8e87-efdc98f77ae4,1607899197708:769cfb23-e354-48a5-9661-3b6253fc2603,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
4,1607899197707:eb758733-3051-414a-b892-9f690dc23e10,1607899197707:7aec52ab-d80a-4145-8bfe-aea27f73e806,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
5,1607899197707:eb758733-3051-414a-b892-9f690dc23e10,1607899197707:7aec52ab-d80a-4145-8bfe-aea27f73e806,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
7,1607899197707:dd94dc7f-1cac-4dfc-904b-51ec826785f6,1607899197707:edc26165-5b19-4ccd-9f31-be4813decf1d,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
8,1607899197707:dd94dc7f-1cac-4dfc-904b-51ec826785f6,1607899197707:edc26165-5b19-4ccd-9f31-be4813decf1d,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""1""",Yes
10,1607899197707:dd94dc7f-1cac-4dfc-904b-51ec826785f6,1607899197707:28f1e03b-0167-4c64-96a2-bcc3701deca3,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
11,1607899197707:dd94dc7f-1cac-4dfc-904b-51ec826785f6,1607899197707:28f1e03b-0167-4c64-96a2-bcc3701deca3,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
13,1607899197707:c0484850-bf82-4ade-8c78-7138df775f61,1607899197707:d5b91ee0-6161-4cfc-aafc-0281b83ba369,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
14,1607899197707:c0484850-bf82-4ade-8c78-7138df775f61,1607899197707:d5b91ee0-6161-4cfc-aafc-0281b83ba369,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","calledMethod == ""pop""","size_p == ""1""",Yes
16,1607899197707:9cf6afec-a09b-441f-85eb-c8fc26ecee88,1607899197707:3a364ef1-d447-49ba-8992-64dcff0f56d6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
