,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:eecdf9a5-3f81-4fca-a23b-9229de1cff5c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""0""",No
2,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:eecdf9a5-3f81-4fca-a23b-9229de1cff5c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
3,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:eecdf9a5-3f81-4fca-a23b-9229de1cff5c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""0""",No
4,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:eecdf9a5-3f81-4fca-a23b-9229de1cff5c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""0""",No
5,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:eecdf9a5-3f81-4fca-a23b-9229de1cff5c,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""0""",No
7,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:b64c2015-86d9-43c3-a027-e458fa0330ff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
8,1607884439566:c15b53e2-e918-41f1-9da7-6062e45bcff1,1607884439566:b64c2015-86d9-43c3-a027-e458fa0330ff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
10,1607884439566:b234401a-5981-48dc-8c72-c5cecd76893a,1607884439566:37125238-5ff0-43af-bc4e-6fa1712cf3e8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
11,1607884439566:b234401a-5981-48dc-8c72-c5cecd76893a,1607884439566:37125238-5ff0-43af-bc4e-6fa1712cf3e8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
13,1607884439566:abb4980e-5b26-4a1b-941f-a036526c9143,1607884439566:0c98acab-4b3d-4167-8d0e-b58479b3ff42,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
14,1607884439566:abb4980e-5b26-4a1b-941f-a036526c9143,1607884439566:0c98acab-4b3d-4167-8d0e-b58479b3ff42,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
16,1607884439566:3e069278-8552-4771-9234-b212b80afb0b,1607884439566:d3715c64-de29-4969-8fbc-a242bc74621d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
17,1607884439566:3e069278-8552-4771-9234-b212b80afb0b,1607884439566:d3715c64-de29-4969-8fbc-a242bc74621d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
19,1607884439565:830012f4-16f9-4578-8bf3-cb5b21a8275d,1607884439565:8951bcdd-f387-4121-beca-3a59ce120c56,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
20,1607884439565:830012f4-16f9-4578-8bf3-cb5b21a8275d,1607884439565:8951bcdd-f387-4121-beca-3a59ce120c56,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
21,1607884439565:830012f4-16f9-4578-8bf3-cb5b21a8275d,1607884439565:8951bcdd-f387-4121-beca-3a59ce120c56,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
23,1607884439565:830012f4-16f9-4578-8bf3-cb5b21a8275d,1607884439565:4fe8f340-0131-4d38-b5e2-6f2b25e6b4c6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
24,1607884439565:830012f4-16f9-4578-8bf3-cb5b21a8275d,1607884439565:4fe8f340-0131-4d38-b5e2-6f2b25e6b4c6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
26,1607884439565:50226c20-df8d-4517-9002-a52a0411fd47,1607884439565:0e9e71a5-cef5-4ea8-9007-69ff8686a56a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
27,1607884439565:50226c20-df8d-4517-9002-a52a0411fd47,1607884439565:0e9e71a5-cef5-4ea8-9007-69ff8686a56a,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
29,1607884439565:3c64a104-53e4-4489-a586-2aa01c1bd212,1607884439566:47605c3f-ed4f-4bb5-9499-72a4691389ff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
30,1607884439565:3c64a104-53e4-4489-a586-2aa01c1bd212,1607884439566:47605c3f-ed4f-4bb5-9499-72a4691389ff,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
32,1607884439565:3c64a104-53e4-4489-a586-2aa01c1bd212,1607884439565:3c8710ad-0917-4a15-b716-1f8eca6e2b76,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
33,1607884439565:3c64a104-53e4-4489-a586-2aa01c1bd212,1607884439565:3c8710ad-0917-4a15-b716-1f8eca6e2b76,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
35,1607884439565:13de004c-da06-4c97-901e-37f6d59cd8cd,1607884439565:f8c8c97e-1efa-4adc-bbb8-b7a4df7fb60f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
37,1607884439565:13de004c-da06-4c97-901e-37f6d59cd8cd,1607884439565:703bd7e0-dfb9-46e6-b336-49656fd7dc51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
38,1607884439565:13de004c-da06-4c97-901e-37f6d59cd8cd,1607884439565:703bd7e0-dfb9-46e6-b336-49656fd7dc51,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
40,1607884439564:fa98ce18-d516-4b75-9134-de08c2ea8efc,1607884439564:20a1e16e-9cfa-4f95-8927-d37b7d69a468,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
41,1607884439564:fa98ce18-d516-4b75-9134-de08c2ea8efc,1607884439564:20a1e16e-9cfa-4f95-8927-d37b7d69a468,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
43,1607884439564:fa98ce18-d516-4b75-9134-de08c2ea8efc,1607884439564:1dd5c2a6-24b3-48b1-814d-b0ad2fb71f64,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
46,1607884439564:937c9257-2a39-4310-b3a1-3023d0b22371,1607884439564:258571fb-4721-47fd-8a26-93dc2e404b27,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
47,1607884439564:937c9257-2a39-4310-b3a1-3023d0b22371,1607884439564:258571fb-4721-47fd-8a26-93dc2e404b27,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""EmptyObject""","clear == ""none""","calledMethod == ""pop""","size_p == ""0""",No
49,1607884439564:937c9257-2a39-4310-b3a1-3023d0b22371,1607884439564:150d958a-8a8e-4c22-8003-4b2c666e2d08,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
51,1607884439564:895d474c-7e4e-484c-90d0-c48a9f541645,1607884439564:be7a4337-843c-4915-b09e-adc14563a9ea,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""none""","pop == ""none""","clear == ""clear""","calledMethod == ""clear""","size_p == ""0""",No
52,1607884439564:895d474c-7e4e-484c-90d0-c48a9f541645,1607884439564:be7a4337-843c-4915-b09e-adc14563a9ea,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","calledMethod == ""push""","size_p == ""0""",Yes
