,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
1,1607950820680:fc2f84a2-e148-4ef3-9241-55adb7637674,1607950820680:10c48fe3-2877-4e78-af00-f325419cbf0b,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
2,1607950820680:fc2f84a2-e148-4ef3-9241-55adb7637674,1607950820680:10c48fe3-2877-4e78-af00-f325419cbf0b,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
4,1607950820680:d39b7e13-6ac4-4632-be41-b64258485d04,1607950820680:7c3f9fa0-4e73-4f7b-8f70-e62c63902ba8,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
5,1607950820680:d39b7e13-6ac4-4632-be41-b64258485d04,1607950820680:7c3f9fa0-4e73-4f7b-8f70-e62c63902ba8,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
7,1607950820679:f153544b-1f45-47d8-a2cf-4c4925f5d3b8,1607950820679:fdc3c74a-bbae-4a43-8efb-6d9af18a42b8,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
8,1607950820679:f153544b-1f45-47d8-a2cf-4c4925f5d3b8,1607950820679:fdc3c74a-bbae-4a43-8efb-6d9af18a42b8,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
10,1607950820679:f153544b-1f45-47d8-a2cf-4c4925f5d3b8,1607950820679:8274a986-0c21-493c-9469-2d0c049dc089,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
11,1607950820679:f153544b-1f45-47d8-a2cf-4c4925f5d3b8,1607950820679:8274a986-0c21-493c-9469-2d0c049dc089,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,push,Yes
13,1607950820679:d22640e6-6b17-4328-a189-83d5fbce692b,1607950820679:af76ab2a-bc0c-4bb2-ab1e-b45ee16f77e6,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
14,1607950820679:d22640e6-6b17-4328-a189-83d5fbce692b,1607950820679:af76ab2a-bc0c-4bb2-ab1e-b45ee16f77e6,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
16,1607950820679:6722a0d1-ab51-499a-99f7-176272078dbf,1607950820679:0479ce10-0669-4b24-8e6c-39caeca5d02a,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
17,1607950820679:6722a0d1-ab51-499a-99f7-176272078dbf,1607950820679:0479ce10-0669-4b24-8e6c-39caeca5d02a,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
19,1607950820679:5c251e11-74df-4359-949a-cbe3c641704d,1607950820679:abb17eec-2877-4829-80a5-4246d0cd8b4d,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
21,1607950820679:5c251e11-74df-4359-949a-cbe3c641704d,1607950820679:1e3228bd-73ba-4117-9d8c-d84fe04d44bf,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
22,1607950820679:5c251e11-74df-4359-949a-cbe3c641704d,1607950820679:1e3228bd-73ba-4117-9d8c-d84fe04d44bf,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
24,1607950820679:4ee0c9a0-1c1c-4de2-8ff4-74ddaadce1c0,1607950820679:ecce8f02-796e-46ce-aa12-c780a92d2b28,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
25,1607950820679:4ee0c9a0-1c1c-4de2-8ff4-74ddaadce1c0,1607950820679:ecce8f02-796e-46ce-aa12-c780a92d2b28,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,pop,Yes
27,1607950820679:4ee0c9a0-1c1c-4de2-8ff4-74ddaadce1c0,1607950820679:4d82cb9c-b867-4731-9eb3-c3b1db346f07,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,True,EmptyObject,FALSE,FALSE,FALSE,push,Yes
28,1607950820679:4ee0c9a0-1c1c-4de2-8ff4-74ddaadce1c0,1607950820679:4d82cb9c-b867-4731-9eb3-c3b1db346f07,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,True,class java.lang.String,TRUE,FALSE,FALSE,push,Yes
29,1607950820679:4ee0c9a0-1c1c-4de2-8ff4-74ddaadce1c0,1607950820679:4d82cb9c-b867-4731-9eb3-c3b1db346f07,3,True,class java.lang.String,TRUE,FALSE,FALSE,2,True,class java.lang.String,TRUE,FALSE,FALSE,push,Yes
