,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,diff
2,1607938096731:af781a89-9ab1-49b8-a283-89e95aa328ad,1607938096731:e8fa08d7-f907-4788-a47c-15cde001dff6,0,True,EmptyObject,none,none,clear,No
8,1607938096730:d04126c1-3148-456a-809e-d8f3534bcd87,1607938096730:c821494e-d617-4153-80b0-171102a4c7a2,0,True,EmptyObject,none,none,clear,No
10,1607938096730:b3f27d19-efbe-44aa-b119-d6efb98acfdf,1607938096730:36d6cc13-c374-4c8b-bdf7-ae6eb9b61c70,0,True,EmptyObject,none,none,clear,No
14,1607938096730:ab37ef62-bcf7-45db-9d27-baffb7772975,1607938096730:eeddc3a5-7d40-4285-94ef-7f67368e0256,0,True,EmptyObject,none,none,clear,No
17,1607938096730:7a566edf-229a-40ec-8117-294e517c42a9,1607938096730:b8b17be8-87c3-4ca2-b280-004434c068c0,0,True,EmptyObject,none,none,clear,No
30,1607938096728:c9c68b5c-2104-4652-be08-9bde05e61e30,1607938096728:72af9525-2a5d-4c4d-aa85-4645f760c9e8,0,True,EmptyObject,none,none,clear,No
32,1607938096728:c02b6914-81a1-469c-be30-68be8650f27a,1607938096728:a8af0d0a-1379-4a17-9cdb-49520795bac2,0,True,EmptyObject,none,none,clear,No
35,1607938096728:adae01f5-931a-4b71-ae8a-8b94035780d4,1607938096728:77811eb4-fb72-4f7c-af4a-a033c054f4f5,0,True,EmptyObject,none,none,clear,No
44,1607938096728:1e16030e-f745-462c-a129-4c993008c53b,1607938096728:57bcda2a-e226-46c2-86f2-d3351c70d7ce,0,True,EmptyObject,none,none,clear,No
46,1607938096727:f2052c9e-927b-455e-9e4b-2893883e5ec1,1607938096727:c63614da-6b30-4fdd-8cd8-ae873f45f92f,0,True,EmptyObject,none,none,clear,No
49,1607938096727:89388f8e-55d3-4fd3-a6ab-87f66cdfe9cf,1607938096727:059c3632-77d9-4c1b-8a30-064e403f38aa,0,True,EmptyObject,none,none,clear,No
60,1607938096726:c0222265-342e-478c-83fd-7b33d8acf8d5,1607938096726:ee7803d3-fca2-4824-b5c2-744c498a212d,0,True,EmptyObject,none,none,clear,No
67,1607938096726:3a7874e7-b18a-44c8-890c-2f834022bb57,1607938096726:1b380379-074b-4687-b6bd-9338f5df707d,0,True,EmptyObject,none,none,clear,No
