,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607884796965:44220aca-5a41-48fa-be36-18b8526a8fbd,1607884796965:401e535f-5246-48d2-8e30-77fb38f3337d,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
2,1607884796965:44220aca-5a41-48fa-be36-18b8526a8fbd,1607884796965:401e535f-5246-48d2-8e30-77fb38f3337d,0,True,EmptyObject,none,EmptyObject,none,0,No
4,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:416fc1be-77eb-4343-9197-457916e1fec2,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
5,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:416fc1be-77eb-4343-9197-457916e1fec2,0,True,EmptyObject,none,EmptyObject,none,0,No
7,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:306dc860-38ed-4fb0-8e52-9108d8bdf1ad,0,True,EmptyObject,none,none,clear,0,No
8,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:306dc860-38ed-4fb0-8e52-9108d8bdf1ad,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
9,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:306dc860-38ed-4fb0-8e52-9108d8bdf1ad,0,True,EmptyObject,none,none,clear,0,No
10,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:306dc860-38ed-4fb0-8e52-9108d8bdf1ad,0,True,EmptyObject,none,none,clear,0,No
11,1607884796964:df740644-1c99-4dbd-99bd-4c9d8e12c53f,1607884796964:306dc860-38ed-4fb0-8e52-9108d8bdf1ad,0,True,EmptyObject,none,none,clear,0,No
13,1607884796964:bc063ca5-003e-414c-a0fd-098069e15a94,1607884796964:73d49b91-3091-42a0-804f-06d95e400386,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
14,1607884796964:bc063ca5-003e-414c-a0fd-098069e15a94,1607884796964:73d49b91-3091-42a0-804f-06d95e400386,0,True,EmptyObject,none,EmptyObject,none,0,No
16,1607884796964:bc063ca5-003e-414c-a0fd-098069e15a94,1607884796964:70b4755c-6c4e-4653-98fa-6da6c16e279f,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
17,1607884796964:bc063ca5-003e-414c-a0fd-098069e15a94,1607884796964:70b4755c-6c4e-4653-98fa-6da6c16e279f,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
19,1607884796964:9deb2cd7-eb19-4a18-9e50-9db99095cf3d,1607884796964:2ba59264-4313-4391-ab04-ffec0e041688,0,True,EmptyObject,class java.lang.String,none,none,0,Yes
