,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:d7fde635-b12f-458a-a4bf-fc59300c9a00,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
2,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:d7fde635-b12f-458a-a4bf-fc59300c9a00,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
4,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
5,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
6,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
7,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
8,1607900477029:b08f5656-55df-4423-891a-b9023b8c695e,1607900477029:9e5f2d4b-4b54-4234-8846-428c385e7b41,1,True,class java.lang.String,FALSE,FALSE,TRUE,1,Yes
10,1607900477029:8579660c-af4d-4caa-80e7-dac17f36d997,1607900477029:afad0ef1-d510-4833-b157-cea3bcafe4be,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
11,1607900477029:8579660c-af4d-4caa-80e7-dac17f36d997,1607900477029:afad0ef1-d510-4833-b157-cea3bcafe4be,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
13,1607900477029:81800c1b-6518-4d45-8a35-64c2e935a15a,1607900477029:460c2f8d-f7ea-49ed-ad7b-a62355360ab9,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
14,1607900477029:81800c1b-6518-4d45-8a35-64c2e935a15a,1607900477029:460c2f8d-f7ea-49ed-ad7b-a62355360ab9,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
16,1607900477029:7a5856cc-ccbd-4e94-9300-ec9e84ce67f7,1607900477029:f3838b71-0b9c-4333-92ed-713d137042c1,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
17,1607900477029:7a5856cc-ccbd-4e94-9300-ec9e84ce67f7,1607900477029:f3838b71-0b9c-4333-92ed-713d137042c1,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
19,1607900477029:7a5856cc-ccbd-4e94-9300-ec9e84ce67f7,1607900477029:1046850e-1b5b-46b5-85eb-9cb5e3ca9955,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
20,1607900477029:7a5856cc-ccbd-4e94-9300-ec9e84ce67f7,1607900477029:1046850e-1b5b-46b5-85eb-9cb5e3ca9955,2,True,class java.lang.String,TRUE,FALSE,FALSE,1,Yes
22,1607900477029:4f614604-62a8-4404-a4a2-dc32a22b1324,1607900477029:eb3bb0a2-24e3-4ff9-bc05-8ee24b724cbd,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
24,1607900477029:4f614604-62a8-4404-a4a2-dc32a22b1324,1607900477029:2fc33fa5-17b9-4561-8317-a93950939905,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
25,1607900477029:4f614604-62a8-4404-a4a2-dc32a22b1324,1607900477029:2fc33fa5-17b9-4561-8317-a93950939905,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
27,1607900477029:33e76b60-4d41-4262-b3bb-f66860fc9044,1607900477029:b191ef7b-1cac-4e7a-904b-38599053fc40,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
28,1607900477029:33e76b60-4d41-4262-b3bb-f66860fc9044,1607900477029:b191ef7b-1cac-4e7a-904b-38599053fc40,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
30,1607900477029:2d4c8dbf-1b86-4797-8a63-1bc53aceee6e,1607900477029:ee08168f-70b4-449a-adc7-f129d119e1d0,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
31,1607900477029:2d4c8dbf-1b86-4797-8a63-1bc53aceee6e,1607900477029:ee08168f-70b4-449a-adc7-f129d119e1d0,1,True,class java.lang.String,FALSE,TRUE,FALSE,1,Yes
33,1607900477028:e43dfa56-1f42-4fef-be7f-d978ceaf4982,1607900477028:623d3947-6957-4a74-9b52-9d8d553b692c,0,True,EmptyObject,FALSE,FALSE,TRUE,0,No
34,1607900477028:e43dfa56-1f42-4fef-be7f-d978ceaf4982,1607900477028:623d3947-6957-4a74-9b52-9d8d553b692c,1,True,class java.lang.String,TRUE,FALSE,FALSE,0,Yes
