,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
1,1607884350713:eefbd0af-080c-4c89-9513-5de5eb99366a,1607884350713:b0667cdf-6e7d-4349-8a30-5e533509ea80,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
2,1607884350713:eefbd0af-080c-4c89-9513-5de5eb99366a,1607884350713:b0667cdf-6e7d-4349-8a30-5e533509ea80,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
4,1607884350713:eefbd0af-080c-4c89-9513-5de5eb99366a,1607884350713:a064627c-a005-4dc2-9e3e-ac5eb8fbdeaf,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
5,1607884350713:eefbd0af-080c-4c89-9513-5de5eb99366a,1607884350713:a064627c-a005-4dc2-9e3e-ac5eb8fbdeaf,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
7,1607884350713:d7e1d8dc-d147-4ab8-9f3f-3464ee9e599d,1607884350713:26321b2e-6ea1-407a-97c9-748e9748ca0e,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
8,1607884350713:d7e1d8dc-d147-4ab8-9f3f-3464ee9e599d,1607884350713:26321b2e-6ea1-407a-97c9-748e9748ca0e,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
10,1607884350713:c70b7896-db74-4755-82ca-d8c75593afb8,1607884350713:ed01a022-2ef2-49e3-8cbf-b96afbc0ea8b,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
11,1607884350713:c70b7896-db74-4755-82ca-d8c75593afb8,1607884350713:ed01a022-2ef2-49e3-8cbf-b96afbc0ea8b,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
13,1607884350713:b9053cb9-11d5-4318-9b58-dd4b1dc17a90,1607884350713:2b9da65c-fd2e-4a47-8dd5-df5f9e3eeadc,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
14,1607884350713:b9053cb9-11d5-4318-9b58-dd4b1dc17a90,1607884350713:2b9da65c-fd2e-4a47-8dd5-df5f9e3eeadc,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
16,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:ccfabc7f-77c6-4bf5-b4f1-9cb6aa3d6c46,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
17,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:ccfabc7f-77c6-4bf5-b4f1-9cb6aa3d6c46,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
19,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:75ff7b25-5d45-427f-a8cb-b2063f183532,0,True,EmptyObject,none,none,clear,clear,0,No
20,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:75ff7b25-5d45-427f-a8cb-b2063f183532,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
21,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:75ff7b25-5d45-427f-a8cb-b2063f183532,0,True,EmptyObject,none,none,clear,clear,0,No
22,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:75ff7b25-5d45-427f-a8cb-b2063f183532,0,True,EmptyObject,none,none,clear,clear,0,No
23,1607884350713:9b26bf1a-0906-419e-ae68-6513140a454b,1607884350713:75ff7b25-5d45-427f-a8cb-b2063f183532,0,True,EmptyObject,none,none,clear,clear,0,No
25,1607884350713:66bd82e2-11f7-4b7b-a30c-cb378ef9f1e9,1607884350713:53ab096f-0504-4d48-a2eb-57b36a4b3412,0,True,EmptyObject,class java.lang.String,none,none,push,0,Yes
26,1607884350713:66bd82e2-11f7-4b7b-a30c-cb378ef9f1e9,1607884350713:53ab096f-0504-4d48-a2eb-57b36a4b3412,0,True,EmptyObject,none,EmptyObject,none,pop,0,No
