,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,calledMethod,size_p,diff
5,1607937229936:292be2f6-d4b0-473c-a96b-5defc574f20a,1607937229936:13c437ee-f3e0-40e6-8eec-10ba6e8e7ebf,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
10,1607937229936:0ba0f513-a950-411b-a4e6-5c692fe35ed2,1607937229936:ede4b51b-d96d-457b-afd8-dc885876704c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
12,1607937229935:e8b38ce8-5d63-4682-bf84-8538d730c089,1607937229935:9d0c136a-e1d6-4953-b2a9-671d5aeadba0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
19,1607937229935:84f8a098-cf1a-4a26-9bf0-41699797f861,1607937229935:3b138269-bcbf-44ae-bb1f-e6cc7c7a7fac,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
21,1607937229935:7d0b9ac7-2021-43b6-b4a6-f7701730d985,1607937229935:4af0ef85-4492-4eb3-8e1a-e05e0db70e4d,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
37,1607937229933:cf5264c5-fbc8-4c48-9be0-fba0c659b0e3,1607937229933:8b0a7908-20c5-4441-9c52-177d85fc3dd3,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
39,1607937229933:c2720515-bdc7-4c1a-981e-b9df04b7cde5,1607937229933:64ead10b-c983-49fe-b02c-a67970c78874,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
43,1607937229933:7f65c2f9-d03e-4beb-b91a-7b9f4c43639e,1607937229933:40c8873f-c433-42d2-9d12-1eb57a3cfb99,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
46,1607937229933:066d6d78-54e8-45bf-8896-785771f3f751,1607937229933:1b074f85-6843-4447-846d-44bb7bd7a2ce,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
51,1607937229932:42f3c591-142b-4e37-b02a-23bddbc51707,1607937229932:5a12d66f-50b7-4720-af73-168c44e8dc01,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
53,1607937229932:3da65ddf-053d-4f1a-b24f-da83255638f6,1607937229932:c767dab2-803e-43eb-8c52-3d93403252bd,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
66,1607937229930:b4040416-b05e-4c42-99bb-c2e95bdf48c6,1607937229930:b8e41f10-813f-41b3-8ae1-a9ec99e1fad0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
68,1607937229930:b3b398cc-202d-4cc9-afd6-cd8e98115705,1607937229930:fcc4ee4d-03e8-414c-8b16-54842a41cce0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
74,1607937229930:403dfb72-605b-4cca-8826-1d5f43c80699,1607937229930:17764b5e-ff2f-46e4-82e3-473835138b26,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
80,1607937229929:ca8a861d-4c0e-4245-b37c-cd2c0378f496,1607937229929:d6e2ca3d-a664-40a5-baea-60e4c13e1d71,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
86,1607937229929:7403a886-bfe1-4ce0-bdc7-b5e99fb321ab,1607937229929:d8e3bca4-103e-4107-8be2-99d71ce5fb26,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
96,1607937229928:8c5d7b1e-3478-45e0-946d-79034fdf4398,1607937229928:d3b54d53-ed7b-4cd0-bd33-58063960d7fb,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
107,1607937229927:e9ddca29-4dea-4ab1-9902-ecbd96cd19aa,1607937229927:a3d633a4-7583-42ed-89f2-1e9cd79e8f0c,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
109,1607937229927:b0dc0672-c677-4a5a-80c9-23d230c2e3ff,1607937229927:45523bbe-10e3-4af2-a41c-3d58875e7af2,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
114,1607937229927:83d41b0f-072b-422b-8a28-74c8e125dba2,1607937229927:09e2ed71-406b-42ca-bd0d-2bf225995fdb,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
122,1607937229926:f062e24f-a7ae-4d2c-a6cb-26332111f1de,1607937229926:03442b5e-9111-41c6-8fec-e4937d5f4f67,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
124,1607937229926:c9e5962b-39c6-427d-ab16-990fe8b37dcb,1607937229926:9cf67e18-8d73-4123-b732-b9071aa7c6e0,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
126,1607937229926:bc17d79e-a636-424b-9f4a-0f311ca467a7,1607937229926:669a5f1e-ba92-4b57-9a6b-e5a3596b9ed6,0,True,EmptyObject,FALSE,FALSE,TRUE,clear,0,No
