,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607884743194:70895ddf-756c-4226-8f9c-bd5dc511cee0,1607884743194:d796584e-8a7b-4afa-a735-49ca3baff5c4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
4,1607884743194:1d120d06-b16f-4435-b8c4-8b8f04b91172,1607884743194:7acab524-0161-4f7e-920d-8cafaebf2099,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
8,1607884743193:fa7e693a-b7ff-43ae-9f10-108b63a34c30,1607884743193:edeb5dd7-8f48-4d82-af0e-e35ef146fcb8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
13,1607884743193:fa7e693a-b7ff-43ae-9f10-108b63a34c30,1607884743193:5ea5cd24-23ab-403e-8612-a79af615263f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
16,1607884743193:d25c52ba-0e87-4788-b115-bcdcd778d0fd,1607884743193:ceb51fce-903b-4332-bcf3-d13514ff88c4,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
19,1607884743193:d25c52ba-0e87-4788-b115-bcdcd778d0fd,1607884743193:c4d23584-526c-4eaf-a260-b486b9acd526,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
21,1607884743193:bc23bcc1-1b52-4c1d-9604-fa3383b1300e,1607884743193:207597ab-22c4-40d0-be7f-8cc30abad7b3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
24,1607884743193:91702d8e-8663-4b2e-801a-d4a6d178c893,1607884743193:db7d802f-3599-4296-a61c-0c39730e7e8e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
27,1607884743193:91702d8e-8663-4b2e-801a-d4a6d178c893,1607884743193:3ba4c63f-2144-4aa8-92ff-af132ec3440d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
28,1607884743193:91702d8e-8663-4b2e-801a-d4a6d178c893,1607884743193:3ba4c63f-2144-4aa8-92ff-af132ec3440d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
30,1607884743192:e6bfcab8-2c12-48bd-844e-7186e734cf0f,1607884743192:79f4978f-2f38-4ba1-bb95-2751c9fdf78b,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
34,1607884743192:e6bfcab8-2c12-48bd-844e-7186e734cf0f,1607884743192:6330d49e-72c7-4941-9878-97dc3ab882de,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
39,1607884743192:e139d1fc-7b87-4d96-bb69-1c80368db909,1607884743192:7e6d0c3a-64e9-42e0-9707-dd5b3159b576,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
43,1607884743192:e139d1fc-7b87-4d96-bb69-1c80368db909,1607884743192:5ff7cbc5-3d7e-4023-84bd-eeed8dab7aea,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
48,1607884743192:bd6e39b9-1674-4190-80d7-bd619b28f495,1607884743192:d521a361-f5b9-43e4-a52e-dd90279943b3,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
51,1607884743192:bd6e39b9-1674-4190-80d7-bd619b28f495,1607884743192:42f6e169-ed6b-44a4-8a4f-1a5347da19d2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
52,1607884743192:bd6e39b9-1674-4190-80d7-bd619b28f495,1607884743192:42f6e169-ed6b-44a4-8a4f-1a5347da19d2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
53,1607884743192:bd6e39b9-1674-4190-80d7-bd619b28f495,1607884743192:42f6e169-ed6b-44a4-8a4f-1a5347da19d2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
55,1607884743192:b3e25a03-3861-4759-aa8d-d9e560b7f89f,1607884743192:70739923-acb8-49e7-8b33-65005732f8f7,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
58,1607884743192:1030e774-5648-4559-8fe3-36c310a87706,1607884743192:63510efd-b824-476b-806e-0e3745f0682d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
62,1607884743191:fcac4196-fd84-4386-8988-cdbd17acc30c,1607884743191:90a356d3-4754-4c2d-9749-11ac7d773e70,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
66,1607884743191:5dd1cf5b-b6ba-4a53-a93f-f111d32dc6b1,1607884743191:9007a9b0-dc4e-4cbc-84d9-2f10a3570996,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
71,1607884743191:5dd1cf5b-b6ba-4a53-a93f-f111d32dc6b1,1607884743191:191523ac-c732-4505-bd1a-f9353925d8d6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
74,1607884743191:4f1fd003-a6d0-4eca-b8d3-b0039043f043,1607884743191:bbeaff7a-66e8-4436-8346-bed0cf75e1c5,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
77,1607884743191:47692cd8-996b-476c-b363-84b590ff8256,1607884743191:c50b2d6c-4aae-44fe-b7a6-35a6da67db2f,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
80,1607884743191:47692cd8-996b-476c-b363-84b590ff8256,1607884743191:5e9faaf4-5e60-4afa-94a7-615bb0c58fad,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
83,1607884743191:10551062-1ba1-445d-9183-6ab112fa3d84,1607884743191:5f06a57e-39c0-4821-ab0f-69703fa22579,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
86,1607884743191:10551062-1ba1-445d-9183-6ab112fa3d84,1607884743191:2790c4a7-1306-4792-97b1-a60db8a98385,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
88,1607884743190:fde6303e-57be-4168-8596-9c774606c029,1607884743190:a25b15b6-28c8-4d53-93f0-548600368c67,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
91,1607884743190:fde6303e-57be-4168-8596-9c774606c029,1607884743190:6cb3658b-2f1e-4bc1-b7f6-01a4575edec9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
93,1607884743190:d949226a-ee07-4b53-baa8-55d965465610,1607884743190:4e8a8665-eddf-460a-aa49-bc3b05035645,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
96,1607884743190:7aa65fbf-4fb1-40ac-abba-c72d0e699d5a,1607884743190:609184da-9e88-4512-8011-49e334bbfd7e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
97,1607884743190:7aa65fbf-4fb1-40ac-abba-c72d0e699d5a,1607884743190:609184da-9e88-4512-8011-49e334bbfd7e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
99,1607884743190:7aa65fbf-4fb1-40ac-abba-c72d0e699d5a,1607884743190:0562e6ff-3a6b-4495-a13f-e71867f510b6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
102,1607884743190:77b0e00e-57fe-4f0e-bc15-94c9da8aa920,1607884743190:a519624b-6b96-43c2-9358-855b08b2a278,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
104,1607884743190:77b0e00e-57fe-4f0e-bc15-94c9da8aa920,1607884743190:974f6e78-79b1-489a-98fa-c9ded02b13f6,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
108,1607884743190:246fb82f-f613-4a3d-b316-410a458ef236,1607884743190:f7a47c06-7a14-4ef5-8640-bc6aeea7565d,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
111,1607884743190:246fb82f-f613-4a3d-b316-410a458ef236,1607884743190:01c89631-2969-4762-aee0-70ed947159e9,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
113,1607884743189:8237ef72-25af-4b25-8855-c73e3e09b242,1607884743189:8fc59e7a-b189-4847-988c-f26de64ebed8,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
117,1607884743188:c49447e0-4975-4229-980a-6588f2add12a,1607884743188:fd70e6d4-782a-406d-89ab-8025f8ce77d2,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
122,1607884743188:c49447e0-4975-4229-980a-6588f2add12a,1607884743188:56563f2c-2beb-4ab4-850c-52accebf051e,"size == ""0""","isEmpty == ""True""","peek_obj_type == ""EmptyObject""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes
