,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f
7,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
9,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
10,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
11,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""4""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
41,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000028:57e25a9a-7a0a-4141-91c9-3b0b00036e3d,1607896000028:95345a51-3a99-44bd-afdd-75822d58b24f
42,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000028:57e25a9a-7a0a-4141-91c9-3b0b00036e3d,1607896000028:95345a51-3a99-44bd-afdd-75822d58b24f
83,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""",Yes,1607896000027:6ac0d1fe-0ce7-48f4-8a38-b5f06f92a834,1607896000027:a625fd66-773e-4cc2-8ed9-1378f5209ba7
