,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
1,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607900029652:fbc25b04-2ad1-4d3d-ba48-0a5f87391a40,1607900029652:3ed7efa6-98a9-4031-9ff5-10f5e4189364
2,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607900029652:fbc25b04-2ad1-4d3d-ba48-0a5f87391a40,1607900029652:3ed7efa6-98a9-4031-9ff5-10f5e4189364
11,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148
12,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148
13,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",Yes,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148
28,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607900029651:0b0054e0-f81a-4ecf-bb96-364e99cdd3bc,1607900029651:57ee05fb-dd65-42d7-a95f-df95324cd4b1
35,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607900029650:eb6aaa95-aefe-426c-a204-636070d0203d,1607900029650:cd1498a9-fc43-4158-a3ce-023e3221444d
238,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""4""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607900029641:149a47ed-de80-4b5a-b99f-06c98aa3d2fb,1607900029641:174000da-84f5-438f-a579-2a89c2187d49
621,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""4""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607900029627:53e6414f-a951-482b-9ee8-80fe6b7a1494,1607900029627:16a84005-9345-4f51-ace7-9c1280e654e7
1156,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""class java.lang.String""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607900029606:078ac3d9-991e-4834-b700-e95be44273a4,1607900029606:62f2fac9-6449-4849-9734-3f5906ded84c
1157,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607900029606:078ac3d9-991e-4834-b700-e95be44273a4,1607900029606:62f2fac9-6449-4849-9734-3f5906ded84c
1344,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607900029596:b0d1b79b-f99d-487d-8b43-8d224fddcd96,1607900029596:9b89a828-6ca6-4e06-b879-eeac189a6dc3
2457,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",Yes,1607900029547:1768d974-d667-4a8c-b7c5-a678f834316b,1607900029547:c7bd431c-0051-4c0e-8fa0-3c9d69474e26
9314,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""4""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""pop""",Yes,1607900029169:2d818217-7f4d-4087-9c64-789e596b7208,1607900029169:c14bcaaa-5434-4887-9c60-2461d397e711
