,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
2,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
3,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","push_p == ""class java.lang.Class""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""pop""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
4,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""class java.lang.String""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:f5de312c-faa5-4a37-a3ac-8b49390ef29e
8,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""class java.lang.Float""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""push""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
9,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Integer""","push_p == ""class java.lang.Integer""","pop_p == ""none""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
10,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""clear""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
11,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""","size_p == ""5""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b7d79755-07a0-47f4-8e4b-54f0e1fe811e
15,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""none""","pop_p == ""EmptyObject""","clear_p == ""none""","calledMethod == ""clear""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
16,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","push_p == ""none""","pop_p == ""none""","clear_p == ""clear""","calledMethod == ""push""",Yes,1607947981560:f40afd6c-436f-470b-838c-1f17a3a5da4a,1607947981560:b17e50e5-da1a-436a-b66b-6240ced9e9a1
