,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff,testId,instanceId
2,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c39634ed-24e3-4b32-b6a2-67babce6ff9e
4,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
5,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
7,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
8,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
9,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
10,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
17,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Boolean""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
18,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
19,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","push_p == ""False""","pop_p == ""True""","clear_p == ""False""","calledMethod == ""pop""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
