,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId
1,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
3,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
4,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
5,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
6,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
7,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
8,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6
22,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:a8a41c60-7473-440c-93cf-fd7d1d3faa5e
36,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b
37,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b
