,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f
2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f
7,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""0""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
9,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""2""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
10,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""3""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
11,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""4""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666
42,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""2""",Yes,1607896000028:57e25a9a-7a0a-4141-91c9-3b0b00036e3d,1607896000028:95345a51-3a99-44bd-afdd-75822d58b24f
83,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""2""",Yes,1607896000027:6ac0d1fe-0ce7-48f4-8a38-b5f06f92a834,1607896000027:a625fd66-773e-4cc2-8ed9-1378f5209ba7
250,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""3""",Yes,1607896000021:31839a41-3cb8-4f2b-bc0c-0f518c831adb,1607896000021:7299a7b6-3ef2-4cf2-b96e-6b7c35da7a7f
262,"size == ""6""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""5""",Yes,1607896000021:04e76dd2-62d6-4fea-b5c3-c5b0d2977630,1607896000021:4419e480-8fd0-4f0d-9832-95ce109db270
964,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes,1607895999993:ecb5fc74-c363-405d-8b98-efb20319b2ac,1607895999993:4a57fd26-2968-4a3c-b659-d75d2697289f
1370,"size == ""7""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""6""",Yes,1607895999977:602340b3-8fe4-474a-985f-e31d7937e70f,1607895999977:807dc4ab-5830-4b96-a6af-dc403aadcb87
1371,"size == ""8""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""7""",Yes,1607895999977:602340b3-8fe4-474a-985f-e31d7937e70f,1607895999977:807dc4ab-5830-4b96-a6af-dc403aadcb87
1372,"size == ""8""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""8""",Yes,1607895999977:602340b3-8fe4-474a-985f-e31d7937e70f,1607895999977:807dc4ab-5830-4b96-a6af-dc403aadcb87
4861,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""4""",Yes,1607895999814:fb805118-721f-42fd-a8a1-b5c6167b797a,1607895999814:2b76531b-739b-4774-b691-af82df899030
9947,"size == ""7""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""7""",Yes,1607895999489:7be15736-c027-4a04-a925-99b250b8ff99,1607895999489:07549ebd-40f0-40d0-90c0-0e69932c1064
10147,"size == ""6""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""6""",Yes,1607895999462:aada8dbc-0760-432a-a698-3265e17d5b23,1607895999462:494c26f4-462e-4172-9835-5224fd99327d
