,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
12,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
13,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""1""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
15,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
16,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
17,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
19,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
20,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""5""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
21,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""5""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
22,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:3ac1f7ba-105d-4d4e-b57c-1abf5b581f94
31,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607893902384:d4091851-5a87-4d3a-813d-b6e61ccfd7e2,1607893902384:0804ceb5-308c-4b57-a6c9-cf5b4de6ae87
