,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
5,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:c9f1c12d-9bc6-480f-aaa6-76bc3b1967fe
14,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:b27a6dbe-94ea-454c-9faa-2c42c353d800
15,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:b27a6dbe-94ea-454c-9faa-2c42c353d800
28,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:71b5a43c-3f54-432f-88d8-fba150403a69
34,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:305f703f-8bd4-489a-acb6-bba6c334b0f9
35,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:305f703f-8bd4-489a-acb6-bba6c334b0f9
39,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:234a812d-59bd-4d50-93c7-706dae9da852
40,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:234a812d-59bd-4d50-93c7-706dae9da852
49,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326321:c8434e5d-5541-44b1-ab85-c42d7a37a8ce,1607946326321:00c832b0-79d2-4000-87c0-975c80b902e7
90,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""3""",Yes,1607946326321:3fc27a6c-9676-4774-a99c-c0faf64d4891,1607946326321:902b71dc-49f9-4710-adfc-b783317c17f2
92,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326321:3fc27a6c-9676-4774-a99c-c0faf64d4891,1607946326321:902b71dc-49f9-4710-adfc-b783317c17f2
93,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607946326321:3fc27a6c-9676-4774-a99c-c0faf64d4891,1607946326321:902b71dc-49f9-4710-adfc-b783317c17f2
164,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326320:1b4ee07d-e9dd-4736-b156-5148a5f0e69b,1607946326320:a7e4004c-256d-4609-b8ab-440246789aa5
165,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326320:1b4ee07d-e9dd-4736-b156-5148a5f0e69b,1607946326320:a7e4004c-256d-4609-b8ab-440246789aa5
184,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326320:1b4ee07d-e9dd-4736-b156-5148a5f0e69b,1607946326320:1390a5de-db7d-4a73-851c-1869606c4415
208,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""1""",Yes,1607946326319:ffe3699f-f335-4498-8211-1637b8c257c7,1607946326319:2bbb4d50-c854-4947-a970-4306b8edcfb4
209,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""",Yes,1607946326319:ffe3699f-f335-4498-8211-1637b8c257c7,1607946326319:2bbb4d50-c854-4947-a970-4306b8edcfb4
235,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326319:ca8e1c77-9820-4c29-95ef-0ad09f8c256f,1607946326319:d5d34c6a-5f47-4104-9af1-85228822bed6
236,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607946326319:ca8e1c77-9820-4c29-95ef-0ad09f8c256f,1607946326319:d5d34c6a-5f47-4104-9af1-85228822bed6
237,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326319:ca8e1c77-9820-4c29-95ef-0ad09f8c256f,1607946326319:d5d34c6a-5f47-4104-9af1-85228822bed6
240,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326319:ca8e1c77-9820-4c29-95ef-0ad09f8c256f,1607946326319:d5d34c6a-5f47-4104-9af1-85228822bed6
315,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607946326318:a78a8581-2e58-4105-9c7c-a01c4f788496,1607946326318:9480503a-8b62-473c-9d06-dcf1d656ad5e
338,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607946326318:a78a8581-2e58-4105-9c7c-a01c4f788496,1607946326318:6d91a5bc-69d3-42f0-ac92-6c6f907bae41
339,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326318:a78a8581-2e58-4105-9c7c-a01c4f788496,1607946326318:6d91a5bc-69d3-42f0-ac92-6c6f907bae41
500,"size == ""1""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""1""",Yes,1607946326317:469438f2-83ff-4d69-a650-b49346d3d085,1607946326317:1af65ac8-2377-4e11-80d7-bf6a80e3f488
541,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326316:78ffe622-ce2a-4b75-b404-c04a41544c4b,1607946326317:7d0eab87-4fef-4c09-9842-548745337ab3
546,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326316:78ffe622-ce2a-4b75-b404-c04a41544c4b,1607946326317:7be0f3ea-ae18-4176-9c49-7e10129e318b
560,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""4""",Yes,1607946326316:78ffe622-ce2a-4b75-b404-c04a41544c4b,1607946326316:d86b4bb1-dfe6-4197-a079-dc05f02da723
582,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
583,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""3""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
584,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""4""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
585,"size == ""6""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""5""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ebcc454e-23f5-485d-a5a7-4e314ba2728f
611,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""2""",Yes,1607946326316:418b546d-e5cd-40d9-9c10-8663a4fcccca,1607946326316:ba5cc764-4d71-448a-a051-3f3caecae2df
