,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff,testId,instanceId
2,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c39634ed-24e3-4b32-b6a2-67babce6ff9e
4,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
5,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
7,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
8,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
9,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
10,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:c19200d3-9943-4f9a-b4a8-e0f5017c2f6d
17,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
18,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
20,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
21,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
23,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:734b3550-0e8a-4490-8dfd-3a08d3cf7310
28,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687722:f7c777c3-8f7d-4a24-9b75-3d52cc2ea9e4,1607893687722:68fbf89a-83bb-4bb7-9c77-e9c84cd14814
54,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687721:76a7bb82-f356-4348-9c4c-b64bf41a0c1e,1607893687721:3c1c0296-ba11-4fbb-8df6-090e9bb4d236
55,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687721:76a7bb82-f356-4348-9c4c-b64bf41a0c1e,1607893687721:3c1c0296-ba11-4fbb-8df6-090e9bb4d236
82,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:fe48056e-eec9-4786-95e3-31ba4ec7cc64
83,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:fe48056e-eec9-4786-95e3-31ba4ec7cc64
86,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:f9948558-f373-47ed-9383-45f0cb4010bc
100,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:5b305760-c8f6-4c1a-8c25-247309edd21f
106,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687721:346dabed-b179-4c82-8f86-d66f9f8cf698,1607893687721:52350e89-308d-455b-a1ee-1040eacfb1ee
142,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""102""",Yes,1607893687720:7ca550f3-666e-452a-b191-e6cdde47f8f9,1607893687720:c5ed6609-85fb-449b-85e2-a30be9a9c720
167,"size == ""103""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""103""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:d113ee30-ae21-4ea1-b2e1-bf5faab72ca0
182,"size == ""101""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""101""",Yes,1607893687720:00756e20-d2bd-4360-b71a-210c6f78233f,1607893687720:4cda0794-e54f-495e-9b81-9ea67a0162ff
203,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""101""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
204,"size == ""102""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""102""",Yes,1607893687719:f59a58a9-f182-4bec-9ed5-444ac697534c,1607893687719:e2a834de-5dcc-4bf3-bea0-90d47d1a7f96
300,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""103""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
301,"size == ""104""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""104""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
302,"size == ""105""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""104""",Yes,1607893687719:0e0dbde9-5056-4ebe-bf5a-8d9271b10d43,1607893687719:42704870-e7ad-4983-87cb-36abbbb9d59a
