,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('peek_obj_type == ""EmptyObject""',)",1,"('push == ""none""',)",1,1.0,0.393818781073683,2.2173226395813335,549005642.142897
1,"('clear == ""clear""', 'isEmpty == ""True""')",2,"('pop == ""none""', 'push == ""none""', 'size == ""0""')",3,1.0,0.22893972403776325,4.367961934972245,771060275.9622366
2,"('clear == ""clear""',)",1,"('isEmpty == ""True""', 'pop == ""none""', 'push == ""none""', 'size == ""0""')",4,1.0,0.22893972403776325,4.367961934972245,771060275.9622366
3,"('isEmpty == ""True""', 'pop == ""none""', 'push == ""none""', 'size == ""0""')",4,"('clear == ""clear""',)",1,1.0,0.22893972403776325,4.367961934972245,771060275.9622366
4,"('clear == ""clear""', 'pop == ""none""', 'push == ""none""', 'size == ""0""')",4,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
5,"('clear == ""clear""', 'isEmpty == ""True""', 'push == ""none""', 'size == ""0""')",4,"('pop == ""none""',)",1,1.0,0.22893972403776325,1.2854373115036621,222054633.81933963
6,"('clear == ""clear""', 'isEmpty == ""True""', 'pop == ""none""', 'size == ""0""')",4,"('push == ""none""',)",1,1.0,0.22893972403776325,2.2173226395813335,549005642.142897
7,"('clear == ""clear""', 'isEmpty == ""True""', 'pop == ""none""', 'push == ""none""')",4,"('size == ""0""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
8,"('pop == ""none""', 'push == ""none""', 'size == ""0""')",3,"('clear == ""clear""', 'isEmpty == ""True""')",2,1.0,0.22893972403776325,4.367961934972245,771060275.9622366
9,"('isEmpty == ""True""', 'pop == ""none""', 'size == ""0""')",3,"('clear == ""clear""', 'push == ""none""')",2,1.0,0.22893972403776325,4.367961934972245,771060275.9622366
10,"('isEmpty == ""False""', 'size == ""1""', 'size_p == ""0""')",3,"('clear == ""none""',)",1,1.0,0.3684710351377018,1.2969154697433483,228939724.0377633
11,"('clear == ""none""', 'size == ""1""', 'size_p == ""0""')",3,"('isEmpty == ""False""',)",1,1.0,0.3684710351377018,1.6496716968091234,393818781.073683
12,"('clear == ""none""', 'isEmpty == ""False""', 'size_p == ""0""')",3,"('size == ""1""',)",1,1.0,0.3684710351377018,2.450513347022587,591922238.9810625
13,"('size == ""1""', 'size_p == ""0""')",2,"('clear == ""none""', 'isEmpty == ""False""')",2,1.0,0.3684710351377018,1.6496716968091234,393818781.073683
14,"('isEmpty == ""False""', 'size_p == ""0""')",2,"('clear == ""none""', 'size == ""1""')",2,1.0,0.3684710351377018,2.450513347022587,591922238.9810625
15,"('pop == ""none""', 'push == ""none""', 'size == ""0""')",3,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
16,"('peek_obj_type == ""EmptyObject""', 'pop == ""none""', 'size == ""0""')",3,"('push == ""none""',)",1,1.0,0.22893972403776325,2.2173226395813335,549005642.142897
17,"('peek_obj_type == ""EmptyObject""', 'pop == ""none""', 'push == ""none""')",3,"('size == ""0""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
18,"('pop == ""none""', 'size == ""0""')",2,"('peek_obj_type == ""EmptyObject""', 'push == ""none""')",2,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
19,"('isEmpty == ""False""', 'pop == ""none""', 'size == ""1""')",3,"('clear == ""none""',)",1,1.0,0.3684710351377018,1.2969154697433483,228939724.0377633
20,"('clear == ""none""', 'pop == ""none""', 'size == ""1""')",3,"('isEmpty == ""False""',)",1,1.0,0.3684710351377018,1.6496716968091234,393818781.073683
21,"('pop == ""none""', 'size == ""1""')",2,"('clear == ""none""', 'isEmpty == ""False""')",2,1.0,0.3684710351377018,1.6496716968091234,393818781.073683
22,"('pop == ""none""', 'push == ""none""')",2,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
23,"('peek_obj_type == ""EmptyObject""', 'pop == ""none""')",2,"('push == ""none""', 'size == ""0""')",2,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
24,"('pop == ""none""', 'push == ""class java.lang.Float""')",2,"('clear == ""none""', 'isEmpty == ""False""')",2,1.0,0.2067621920563097,1.6496716968091234,393818781.073683
