,LHS,LHS_size,RHS,RHS_size,conf,sup,lift,cov
0,"('size == ""0""',)",1,"('isEmpty == ""True""',)",1,1.0,0.393818781073683,2.539238980105677,606181218.9263169
1,"('isEmpty == ""True""',)",1,"('size == ""0""',)",1,1.0,0.393818781073683,2.539238980105677,606181218.9263169
2,"('push == ""True""', 'size_p == ""0""')",2,"('clear == ""False""', 'isEmpty == ""False""', 'pop == ""False""')",3,1.0,0.3684710351377018,1.8214749052428074,450994357.85710293
3,"('isEmpty == ""False""', 'size_p == ""0""')",2,"('clear == ""False""', 'pop == ""False""', 'push == ""True""')",3,1.0,0.3684710351377018,1.8214749052428074,450994357.85710293
4,"('isEmpty == ""True""',)",1,"('peek_obj_type == ""EmptyObject""', 'push == ""False""', 'size == ""0""')",3,1.0,0.393818781073683,2.539238980105677,606181218.9263169
5,"('peek_obj_type == ""EmptyObject""',)",1,"('isEmpty == ""True""', 'push == ""False""', 'size == ""0""')",3,1.0,0.393818781073683,2.539238980105677,606181218.9263169
6,"('peek_obj_type == ""EmptyObject""', 'push == ""False""', 'size == ""0""')",3,"('isEmpty == ""True""',)",1,1.0,0.393818781073683,2.539238980105677,606181218.9263169
7,"('isEmpty == ""True""', 'push == ""False""', 'size == ""0""')",3,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.393818781073683,2.539238980105677,606181218.9263169
8,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""', 'size == ""0""')",3,"('push == ""False""',)",1,1.0,0.393818781073683,2.2173226395813335,549005642.142897
9,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""', 'push == ""False""')",3,"('size == ""0""',)",1,1.0,0.393818781073683,2.539238980105677,606181218.9263169
10,"('push == ""False""', 'size == ""0""')",2,"('isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",2,1.0,0.393818781073683,2.539238980105677,606181218.9263169
11,"('peek_obj_type == ""EmptyObject""', 'size == ""0""')",2,"('isEmpty == ""True""', 'push == ""False""')",2,1.0,0.393818781073683,2.539238980105677,606181218.9263169
12,"('peek_obj_type == ""EmptyObject""', 'push == ""False""')",2,"('isEmpty == ""True""', 'size == ""0""')",2,1.0,0.393818781073683,2.539238980105677,606181218.9263169
13,"('isEmpty == ""True""', 'size == ""0""')",2,"('peek_obj_type == ""EmptyObject""', 'push == ""False""')",2,1.0,0.393818781073683,2.539238980105677,606181218.9263169
14,"('clear == ""True""', 'peek_obj_type == ""EmptyObject""', 'push == ""False""')",3,"('isEmpty == ""True""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
15,"('peek_obj_type == ""class java.lang.Float""',)",1,"('clear == ""False""',)",1,1.0,0.22701245740461426,1.2969154697433483,228939724.0377633
16,"('clear == ""True""', 'isEmpty == ""True""', 'push == ""False""')",3,"('peek_obj_type == ""EmptyObject""',)",1,1.0,0.22893972403776325,2.539238980105677,606181218.9263169
17,"('clear == ""True""', 'isEmpty == ""True""', 'peek_obj_type == ""EmptyObject""')",3,"('push == ""False""',)",1,1.0,0.22893972403776325,2.2173226395813335,549005642.142897
