testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607881474392:3af9c40c-a163-490f-ac79-b206ceadb9d8,1607881474716:d08b9b75-a17f-4811-a5bd-a477f4339db7,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474392:3af9c40c-a163-490f-ac79-b206ceadb9d8,1607881474716:d08b9b75-a17f-4811-a5bd-a477f4339db7,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474392:3af9c40c-a163-490f-ac79-b206ceadb9d8,1607881474716:d08b9b75-a17f-4811-a5bd-a477f4339db7,0,true,EmptyObject,EmptyObject,pop,none
1607881474719:08de0e0f-cd4b-4981-8408-8f4e86d1e2f3,1607881474719:8490a95d-1747-4930-9814-8cd220e97cf4,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474719:08de0e0f-cd4b-4981-8408-8f4e86d1e2f3,1607881474719:8490a95d-1747-4930-9814-8cd220e97cf4,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474719:08de0e0f-cd4b-4981-8408-8f4e86d1e2f3,1607881474719:8490a95d-1747-4930-9814-8cd220e97cf4,0,true,EmptyObject,EmptyObject,pop,none
1607881474722:694ca7c0-f5f3-4c50-8981-c4ccaae296f4,1607881474722:d184eb21-4a21-49a6-b904-4370aba1bc66,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474722:694ca7c0-f5f3-4c50-8981-c4ccaae296f4,1607881474722:d184eb21-4a21-49a6-b904-4370aba1bc66,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474722:694ca7c0-f5f3-4c50-8981-c4ccaae296f4,1607881474722:d184eb21-4a21-49a6-b904-4370aba1bc66,0,true,EmptyObject,EmptyObject,pop,none
1607881474723:d9a1e7e0-58f0-42f2-b7b5-cc664e80ac4f,1607881474723:dc6f3820-9d7e-469d-85d9-ce10a5b3f374,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474723:d9a1e7e0-58f0-42f2-b7b5-cc664e80ac4f,1607881474723:dc6f3820-9d7e-469d-85d9-ce10a5b3f374,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474723:d9a1e7e0-58f0-42f2-b7b5-cc664e80ac4f,1607881474723:dc6f3820-9d7e-469d-85d9-ce10a5b3f374,0,true,EmptyObject,EmptyObject,pop,none
1607881474723:d37ca752-8766-4e36-8bd9-ec4aa040349f,1607881474723:2d333e77-5577-4bfe-84f4-dd840651bc65,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474723:d37ca752-8766-4e36-8bd9-ec4aa040349f,1607881474723:2d333e77-5577-4bfe-84f4-dd840651bc65,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474723:d37ca752-8766-4e36-8bd9-ec4aa040349f,1607881474723:2d333e77-5577-4bfe-84f4-dd840651bc65,0,true,EmptyObject,EmptyObject,pop,none
1607881474723:36e588b5-0c33-43d3-8a5a-e849ab77ff49,1607881474723:abee95b1-a553-4aee-a452-64903399a5e5,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474723:36e588b5-0c33-43d3-8a5a-e849ab77ff49,1607881474723:abee95b1-a553-4aee-a452-64903399a5e5,0,true,EmptyObject,EmptyObject,clear,none
1607881474723:36e588b5-0c33-43d3-8a5a-e849ab77ff49,1607881474723:abee95b1-a553-4aee-a452-64903399a5e5,0,true,EmptyObject,EmptyObject,pop,none
1607881474724:cb3855b1-31a0-4f28-b8cd-079be31c6fcd,1607881474724:6d9ac0d0-e91a-482a-bde2-f032db7d045c,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474724:cb3855b1-31a0-4f28-b8cd-079be31c6fcd,1607881474724:6d9ac0d0-e91a-482a-bde2-f032db7d045c,0,true,EmptyObject,EmptyObject,clear,none
1607881474724:cb3855b1-31a0-4f28-b8cd-079be31c6fcd,1607881474724:6d9ac0d0-e91a-482a-bde2-f032db7d045c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474725:d35ec0bf-e039-414b-9412-3fd4cea4aef4,1607881474725:1673bf19-39a2-4f10-9aa3-3325cc65f82a,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474725:d35ec0bf-e039-414b-9412-3fd4cea4aef4,1607881474725:1673bf19-39a2-4f10-9aa3-3325cc65f82a,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474725:d35ec0bf-e039-414b-9412-3fd4cea4aef4,1607881474725:1673bf19-39a2-4f10-9aa3-3325cc65f82a,0,true,EmptyObject,EmptyObject,pop,none
1607881474725:067e1833-f00f-429e-bb41-eeb4c5b24d65,1607881474725:2374ed81-4a37-435c-8e23-f47690a8159f,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474725:067e1833-f00f-429e-bb41-eeb4c5b24d65,1607881474725:2374ed81-4a37-435c-8e23-f47690a8159f,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474726:bdd809b6-eb04-4b6d-aabb-7c14d81a1273,1607881474726:001a5012-e312-47e3-9a32-166b64ea8706,0,true,EmptyObject,EmptyObject,CTOR,none
1607881474726:bdd809b6-eb04-4b6d-aabb-7c14d81a1273,1607881474726:001a5012-e312-47e3-9a32-166b64ea8706,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607881474726:bdd809b6-eb04-4b6d-aabb-7c14d81a1273,1607881474726:001a5012-e312-47e3-9a32-166b64ea8706,0,true,EmptyObject,EmptyObject,pop,none
