testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607880964160:6c790e8d-63dd-4afc-b93c-a4fa8ae4ec70,1607880964552:7d845b31-f042-4730-82a4-abb04e18298b,0,true,EmptyObject,EmptyObject,CTOR,none
1607880964160:6c790e8d-63dd-4afc-b93c-a4fa8ae4ec70,1607880964552:7d845b31-f042-4730-82a4-abb04e18298b,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880964160:6c790e8d-63dd-4afc-b93c-a4fa8ae4ec70,1607880964552:7d845b31-f042-4730-82a4-abb04e18298b,0,true,EmptyObject,EmptyObject,pop,none
1607880964557:5d3cb1dd-8182-43f8-abcf-9e633795ba7b,1607880964557:361f3726-a6b8-4547-8424-a4d7716ea8ac,0,true,EmptyObject,EmptyObject,CTOR,none
1607880964557:5d3cb1dd-8182-43f8-abcf-9e633795ba7b,1607880964557:361f3726-a6b8-4547-8424-a4d7716ea8ac,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880964557:5d3cb1dd-8182-43f8-abcf-9e633795ba7b,1607880964557:361f3726-a6b8-4547-8424-a4d7716ea8ac,0,true,EmptyObject,EmptyObject,pop,none
1607880964558:092012f3-a779-4e1b-9228-2ac0d7c7b09d,1607880964558:7f431459-efd9-404f-908d-7f0a19aff38e,0,true,EmptyObject,EmptyObject,CTOR,none
1607880964558:092012f3-a779-4e1b-9228-2ac0d7c7b09d,1607880964558:7f431459-efd9-404f-908d-7f0a19aff38e,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880964558:092012f3-a779-4e1b-9228-2ac0d7c7b09d,1607880964558:7f431459-efd9-404f-908d-7f0a19aff38e,0,true,EmptyObject,EmptyObject,pop,none
1607880964559:3974e27a-be21-48e9-98d3-f611380a1b37,1607880964559:990b3b23-a81e-4b51-b4ad-3a72400f57ca,0,true,EmptyObject,EmptyObject,CTOR,none
1607880964559:3974e27a-be21-48e9-98d3-f611380a1b37,1607880964559:990b3b23-a81e-4b51-b4ad-3a72400f57ca,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607880964559:3974e27a-be21-48e9-98d3-f611380a1b37,1607880964559:990b3b23-a81e-4b51-b4ad-3a72400f57ca,0,true,EmptyObject,EmptyObject,pop,none
1607880964559:11fc5743-e87f-4bad-9ca7-fef01e5964cc,1607880964559:36216479-7fa0-42b4-8772-e1806ece33cd,0,true,EmptyObject,EmptyObject,CTOR,none
1607880964559:11fc5743-e87f-4bad-9ca7-fef01e5964cc,1607880964559:36216479-7fa0-42b4-8772-e1806ece33cd,0,true,EmptyObject,EmptyObject,push,class java.lang.String
