,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,isEmpty_p,peek_obj_type_p,push_p,pop_p,clear_p,calledMethod,diff
1,1607900029652:fbc25b04-2ad1-4d3d-ba48-0a5f87391a40,1607900029652:3ed7efa6-98a9-4031-9ff5-10f5e4189364,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
2,1607900029652:fbc25b04-2ad1-4d3d-ba48-0a5f87391a40,1607900029652:3ed7efa6-98a9-4031-9ff5-10f5e4189364,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
4,1607900029651:8fa92292-3893-4449-b7e1-885273cf23bb,1607900029651:4e1d9d13-5e2c-4a74-bcd7-e9fa78156cee,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
5,1607900029651:8fa92292-3893-4449-b7e1-885273cf23bb,1607900029651:4e1d9d13-5e2c-4a74-bcd7-e9fa78156cee,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
7,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:ee8a65e5-2040-4fd9-b138-cd0551a78905,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""push""",Yes
8,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:ee8a65e5-2040-4fd9-b138-cd0551a78905,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""pop""",Yes
11,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""","size_p == ""0""","isEmpty_p == ""True""","peek_obj_type_p == ""EmptyObject""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""push""",Yes
12,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""True""","pop_p == ""False""","clear_p == ""False""","calledMethod == ""clear""",Yes
13,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes
14,1607900029651:68bf2657-c730-4f28-a072-c95b8a645824,1607900029651:56fb74ca-199c-4aaa-b4bd-e2c18207b148,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""","size_p == ""2""","isEmpty_p == ""True""","peek_obj_type_p == ""class java.lang.String""","push_p == ""False""","pop_p == ""False""","clear_p == ""True""","calledMethod == ""clear""",Yes
