,testId,instanceId,size,isEmpty,peek_obj_type,push,pop,clear,size_p,diff
1,1607899088090:9b6b3090-04f0-4005-9727-1fd825dffb87,1607899088090:d8d0c53b-8096-4fda-bac7-605954fd4013,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
2,1607899088090:9b6b3090-04f0-4005-9727-1fd825dffb87,1607899088090:d8d0c53b-8096-4fda-bac7-605954fd4013,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
4,1607899088090:9b6b3090-04f0-4005-9727-1fd825dffb87,1607899088090:2c228b98-e556-4f0a-99c4-95adc6e11322,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
6,1607899088090:6d34f9ad-a480-4891-bfbd-1761666d7e95,1607899088090:b373227e-976a-49c5-b81d-656453219fd6,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
7,1607899088090:6d34f9ad-a480-4891-bfbd-1761666d7e95,1607899088090:b373227e-976a-49c5-b81d-656453219fd6,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""1""",Yes
9,1607899088090:6d34f9ad-a480-4891-bfbd-1761666d7e95,1607899088090:4246ea2f-af09-423c-b564-6746bd8cf7e2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
10,1607899088090:6d34f9ad-a480-4891-bfbd-1761666d7e95,1607899088090:4246ea2f-af09-423c-b564-6746bd8cf7e2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
12,1607899088090:617235c9-1595-46ce-a71f-a52577700b63,1607899088090:47c581a7-1c6d-4847-b311-e7b81539b8d0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
13,1607899088090:617235c9-1595-46ce-a71f-a52577700b63,1607899088090:47c581a7-1c6d-4847-b311-e7b81539b8d0,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
15,1607899088090:30f06230-e9e9-4f79-87a4-210f37262b81,1607899088090:2308275e-1062-460f-898b-d9affe0424e1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
16,1607899088090:30f06230-e9e9-4f79-87a4-210f37262b81,1607899088090:2308275e-1062-460f-898b-d9affe0424e1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
18,1607899088090:2311bcc9-c82a-417d-81c2-ee42e7458e82,1607899088090:aad48c24-9496-4bcd-b0ac-979de18f5d45,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
19,1607899088090:2311bcc9-c82a-417d-81c2-ee42e7458e82,1607899088090:aad48c24-9496-4bcd-b0ac-979de18f5d45,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
22,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:70d5689c-362d-4f2d-8726-9bedaff8070b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
23,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:70d5689c-362d-4f2d-8726-9bedaff8070b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
24,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:70d5689c-362d-4f2d-8726-9bedaff8070b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
25,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:70d5689c-362d-4f2d-8726-9bedaff8070b,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""","size_p == ""1""",Yes
27,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:44b2485a-947a-4e7a-8ca3-6a189282d721,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
28,1607899088090:22fe4ecf-d7bb-4fb9-b662-2d1482658f24,1607899088090:44b2485a-947a-4e7a-8ca3-6a189282d721,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""","size_p == ""1""",Yes
30,1607899088090:0b3a4943-ceb2-473f-a434-b79a1fdfd57a,1607899088091:759e106b-d851-4f6f-816a-01963fdce4a3,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""","size_p == ""0""",Yes
