,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
1,1604916242696:f94ea7ee-1de0-4641-9c96-72ace0245dde,1604916242696:5abad868-195f-48d3-ab58-67e379d083f3,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
2,1604916242696:f94ea7ee-1de0-4641-9c96-72ace0245dde,1604916242696:5abad868-195f-48d3-ab58-67e379d083f3,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4,1604916242696:e7a5c580-29fc-4edc-980f-39e3765248d3,1604916242696:5bcb18a6-de64-4807-88e0-0f100b9bc30c,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
5,1604916242696:e7a5c580-29fc-4edc-980f-39e3765248d3,1604916242696:5bcb18a6-de64-4807-88e0-0f100b9bc30c,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
7,1604916242696:a62df690-d4f0-46f4-8034-3b90a4b74fce,1604916242696:3b782936-6b85-4637-948b-5a939f57a326,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
9,1604916242696:a62df690-d4f0-46f4-8034-3b90a4b74fce,1604916242696:15574014-56ff-4d06-92fd-f9896574729e,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
10,1604916242696:a62df690-d4f0-46f4-8034-3b90a4b74fce,1604916242696:15574014-56ff-4d06-92fd-f9896574729e,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
12,1604916242696:9ca1fd78-1b13-454e-b1e8-f93e945cefb4,1604916242696:f7309ecc-bf09-4779-98eb-9ec2a4d230ef,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
13,1604916242696:9ca1fd78-1b13-454e-b1e8-f93e945cefb4,1604916242696:f7309ecc-bf09-4779-98eb-9ec2a4d230ef,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
14,1604916242696:9ca1fd78-1b13-454e-b1e8-f93e945cefb4,1604916242696:f7309ecc-bf09-4779-98eb-9ec2a4d230ef,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
15,1604916242696:9ca1fd78-1b13-454e-b1e8-f93e945cefb4,1604916242696:f7309ecc-bf09-4779-98eb-9ec2a4d230ef,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
