,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
1,1604915698382:fa6c1ff4-03fd-42d0-98a9-fe5b0334bfac,1604915698382:17a7dff8-2d8b-47e4-9ca7-ed87c7b560af,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
2,1604915698382:fa6c1ff4-03fd-42d0-98a9-fe5b0334bfac,1604915698382:17a7dff8-2d8b-47e4-9ca7-ed87c7b560af,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
4,1604915698382:b177a1ca-2d93-4908-8efc-42c31efc9969,1604915698382:d44a894c-7279-4c0e-857f-cef54bd40ddb,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
5,1604915698382:b177a1ca-2d93-4908-8efc-42c31efc9969,1604915698382:d44a894c-7279-4c0e-857f-cef54bd40ddb,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
7,1604915698382:b177a1ca-2d93-4908-8efc-42c31efc9969,1604915698382:43552e78-cc36-4ccf-9dc9-defea16f3a65,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
8,1604915698382:b177a1ca-2d93-4908-8efc-42c31efc9969,1604915698382:43552e78-cc36-4ccf-9dc9-defea16f3a65,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
10,1604915698382:9e8e6110-01bf-4c4a-a1c1-bc253b761bcd,1604915698382:f5b0a2ff-72f9-471b-bcaa-299d79614717,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
11,1604915698382:9e8e6110-01bf-4c4a-a1c1-bc253b761bcd,1604915698382:f5b0a2ff-72f9-471b-bcaa-299d79614717,1,True,EmptyObject,class java.lang.String,pop,none,Yes,1,True,EmptyObject,class java.lang.String,push,class java.lang.String
13,1604915698382:9e8e6110-01bf-4c4a-a1c1-bc253b761bcd,1604915698382:a66c30bb-314d-4536-a546-92eada5f6765,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
14,1604915698382:9e8e6110-01bf-4c4a-a1c1-bc253b761bcd,1604915698382:a66c30bb-314d-4536-a546-92eada5f6765,1,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
