,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
1,1604913473937:b992a85c-d1bc-458c-a977-6d4bef2b5010,1604913473937:94b03fa5-d5b7-4c12-aa06-dfa505005c5f,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
2,1604913473937:b992a85c-d1bc-458c-a977-6d4bef2b5010,1604913473937:94b03fa5-d5b7-4c12-aa06-dfa505005c5f,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
4,1604913473937:b992a85c-d1bc-458c-a977-6d4bef2b5010,1604913473937:14c30eeb-e69b-40bd-a336-e75343bd0660,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
5,1604913473937:b992a85c-d1bc-458c-a977-6d4bef2b5010,1604913473937:14c30eeb-e69b-40bd-a336-e75343bd0660,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,push,class java.lang.String
7,1604913473937:a6544299-dc10-451d-b150-d940f6b9c7fd,1604913473937:c0b3170f-de5d-422b-937f-1a95132325a5,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
8,1604913473937:a6544299-dc10-451d-b150-d940f6b9c7fd,1604913473937:c0b3170f-de5d-422b-937f-1a95132325a5,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
10,1604913473937:55af1a28-fe76-443e-bf10-518ce43530c4,1604913473937:df477cef-0ddd-45ff-adba-bbbb8530b646,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
11,1604913473937:55af1a28-fe76-443e-bf10-518ce43530c4,1604913473937:df477cef-0ddd-45ff-adba-bbbb8530b646,0,True,EmptyObject,EmptyObject,pop,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
13,1604913473937:3fe63087-fc43-4cf6-9188-649b5c795b7d,1604913473937:8e045beb-755d-4bf8-a44d-e08b4861c537,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
14,1604913473937:3fe63087-fc43-4cf6-9188-649b5c795b7d,1604913473937:8e045beb-755d-4bf8-a44d-e08b4861c537,0,True,EmptyObject,EmptyObject,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
15,1604913473937:3fe63087-fc43-4cf6-9188-649b5c795b7d,1604913473937:8e045beb-755d-4bf8-a44d-e08b4861c537,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,push,class java.lang.String
16,1604913473937:3fe63087-fc43-4cf6-9188-649b5c795b7d,1604913473937:8e045beb-755d-4bf8-a44d-e08b4861c537,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
17,1604913473937:3fe63087-fc43-4cf6-9188-649b5c795b7d,1604913473937:8e045beb-755d-4bf8-a44d-e08b4861c537,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
