,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f,29,"['40', '46', '52', '65', '83', '84', '101', '122', '125', '126', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '355', '372', '373', '374', '385', '406', '409', '460']",2,"['67', '200']",29,"['40', '46', '52', '65', '83', '84', '101', '122', '125', '126', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '355', '372', '373', '374', '385', '406', '409', '460']"
1,2,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607896000029:d2a72227-2a1d-45e5-87f3-575d7d04ff30,1607896000029:5d190e40-fe07-4990-b4dc-0b435d7d249f,12,"['40', '120', '122', '125', '126', '136', '191', '240', '369', '372', '373', '388']",2,"['200', '266']",12,"['40', '120', '122', '125', '126', '136', '191', '240', '369', '372', '373', '388']"
2,7,"size == ""1""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,126,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '67', '78', '80', '84', '93', '98', '101', '103', '120', '122', '123', '126', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '200', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '355', '357', '359', '365', '369', '372', '373', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",126,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '67', '78', '80', '84', '93', '98', '101', '103', '120', '122', '123', '126', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '200', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '355', '357', '359', '365', '369', '372', '373', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
3,8,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,23,"['40', '46', '52', '65', '101', '122', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '372', '374', '385', '406', '409', '460']",0,,23,"['40', '46', '52', '65', '101', '122', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '372', '374', '385', '406', '409', '460']"
4,9,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
5,10,"size == ""4""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
6,11,"size == ""5""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896000029:a60c1881-4ea6-4271-a072-3f336ec2018e,1607896000029:ede177ce-6249-4936-af38-731126970666,120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
7,42,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607896000028:57e25a9a-7a0a-4141-91c9-3b0b00036e3d,1607896000028:95345a51-3a99-44bd-afdd-75822d58b24f,23,"['40', '46', '52', '65', '101', '122', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '372', '374', '385', '406', '409', '460']",0,,23,"['40', '46', '52', '65', '101', '122', '136', '152', '191', '218', '240', '266', '270', '305', '322', '337', '347', '372', '374', '385', '406', '409', '460']"
8,83,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607896000027:6ac0d1fe-0ce7-48f4-8a38-b5f06f92a834,1607896000027:a625fd66-773e-4cc2-8ed9-1378f5209ba7,9,"['40', '120', '122', '136', '191', '240', '369', '372', '388']",1,['266'],9,"['40', '120', '122', '136', '191', '240', '369', '372', '388']"
9,250,"size == ""3""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607896000021:31839a41-3cb8-4f2b-bc0c-0f518c831adb,1607896000021:7299a7b6-3ef2-4cf2-b96e-6b7c35da7a7f,9,"['40', '120', '122', '136', '191', '240', '369', '372', '388']",1,['266'],9,"['40', '120', '122', '136', '191', '240', '369', '372', '388']"
10,262,"size == ""6""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896000021:04e76dd2-62d6-4fea-b5c3-c5b0d2977630,1607896000021:4419e480-8fd0-4f0d-9832-95ce109db270,120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
11,964,"size == ""2""","isEmpty == ""True""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607895999993:ecb5fc74-c363-405d-8b98-efb20319b2ac,1607895999993:4a57fd26-2968-4a3c-b659-d75d2697289f,120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']",27,"['41', '42', '43', '44', '45', '46', '47', '48', '49', '50', '51', '52', '115', '266', '295', '296', '297', '337', '338', '339', '340', '361', '362', '363', '364', '455', '464']",120,"['3', '4', '5', '7', '20', '25', '28', '31', '33', '34', '40', '54', '55', '57', '59', '65', '78', '80', '93', '98', '101', '103', '120', '122', '123', '136', '145', '146', '150', '152', '154', '155', '156', '157', '165', '169', '173', '175', '177', '178', '179', '191', '194', '196', '202', '203', '205', '218', '220', '231', '232', '235', '240', '251', '254', '255', '257', '259', '263', '264', '267', '270', '276', '278', '282', '283', '287', '290', '301', '302', '304', '305', '307', '308', '309', '314', '322', '323', '324', '326', '327', '329', '330', '331', '333', '334', '341', '344', '346', '347', '348', '350', '351', '354', '357', '359', '365', '369', '372', '374', '376', '377', '379', '380', '388', '403', '405', '406', '409', '411', '413', '417', '418', '433', '434', '444', '445', '448', '454', '460']"
