,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""class java.lang.Float""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,87,"['0', '1', '8', '53', '60', '61', '62', '68', '69', '70', '71', '72', '73', '74', '75', '76', '104', '105', '106', '107', '108', '109', '110', '111', '112', '113', '114', '116', '117', '127', '128', '129', '130', '131', '132', '133', '135', '167', '180', '181', '182', '184', '185', '186', '187', '212', '236', '237', '238', '241', '242', '269', '273', '274', '275', '332', '367', '384', '385', '394', '395', '396', '397', '398', '399', '400', '407', '414', '415', '419', '420', '421', '427', '428', '429', '430', '431', '435', '436', '437', '438', '439', '440', '441', '442', '453', '465']",0,
1,3,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""none""","clear == ""clear""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']",6,"['115', '361', '362', '363', '364', '455']",79,"['3', '5', '7', '20', '31', '34', '42', '45', '47', '48', '50', '51', '55', '59', '78', '80', '98', '103', '123', '145', '146', '154', '156', '157', '165', '169', '175', '177', '178', '179', '194', '196', '202', '203', '205', '220', '232', '235', '255', '257', '263', '264', '267', '278', '283', '287', '290', '295', '297', '304', '307', '308', '323', '324', '327', '329', '334', '338', '340', '344', '346', '348', '351', '357', '359', '365', '367', '376', '377', '380', '384', '405', '413', '418', '433', '434', '448', '454', '464']"
2,4,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""class java.lang.Long""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,3,"['367', '384', '385']",0,
3,5,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""class java.lang.Boolean""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,3,"['367', '384', '385']",0,
4,6,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""class experiment.drivers.AlejaStackTestDriver""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,3,"['367', '384', '385']",0,
5,7,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""none""","pop == ""class java.lang.Boolean""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,1,['367'],0,
6,8,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""none""","pop == ""class java.lang.Long""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,1,['367'],0,
7,22,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""class java.lang.Class""","pop == ""none""","clear == ""none""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:a8a41c60-7473-440c-93cf-fd7d1d3faa5e,0,,3,"['367', '384', '385']",0,
8,36,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""none""","pop == ""class java.lang.Float""","clear == ""none""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b,0,,6,"['113', '167', '332', '367', '427', '428']",0,
9,37,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""class java.lang.String""","pop == ""none""","clear == ""none""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b,0,,3,"['367', '384', '385']",0,
10,74,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""class java.lang.Byte""","pop == ""none""","clear == ""none""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:e8b55c91-6389-43b9-b34e-35d44ec057a5,0,,3,"['367', '384', '385']",0,
11,91,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""class java.lang.Short""","pop == ""none""","clear == ""none""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,3,"['367', '384', '385']",0,
12,93,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""none""","pop == ""class java.lang.Short""","clear == ""none""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,1,['367'],0,
13,125,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""none""","pop == ""class java.lang.String""","clear == ""none""",Yes,1607896416760:56532950-2c4a-467c-bf78-40a7b01920ed,1607896416761:ad304123-5880-4ac0-a1e7-1e6777d85006,0,,1,['367'],0,
14,184,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""class java.lang.Double""","pop == ""none""","clear == ""none""",Yes,1607896416759:eb04a283-e26c-42c6-984b-96e78880f5cf,1607896416759:8c053269-6407-4881-9b67-44da8bc05641,0,,3,"['367', '384', '385']",0,
15,338,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""none""","pop == ""class java.lang.Class""","clear == ""none""",Yes,1607896416758:c05ed6ca-a218-48d9-9896-5f099b3f41ec,1607896416758:d1f8ed9c-df61-4eec-968c-ea050595db0e,0,,1,['367'],0,
16,515,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""none""","pop == ""class experiment.drivers.AlejaStackTestDriver""","clear == ""none""",Yes,1607896416755:f4ec1f0e-b13a-4bc1-9501-a69db1879c80,1607896416755:d7565381-2e3d-4d55-aa1d-ff279d26aa44,0,,1,['367'],0,
17,587,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Object""","push == ""class java.lang.Object""","pop == ""none""","clear == ""none""",Yes,1607896416755:cc66a930-813d-4331-b2ef-74f92885ca32,1607896416756:a55e196e-28e5-4df5-847f-93633d5f7b71,0,,3,"['367', '384', '385']",0,
18,656,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""none""","pop == ""class java.lang.Byte""","clear == ""none""",Yes,1607896416754:3a82147d-bb40-4277-95ba-9fa204c9ebd9,1607896416754:bc42d268-0b7f-48d5-b418-d0f7ece214a2,0,,1,['367'],0,
19,1012,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""class java.lang.Integer""","pop == ""none""","clear == ""none""",Yes,1607896416750:0886dc90-cc20-4f01-8987-a820de2f1bc5,1607896416750:c05aa075-a3b7-408e-b1d0-348a967567ce,0,,3,"['367', '384', '385']",0,
20,1989,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","push == ""none""","pop == ""class java.lang.Double""","clear == ""none""",Yes,1607896416736:4b64b7da-a6ba-4567-bb07-34a7840c2df5,1607896416736:f8cbafe0-6f60-4c5f-ad0c-d47a462ff849,0,,1,['367'],0,
21,5545,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","push == ""none""","pop == ""class java.lang.Integer""","clear == ""none""",Yes,1607896416706:d8640f58-32a4-4ae2-95b3-045406b5b93d,1607896416706:696da216-93fb-4cb6-90d5-734f8ab4b465,0,,1,['367'],0,
22,8511,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Character""","push == ""class java.lang.Character""","pop == ""none""","clear == ""none""",Yes,1607896416679:f9a23618-a5d6-48b4-bf74-83ea9b2dba33,1607896416679:2cf90c5c-c73d-4b32-bede-4aaf36fedbc3,0,,3,"['367', '384', '385']",0,
