,Unnamed: 0,size,isEmpty,peek_obj_type,push,pop,clear,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
0,1,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,65,"['16', '17', '18', '19', '20', '21', '22', '23', '24', '30', '44', '45', '46', '47', '48', '49', '50', '51', '52', '59', '60', '86', '93', '127', '149', '150', '152', '153', '154', '162', '182', '183', '184', '185', '215', '216', '219', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '304', '326', '370', '388', '436', '452', '453', '454', '455', '468', '469', '470', '471', '472', '474', '475', '476', '477']",0,
1,3,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""False""","clear == ""True""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,81,"['14', '26', '29', '33', '34', '37', '58', '67', '69', '91', '95', '100', '113', '126', '132', '135', '137', '144', '147', '148', '151', '176', '179', '181', '182', '206', '207', '213', '218', '238', '246', '253', '255', '257', '258', '259', '267', '275', '279', '281', '284', '286', '288', '296', '306', '309', '319', '325', '327', '328', '330', '335', '337', '340', '374', '375', '377', '378', '381', '399', '404', '406', '409', '411', '412', '416', '421', '424', '425', '426', '428', '430', '436', '439', '443', '451', '454', '461', '462', '466', '467']",6,"['174', '175', '177', '178', '310', '414']",81,"['14', '26', '29', '33', '34', '37', '58', '67', '69', '91', '95', '100', '113', '126', '132', '135', '137', '144', '147', '148', '151', '176', '179', '181', '182', '206', '207', '213', '218', '238', '246', '253', '255', '257', '258', '259', '267', '275', '279', '281', '284', '286', '288', '296', '306', '309', '319', '325', '327', '328', '330', '335', '337', '340', '374', '375', '377', '378', '381', '399', '404', '406', '409', '411', '412', '416', '421', '424', '425', '426', '428', '430', '436', '439', '443', '451', '454', '461', '462', '466', '467']"
2,4,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
3,5,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
4,6,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
5,7,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
6,8,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:c839ac79-33d3-4556-aa37-352c2f985da6,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
7,22,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416761:8e4ceb07-e095-4bc4-a47f-8943a016c3a4,1607896416761:a8a41c60-7473-440c-93cf-fd7d1d3faa5e,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
8,36,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b,0,,12,"['43', '93', '170', '171', '172', '173', '215', '216', '219', '388', '415', '436']",0,
9,37,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416760:9301a043-8b72-4b2e-9022-c5b3326463c7,1607896416760:ee6fd6ae-4dfe-4c48-904e-5d14029c435b,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
10,74,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:e8b55c91-6389-43b9-b34e-35d44ec057a5,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
11,91,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""True""","pop == ""False""","clear == ""False""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,27,"['20', '21', '22', '23', '49', '50', '51', '52', '127', '182', '183', '240', '241', '242', '243', '244', '245', '246', '247', '248', '249', '326', '436', '452', '453', '454', '455']",0,
12,93,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416760:5880356e-af08-4ad4-98f0-bd1c08640591,1607896416760:84905d88-1359-4db6-867e-1ce48e03aa0e,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
13,125,"size == ""9""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","push == ""False""","pop == ""True""","clear == ""False""",Yes,1607896416760:56532950-2c4a-467c-bf78-40a7b01920ed,1607896416761:ad304123-5880-4ac0-a1e7-1e6777d85006,0,,7,"['43', '170', '171', '172', '173', '415', '436']",0,
