testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607890288254:91f79550-1451-44b5-96b8-410badb507e9,1607890288737:1eada383-c6fd-4813-99fa-9709ef33ebdd,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288254:91f79550-1451-44b5-96b8-410badb507e9,1607890288737:1eada383-c6fd-4813-99fa-9709ef33ebdd,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288254:91f79550-1451-44b5-96b8-410badb507e9,1607890288737:1eada383-c6fd-4813-99fa-9709ef33ebdd,0,true,EmptyObject,EmptyObject,pop,none
1607890288744:b9fe68d4-8496-4102-876d-026962327db5,1607890288744:1c393da0-2b67-4807-b799-6e97fbaa7849,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288744:b9fe68d4-8496-4102-876d-026962327db5,1607890288744:1c393da0-2b67-4807-b799-6e97fbaa7849,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288744:b9fe68d4-8496-4102-876d-026962327db5,1607890288744:1c393da0-2b67-4807-b799-6e97fbaa7849,0,true,EmptyObject,EmptyObject,pop,none
1607890288748:92982c85-895c-4db0-b6ca-dd4c769eb270,1607890288748:004c5eb7-5830-4384-93b9-be7262dae429,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288748:92982c85-895c-4db0-b6ca-dd4c769eb270,1607890288748:004c5eb7-5830-4384-93b9-be7262dae429,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288748:92982c85-895c-4db0-b6ca-dd4c769eb270,1607890288748:004c5eb7-5830-4384-93b9-be7262dae429,0,true,EmptyObject,EmptyObject,pop,none
1607890288748:f4ba80a3-bd83-4adb-b07c-630cbebc5593,1607890288749:1fb257a2-ae3d-4ac1-8bc6-34b30a084c76,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288748:f4ba80a3-bd83-4adb-b07c-630cbebc5593,1607890288749:1fb257a2-ae3d-4ac1-8bc6-34b30a084c76,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288748:f4ba80a3-bd83-4adb-b07c-630cbebc5593,1607890288749:1fb257a2-ae3d-4ac1-8bc6-34b30a084c76,0,true,EmptyObject,EmptyObject,pop,none
1607890288749:9339eb6f-e8e2-41cb-bdbd-e5538aefd7ff,1607890288749:40439cdf-231e-498d-a543-59ac0f14161c,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288749:9339eb6f-e8e2-41cb-bdbd-e5538aefd7ff,1607890288749:40439cdf-231e-498d-a543-59ac0f14161c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288749:9339eb6f-e8e2-41cb-bdbd-e5538aefd7ff,1607890288749:40439cdf-231e-498d-a543-59ac0f14161c,0,true,EmptyObject,EmptyObject,pop,none
1607890288750:61caa2aa-c45d-4283-93e2-5fd1dc2eabf6,1607890288750:a2824405-948f-484c-b45c-bbdf41c8c2ec,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288750:61caa2aa-c45d-4283-93e2-5fd1dc2eabf6,1607890288750:a2824405-948f-484c-b45c-bbdf41c8c2ec,0,true,EmptyObject,EmptyObject,clear,none
1607890288750:61caa2aa-c45d-4283-93e2-5fd1dc2eabf6,1607890288750:a2824405-948f-484c-b45c-bbdf41c8c2ec,0,true,EmptyObject,EmptyObject,pop,none
1607890288750:cf124eaa-ab55-400f-86d2-7e36a54ee657,1607890288750:050c3859-d36b-4815-9eb2-b90c084b69ee,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288750:cf124eaa-ab55-400f-86d2-7e36a54ee657,1607890288750:050c3859-d36b-4815-9eb2-b90c084b69ee,0,true,EmptyObject,EmptyObject,clear,none
1607890288750:cf124eaa-ab55-400f-86d2-7e36a54ee657,1607890288750:050c3859-d36b-4815-9eb2-b90c084b69ee,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288751:b6b5cdf3-c539-4809-8d07-0d2e848c9aaf,1607890288751:cdf1cb4e-4201-4654-80ab-576331dcaedc,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288751:b6b5cdf3-c539-4809-8d07-0d2e848c9aaf,1607890288751:cdf1cb4e-4201-4654-80ab-576331dcaedc,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288751:b6b5cdf3-c539-4809-8d07-0d2e848c9aaf,1607890288751:cdf1cb4e-4201-4654-80ab-576331dcaedc,0,true,EmptyObject,EmptyObject,pop,none
1607890288752:6b385984-f5e4-4c97-b238-35f843ffa744,1607890288752:e14c0c9c-0c72-41d4-84e0-4f689987839e,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288752:6b385984-f5e4-4c97-b238-35f843ffa744,1607890288752:e14c0c9c-0c72-41d4-84e0-4f689987839e,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288752:2cc9ca1d-b97f-47ab-a189-b698b21bd156,1607890288752:6d83421f-3b2c-456b-824e-25b83563e955,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288752:2cc9ca1d-b97f-47ab-a189-b698b21bd156,1607890288752:6d83421f-3b2c-456b-824e-25b83563e955,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288752:2cc9ca1d-b97f-47ab-a189-b698b21bd156,1607890288752:6d83421f-3b2c-456b-824e-25b83563e955,0,true,EmptyObject,EmptyObject,pop,none
1607890288753:2d9aee37-dd22-4d2b-aa31-a7b768308d48,1607890288753:181db3d6-26cc-47fb-b1d0-cfc7eb093422,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288753:2d9aee37-dd22-4d2b-aa31-a7b768308d48,1607890288753:181db3d6-26cc-47fb-b1d0-cfc7eb093422,0,true,EmptyObject,EmptyObject,clear,none
1607890288753:2d9aee37-dd22-4d2b-aa31-a7b768308d48,1607890288753:181db3d6-26cc-47fb-b1d0-cfc7eb093422,0,true,EmptyObject,EmptyObject,clear,none
1607890288753:2d9aee37-dd22-4d2b-aa31-a7b768308d48,1607890288753:181db3d6-26cc-47fb-b1d0-cfc7eb093422,0,true,EmptyObject,EmptyObject,pop,none
1607890288754:0d5cb5cd-cbde-47b2-abad-07a343e859c7,1607890288754:df2df738-5c52-4b02-883c-9ae4f7a4fe2e,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288754:0d5cb5cd-cbde-47b2-abad-07a343e859c7,1607890288754:df2df738-5c52-4b02-883c-9ae4f7a4fe2e,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288754:0d5cb5cd-cbde-47b2-abad-07a343e859c7,1607890288754:df2df738-5c52-4b02-883c-9ae4f7a4fe2e,0,true,EmptyObject,EmptyObject,pop,none
1607890288755:fa416161-5f43-4cf2-876f-fcc17344082d,1607890288755:eb3a62f8-9d06-4e10-8f3d-e14124cf4c12,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288755:fa416161-5f43-4cf2-876f-fcc17344082d,1607890288755:eb3a62f8-9d06-4e10-8f3d-e14124cf4c12,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288755:fa416161-5f43-4cf2-876f-fcc17344082d,1607890288755:eb3a62f8-9d06-4e10-8f3d-e14124cf4c12,0,true,EmptyObject,EmptyObject,pop,none
1607890288756:43f8ebd9-e2d1-44e3-b24d-74457a0f2f74,1607890288756:0bd688c9-1158-4a0e-8391-af9f6611198b,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288756:43f8ebd9-e2d1-44e3-b24d-74457a0f2f74,1607890288756:0bd688c9-1158-4a0e-8391-af9f6611198b,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288756:43f8ebd9-e2d1-44e3-b24d-74457a0f2f74,1607890288756:0bd688c9-1158-4a0e-8391-af9f6611198b,0,true,EmptyObject,EmptyObject,pop,none
1607890288758:78de2093-96a4-4962-8419-f08d4e6bf1ac,1607890288758:33511cd2-06b0-4ef3-aa18-91ddcdd0a7fb,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288758:78de2093-96a4-4962-8419-f08d4e6bf1ac,1607890288758:33511cd2-06b0-4ef3-aa18-91ddcdd0a7fb,0,true,EmptyObject,EmptyObject,clear,none
1607890288758:78de2093-96a4-4962-8419-f08d4e6bf1ac,1607890288758:33511cd2-06b0-4ef3-aa18-91ddcdd0a7fb,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288760:9c050973-0c82-4263-b8f9-b30eaabee04c,1607890288761:4aaf179b-67f1-4687-82c5-03289fbad231,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288760:9c050973-0c82-4263-b8f9-b30eaabee04c,1607890288761:4aaf179b-67f1-4687-82c5-03289fbad231,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288760:9c050973-0c82-4263-b8f9-b30eaabee04c,1607890288761:3481ffb6-a5ab-418b-bb6c-4e712dac37e5,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288760:9c050973-0c82-4263-b8f9-b30eaabee04c,1607890288761:3481ffb6-a5ab-418b-bb6c-4e712dac37e5,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890288760:9c050973-0c82-4263-b8f9-b30eaabee04c,1607890288761:3481ffb6-a5ab-418b-bb6c-4e712dac37e5,0,true,EmptyObject,EmptyObject,pop,none
1607890288762:daea8f59-89d0-49df-8736-f3b2610dbc97,1607890288762:f328a7bb-569b-4a00-aa9c-b0b1242d2e18,0,true,EmptyObject,EmptyObject,CTOR,none
1607890288762:daea8f59-89d0-49df-8736-f3b2610dbc97,1607890288762:f328a7bb-569b-4a00-aa9c-b0b1242d2e18,0,true,EmptyObject,EmptyObject,clear,none
