testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput
1607890592107:7921b19d-0e51-45bf-8419-e2d7b8c02c6b,1607890592442:bd45d55b-bac2-4941-acb7-5017b62a7647,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592107:7921b19d-0e51-45bf-8419-e2d7b8c02c6b,1607890592442:bd45d55b-bac2-4941-acb7-5017b62a7647,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592107:7921b19d-0e51-45bf-8419-e2d7b8c02c6b,1607890592442:bd45d55b-bac2-4941-acb7-5017b62a7647,0,true,EmptyObject,EmptyObject,pop,none
1607890592445:95e0f2b4-cd80-43e9-aead-526ff33bbba7,1607890592445:2a986af8-959b-4fb5-9311-82e74746dd6d,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592445:95e0f2b4-cd80-43e9-aead-526ff33bbba7,1607890592445:2a986af8-959b-4fb5-9311-82e74746dd6d,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592445:95e0f2b4-cd80-43e9-aead-526ff33bbba7,1607890592445:2a986af8-959b-4fb5-9311-82e74746dd6d,0,true,EmptyObject,EmptyObject,pop,none
1607890592445:ed4ce150-27ce-4a65-96dd-a6d692321524,1607890592445:2e25ca8f-b5a3-4769-bffa-7bc9d82859ee,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592445:ed4ce150-27ce-4a65-96dd-a6d692321524,1607890592445:2e25ca8f-b5a3-4769-bffa-7bc9d82859ee,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592445:ed4ce150-27ce-4a65-96dd-a6d692321524,1607890592445:2e25ca8f-b5a3-4769-bffa-7bc9d82859ee,0,true,EmptyObject,EmptyObject,pop,none
1607890592446:69421904-24c0-4314-99c1-ae1826a42c2c,1607890592446:0a7644b2-dbfa-48ef-9b0b-e6aed3d2fcfb,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592446:69421904-24c0-4314-99c1-ae1826a42c2c,1607890592446:0a7644b2-dbfa-48ef-9b0b-e6aed3d2fcfb,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592446:69421904-24c0-4314-99c1-ae1826a42c2c,1607890592446:0a7644b2-dbfa-48ef-9b0b-e6aed3d2fcfb,0,true,EmptyObject,EmptyObject,pop,none
1607890592446:a4895414-ee4f-4b64-ae9e-c94d47972932,1607890592447:b95ef45a-9078-4571-b5c7-e934693fb47c,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592446:a4895414-ee4f-4b64-ae9e-c94d47972932,1607890592447:b95ef45a-9078-4571-b5c7-e934693fb47c,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592446:a4895414-ee4f-4b64-ae9e-c94d47972932,1607890592447:b95ef45a-9078-4571-b5c7-e934693fb47c,0,true,EmptyObject,EmptyObject,pop,none
1607890592447:ddf2c9b6-62c0-4e75-b5ac-41326a4e59b2,1607890592447:8f26d2e0-6784-4d23-be00-b9d6175a0f63,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592447:ddf2c9b6-62c0-4e75-b5ac-41326a4e59b2,1607890592447:8f26d2e0-6784-4d23-be00-b9d6175a0f63,0,true,EmptyObject,EmptyObject,clear,none
1607890592447:ddf2c9b6-62c0-4e75-b5ac-41326a4e59b2,1607890592447:8f26d2e0-6784-4d23-be00-b9d6175a0f63,0,true,EmptyObject,EmptyObject,pop,none
1607890592448:a84eecae-4e4e-46c9-9ed7-921647a9a803,1607890592448:a0673149-5711-49bc-a127-6371c834dcc3,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592448:a84eecae-4e4e-46c9-9ed7-921647a9a803,1607890592448:a0673149-5711-49bc-a127-6371c834dcc3,0,true,EmptyObject,EmptyObject,clear,none
1607890592448:a84eecae-4e4e-46c9-9ed7-921647a9a803,1607890592448:a0673149-5711-49bc-a127-6371c834dcc3,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592448:cebcd3af-c3f4-4ecb-883b-8ab7540e3adf,1607890592448:0fee3bee-845b-4b32-99ad-8468676b5ddc,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592448:cebcd3af-c3f4-4ecb-883b-8ab7540e3adf,1607890592448:0fee3bee-845b-4b32-99ad-8468676b5ddc,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592448:cebcd3af-c3f4-4ecb-883b-8ab7540e3adf,1607890592448:0fee3bee-845b-4b32-99ad-8468676b5ddc,0,true,EmptyObject,EmptyObject,pop,none
1607890592449:7bc2e891-c9f3-4178-ae35-e25dabc5759c,1607890592449:36ab11c0-525f-4cac-9eec-1688a4309dc0,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592449:7bc2e891-c9f3-4178-ae35-e25dabc5759c,1607890592449:36ab11c0-525f-4cac-9eec-1688a4309dc0,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592449:f3d89b2f-409d-40a3-87d2-f910231ccf8b,1607890592449:492a0650-5b45-409a-a8b2-8648e18c2920,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592449:f3d89b2f-409d-40a3-87d2-f910231ccf8b,1607890592449:492a0650-5b45-409a-a8b2-8648e18c2920,0,true,EmptyObject,EmptyObject,push,class java.lang.String
1607890592449:f3d89b2f-409d-40a3-87d2-f910231ccf8b,1607890592449:492a0650-5b45-409a-a8b2-8648e18c2920,0,true,EmptyObject,EmptyObject,pop,none
1607890592450:1172e67a-42fc-4870-bfeb-82d942f7787a,1607890592450:16b0078c-c98e-4a54-9d8b-299a63bb8e86,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592450:1172e67a-42fc-4870-bfeb-82d942f7787a,1607890592450:16b0078c-c98e-4a54-9d8b-299a63bb8e86,0,true,EmptyObject,EmptyObject,clear,none
1607890592450:1172e67a-42fc-4870-bfeb-82d942f7787a,1607890592450:16b0078c-c98e-4a54-9d8b-299a63bb8e86,0,true,EmptyObject,EmptyObject,clear,none
1607890592450:1172e67a-42fc-4870-bfeb-82d942f7787a,1607890592450:16b0078c-c98e-4a54-9d8b-299a63bb8e86,0,true,EmptyObject,EmptyObject,pop,none
1607890592450:e2c4683c-4003-4a4a-b1ea-3ba733ddc0ff,1607890592450:420dfe5d-7924-473f-bcaf-bb85c87dd7f7,0,true,EmptyObject,EmptyObject,CTOR,none
1607890592450:e2c4683c-4003-4a4a-b1ea-3ba733ddc0ff,1607890592450:420dfe5d-7924-473f-bcaf-bb85c87dd7f7,0,true,EmptyObject,EmptyObject,push,class java.lang.String
